user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
joostj44,46.0,53.0,1.0,100.0,1263.0
Bujhm47,52.0,43.0,5.0,100.0,1670.0
S003CUM,53.0,40.0,7.0,100.0,1555.0
Bjoern_Klein,38.0,61.0,0.0,39.0,1791.0
novanerd,35.0,59.0,6.0,100.0,1146.0
Alik_Tumov,50.0,49.0,1.0,100.0,1729.0
DrGrisha-2011,52.0,43.0,5.0,100.0,1557.0
maani6x,25.0,50.0,25.0,12.0,1345.0
omaraljohni,43.0,56.0,0.0,100.0,1886.0
migu3l86,39.0,55.0,6.0,100.0,1685.0
bruhnotsmart,59.0,35.0,6.0,100.0,1559.0
Ashiev_Eduard,48.0,42.0,10.0,100.0,2186.0
OszczuIsAWeakPlayer,38.0,55.0,7.0,100.0,1753.0
Khaled404,43.0,54.0,3.0,100.0,1665.0
Balhanuman09,73.0,20.0,6.0,45.0,2038.0
DolphinDave,50.0,50.0,0.0,6.0,1458.0
gato_cs,46.0,48.0,6.0,100.0,1797.0
ediniyalla,25.0,75.0,0.0,12.0,1798.0
akshayrevz,42.0,53.0,5.0,100.0,1370.0
AmericaRailWay,54.0,39.0,7.0,100.0,1946.0
krsstkch,40.0,40.0,20.0,5.0,1722.0
trijeetxK,48.0,50.0,2.0,100.0,1789.0
rullo2,44.0,48.0,8.0,100.0,1621.0
Eagleeye2020,53.0,43.0,4.0,100.0,2254.0
luck5,63.0,27.0,9.0,99.0,1909.0
Caspar1995,48.0,49.0,3.0,100.0,1357.0
kuzma54,41.0,56.0,3.0,100.0,1779.0
Kalambu_s,41.0,58.0,0.0,36.0,1459.0
aravbaid3105,45.0,51.0,4.0,100.0,2512.0
Rita_Cassia,25.0,74.0,1.0,100.0,1432.0
osmundi,60.0,38.0,2.0,100.0,1942.0
KNT1975,48.0,48.0,4.0,100.0,1723.0
alishermo,100.0,0.0,0.0,3.0,2111.0
lokit1,47.0,49.0,4.0,100.0,1350.0
Mirmahmut,45.0,50.0,5.0,100.0,1364.0
ilkeraltinoz1,38.0,56.0,5.0,100.0,982.0
ELEVEN11D,36.0,45.0,18.0,33.0,1198.0
waaaaaaah,7.0,92.0,0.0,14.0,1969.0
Jchristoph,50.0,49.0,1.0,100.0,1497.0
Vineellikeschess,30.0,70.0,0.0,30.0,2591.0
victofv1,0.0,100.0,0.0,3.0,2130.0
Zaya52,70.0,10.0,20.0,30.0,2426.0
aaravgupta2205,14.0,85.0,0.0,7.0,1038.0
yixuexue,30.0,70.0,0.0,60.0,834.0
typisch_andi,42.0,55.0,3.0,100.0,904.0
Pottiwow,42.0,57.0,0.0,21.0,1839.0
budaletina,48.0,47.0,5.0,100.0,1757.0
micro-dog,50.0,49.0,1.0,100.0,1648.0
ThorsteinnFH,16.0,83.0,0.0,18.0,1825.0
shkola19krasnodar,52.0,41.0,7.0,100.0,2251.0
msaatchi,46.0,51.0,3.0,100.0,1859.0
Vinishaaa,37.0,44.0,18.0,81.0,1715.0
Uygartezal7,50.0,46.0,4.0,100.0,1350.0
GURJARumesh,43.0,53.0,4.0,100.0,1059.0
amlodipine,33.0,66.0,0.0,45.0,1961.0
Renegadosiete,51.0,47.0,2.0,100.0,2020.0
Rustambek1987,48.0,49.0,3.0,100.0,1586.0
Mozes137,47.0,49.0,4.0,100.0,1232.0
simoskaval1992,46.0,40.0,13.0,30.0,1835.0
Richie78,56.0,40.0,3.0,100.0,1751.0
svtv0309,0.0,100.0,0.0,2.0,1305.0
jpupo80,46.0,50.0,4.0,100.0,2211.0
DizionarioPazzo56,45.0,53.0,2.0,100.0,1787.0
sliman3o,49.0,47.0,4.0,100.0,1874.0
MintDuck,51.0,48.0,1.0,100.0,1622.0
talicska,49.0,42.0,9.0,100.0,2204.0
chessliker1,59.0,41.0,0.0,100.0,2230.0
D_1_0_S,34.0,62.0,4.0,100.0,2235.0
salhoub,44.0,53.0,3.0,100.0,1809.0
chessevening,25.0,66.0,9.0,100.0,1612.0
mkmmkm,52.0,44.0,4.0,100.0,2099.0
kinma,61.0,28.0,9.0,63.0,2178.0
STORM76,46.0,49.0,5.0,100.0,2001.0
simvoldobraaa,0.0,100.0,0.0,6.0,2119.0
kingvito,46.0,53.0,1.0,100.0,997.0
azaanpathan78,54.0,42.0,4.0,100.0,1037.0
Evgeny1956,42.0,46.0,12.0,100.0,2138.0
Pailai,47.0,48.0,5.0,100.0,1699.0
JardelBarreto,0.0,100.0,0.0,9.0,1879.0
Eazy-Play,46.0,50.0,4.0,100.0,1755.0
Senaffex,26.0,73.0,0.0,15.0,1187.0
SSep,30.0,67.0,3.0,100.0,1151.0
manchess49,52.0,39.0,9.0,100.0,1826.0
Boicedar,45.0,50.0,5.0,100.0,1727.0
TrungTK2022,51.0,48.0,1.0,100.0,1883.0
YSSOO,0.0,100.0,0.0,3.0,1859.0
SupeRaider,48.0,45.0,7.0,100.0,1624.0
kangol,38.0,56.0,5.0,100.0,1393.0
hunt4you,84.0,14.0,2.0,100.0,2001.0
neeraj09823,60.0,35.0,3.0,84.0,1261.0
shen064,86.0,13.0,0.0,45.0,1511.0
Karina_17,100.0,0.0,0.0,9.0,1297.0
lesly_so,37.0,56.0,6.0,48.0,1775.0
FelixMburson,42.0,57.0,0.0,42.0,1936.0
Shinjan_1108,60.0,36.0,4.0,75.0,1800.0
Soorajmr,55.0,39.0,6.0,100.0,2330.0
smmh72,56.0,41.0,3.0,100.0,1398.0
Nikitka228,47.0,50.0,3.0,100.0,1938.0
Mormor59,42.0,57.0,0.0,84.0,1763.0
SchachTalent2,10.0,80.0,10.0,30.0,2514.0
batttot,49.0,50.0,1.0,100.0,1370.0
apilla4,25.0,73.0,2.0,100.0,1750.0
vicerc,59.0,39.0,2.0,100.0,1199.0
Alekho,42.0,54.0,4.0,100.0,1730.0
Ibrahimomeiza99,0.0,100.0,0.0,9.0,2024.0
hadin1353,51.0,46.0,3.0,100.0,1577.0
dnk588,45.0,52.0,3.0,100.0,1509.0
Aiden1025,56.0,42.0,2.0,100.0,1719.0
kvarta64,41.0,53.0,6.0,100.0,1941.0
enganwar88,53.0,46.0,1.0,100.0,1829.0
RajaShekar9,48.0,49.0,3.0,100.0,1523.0
jisanMax,46.0,53.0,0.0,30.0,979.0
Namron1209,46.0,49.0,5.0,100.0,1358.0
Ofer1000,51.0,46.0,3.0,100.0,1443.0
toilet-activity,48.0,43.0,9.0,100.0,1788.0
hadjikiko27,0.0,100.0,0.0,3.0,1332.0
utfuldodger,34.0,62.0,4.0,100.0,1665.0
giritup,65.0,34.0,1.0,100.0,1524.0
Adonin_Denys,41.0,51.0,8.0,100.0,1932.0
Evgentt009,46.0,43.0,11.0,100.0,1513.0
mattedblack,46.0,51.0,3.0,100.0,1241.0
Manukya0303,50.0,45.0,5.0,100.0,1804.0
Peraltikii,42.0,55.0,3.0,100.0,1051.0
Zhanuzak2023,49.0,38.0,13.0,100.0,2013.0
One4ikk,50.0,46.0,4.0,100.0,1667.0
parsamosavineghad12,44.0,44.0,11.0,9.0,1288.0
Skylord0109,52.0,46.0,2.0,100.0,2003.0
AnjoBlue,62.0,32.0,6.0,100.0,1863.0
xS7YREXx,61.0,38.0,0.0,78.0,1608.0
nakhatri,52.0,44.0,4.0,100.0,1604.0
Borisian,55.0,43.0,2.0,100.0,1732.0
Tigerkakao,49.0,41.0,10.0,100.0,2136.0
emgf,39.0,41.0,20.0,100.0,2197.0
Nightking2112,46.0,49.0,5.0,100.0,1756.0
ben-d,51.0,47.0,2.0,100.0,1787.0
monkyluffy,0.0,100.0,0.0,2.0,1351.0
Supcio10,35.0,58.0,5.0,51.0,1364.0
siperman-2012,45.0,49.0,6.0,100.0,2024.0
Kapetan_Miki,52.0,42.0,6.0,100.0,1945.0
Streamsaver,66.0,33.0,0.0,9.0,1717.0
nurbolatbk,51.0,44.0,5.0,100.0,2130.0
PerroHuevero,14.0,85.0,0.0,21.0,2042.0
newhexer,66.0,33.0,0.0,9.0,2355.0
bazzertron,43.0,53.0,4.0,100.0,1532.0
evilpulpo,42.0,52.0,6.0,100.0,1554.0
gau79,53.0,39.0,8.0,100.0,1951.0
Lovernios,51.0,46.0,3.0,100.0,1867.0
gamefighter,76.0,24.0,0.0,75.0,1647.0
LassiLOL,50.0,50.0,0.0,2.0,1270.0
Gaza_kci,56.0,40.0,3.0,100.0,2128.0
Zenuts,48.0,45.0,7.0,100.0,1852.0
shinigami1210,55.0,40.0,5.0,60.0,1574.0
STRONGER-FASTER-sws,44.0,51.0,5.0,100.0,1796.0
papynova,41.0,56.0,2.0,100.0,2058.0
HisWill_19,40.0,55.0,5.0,100.0,1676.0
Pulladiamante,54.0,41.0,5.0,100.0,1853.0
Aoubaida21,55.0,39.0,6.0,100.0,1858.0
shvaygerdt,46.0,51.0,3.0,100.0,1577.0
Faberaber,47.0,49.0,4.0,100.0,1745.0
HatiHatiSkakmat,67.0,33.0,0.0,100.0,1189.0
LoongMei,48.0,49.0,3.0,100.0,1339.0
