user_id,black_win_rate,black_lose_rate,black_draw_rate,black_game_count
phuocvip1412,42.30769230769231,55.769230769230774,1.9230769230769231,52.0
phebololuna,48.0,52.0,0.0,50.0
estebanovitch,40.81632653061224,55.10204081632652,4.081632653061225,49.0
DJ4Y,54.166666666666664,43.75,2.083333333333333,48.0
mirza_amaan,42.857142857142854,55.10204081632652,2.0408163265306123,49.0
estrellita05,40.0,40.0,20.0,5.0
woody86,56.00000000000001,42.0,2.0,50.0
klauspn,46.0,52.0,2.0,50.0
MISTY_96,32.0,62.0,6.0,50.0
suchetkodate,45.09803921568628,52.94117647058824,1.96078431372549,51.0
DKS256,48.0,46.0,6.0,50.0
Anirudh99545,38.46153846153847,55.769230769230774,5.769230769230769,52.0
DmitriyKol,37.735849056603776,56.60377358490566,5.660377358490567,53.0
amirvalizade1963,47.05882352941176,50.98039215686274,1.96078431372549,51.0
George_mav6704,40.0,60.0,0.0,5.0
Sangon,45.09803921568628,45.09803921568628,9.803921568627452,51.0
dnlgrassi,42.0,54.0,4.0,50.0
abdelmoezbasha,45.09803921568628,50.98039215686274,3.92156862745098,51.0
santhoshn,46.0,44.0,10.0,50.0
hitam99,36.734693877551024,57.14285714285714,6.122448979591836,49.0
Solar-Wind86,51.11111111111111,35.55555555555556,13.333333333333334,45.0
cherguimd,50.0,48.0,2.0,50.0
RagnarokLothbrok,0.0,0.0,0.0,0.0
Johnston3,46.93877551020408,53.06122448979592,0.0,49.0
Natwyk,32.6530612244898,65.3061224489796,2.0408163265306123,49.0
GOATxOVERPOWERYT9577,0.0,100.0,0.0,1.0
chemsedinebouakazi,45.09803921568628,47.05882352941176,7.84313725490196,51.0
Vladimir123kr,35.84905660377358,60.37735849056604,3.7735849056603774,53.0
Freshzombee,60.0,38.0,2.0,50.0
Blazkowi23,22.916666666666664,72.91666666666666,4.166666666666666,48.0
Zerspragler91,51.02040816326531,44.89795918367347,4.081632653061225,49.0
DCristiD,68.62745098039215,25.49019607843137,5.88235294117647,51.0
risali_123,49.09090909090909,49.09090909090909,1.818181818181818,55.0
javadmj21,60.0,38.0,2.0,50.0
rdursun,52.94117647058824,45.09803921568628,1.96078431372549,51.0
Dilip_noob,45.09803921568628,50.98039215686274,3.92156862745098,51.0
CosimoZeno,50.98039215686274,43.13725490196079,5.88235294117647,51.0
chessbyine,50.0,50.0,0.0,50.0
fugga,44.0,50.0,6.0,50.0
urizarulises1,0.0,100.0,0.0,1.0
MihoSevastopol,53.06122448979592,38.775510204081634,8.16326530612245,49.0
rumpeldipumpi,55.10204081632652,42.857142857142854,2.0408163265306123,49.0
ahaiazor4,0.0,0.0,0.0,0.0
ASsmaditya,60.0,40.0,0.0,5.0
Andry174,47.91666666666667,47.91666666666667,4.166666666666666,48.0
avetgrigor,57.14285714285714,38.775510204081634,4.081632653061225,49.0
AngeZ021,59.18367346938776,36.734693877551024,4.081632653061225,49.0
Boccherss,0.0,0.0,0.0,0.0
perry444,41.17647058823529,58.82352941176471,0.0,51.0
hanzohattoriii,35.41666666666667,60.416666666666664,4.166666666666666,48.0
euroval,56.00000000000001,38.0,6.0,50.0
hm468070,51.02040816326531,44.89795918367347,4.081632653061225,49.0
yabbaman7493,0.0,100.0,0.0,2.0
csprejer,27.083333333333332,68.75,4.166666666666666,48.0
Chess-In-Motion,23.076923076923077,75.0,1.9230769230769231,52.0
pilavustuet,45.45454545454545,49.09090909090909,5.454545454545454,55.0
r-v5g,48.0,50.0,2.0,50.0
makyxaaa,45.09803921568628,50.98039215686274,3.92156862745098,51.0
Vadilka,42.0,57.99999999999999,0.0,50.0
nileshmithiya,42.857142857142854,57.14285714285714,0.0,42.0
waits05,40.81632653061224,57.14285714285714,2.0408163265306123,49.0
FKom58,42.0,54.0,4.0,50.0
Akam_1235,40.81632653061224,55.10204081632652,4.081632653061225,49.0
cardere,54.166666666666664,41.66666666666667,4.166666666666666,48.0
maujoma,51.92307692307693,44.230769230769226,3.8461538461538463,52.0
timorlov,44.0,56.00000000000001,0.0,50.0
Mhlobo,37.5,60.416666666666664,2.083333333333333,48.0
pavel77m,52.94117647058824,47.05882352941176,0.0,51.0
mertmex,43.13725490196079,47.05882352941176,9.803921568627452,51.0
SaptakPanda,43.75,43.75,12.5,16.0
bhawthor,40.35087719298245,52.63157894736842,7.017543859649122,57.0
suesswarenlieferant,37.735849056603776,60.37735849056604,1.8867924528301887,53.0
BotayRinat,50.943396226415096,39.62264150943396,9.433962264150944,53.0
arnoldAK,58.333333333333336,39.58333333333333,2.083333333333333,48.0
Fayis1982,32.608695652173914,56.52173913043478,10.869565217391305,46.0
Bellator_truimph,25.0,62.5,12.5,8.0
Ecuador_Carloz,56.00000000000001,38.0,6.0,50.0
BauruMarcelo,38.095238095238095,52.38095238095239,9.523809523809524,42.0
Narengi14,44.230769230769226,51.92307692307693,3.8461538461538463,52.0
ka9807,44.0,50.0,6.0,50.0
Dunkin_Kwim,46.0,52.0,2.0,50.0
Cali-Dragon,44.0,52.0,4.0,50.0
Dabro4ess,,,,
magal100,38.0,62.0,0.0,50.0
filip_j,40.81632653061224,59.18367346938776,0.0,49.0
filkinagramota,42.0,57.99999999999999,0.0,50.0
I_adore_Anna_Korsun,30.76923076923077,69.23076923076923,0.0,13.0
Zeno1993,37.25490196078432,62.74509803921568,0.0,51.0
saifanov20,27.450980392156865,68.62745098039215,3.92156862745098,51.0
Toni_Mackaroni,50.84745762711864,44.06779661016949,5.084745762711865,59.0
sreedhar747,37.03703703703704,51.85185185185185,11.11111111111111,27.0
nutsu7m,40.0,57.99999999999999,2.0,50.0
SlimyTaco,50.0,40.0,10.0,50.0
CampPe,28.846153846153843,67.3076923076923,3.8461538461538463,52.0
AndrSid,37.735849056603776,54.71698113207547,7.547169811320755,53.0
engelmar,50.0,44.0,6.0,50.0
pmv_70,45.83333333333333,52.083333333333336,2.083333333333333,48.0
DumbArmin,52.77777777777778,44.44444444444444,2.7777777777777777,36.0
Hardy09,57.14285714285714,42.857142857142854,0.0,49.0
lacroqueta_peligrosa,52.0,42.0,6.0,50.0
handada,55.319148936170215,31.91489361702128,12.76595744680851,47.0
JasonMR_10,56.00000000000001,34.0,10.0,50.0
Maharahdja,42.857142857142854,53.06122448979592,4.081632653061225,49.0
miykl58,50.0,46.0,4.0,50.0
haleo,48.93617021276596,48.93617021276596,2.127659574468085,47.0
nezevrov11,39.53488372093023,58.139534883720934,2.3255813953488373,43.0
ms_crc,42.0,54.0,4.0,50.0
legeniechampion,51.92307692307693,38.46153846153847,9.615384615384617,52.0
just4fun_xxx,34.61538461538461,53.84615384615385,11.538461538461538,52.0
Albert_Zabudov,60.0,20.0,20.0,5.0
Mekambe2137,53.70370370370371,40.74074074074074,5.555555555555555,54.0
Marat333,0.0,0.0,0.0,0.0
otis32,50.0,48.0,2.0,50.0
canelita_2024,0.0,100.0,0.0,1.0
Bonsai_007,46.15384615384615,48.07692307692308,5.769230769230769,52.0
EnGassant,44.89795918367347,51.02040816326531,4.081632653061225,49.0
mrmangotango,46.0,50.0,4.0,50.0
metallicr,56.00000000000001,44.0,0.0,50.0
nqiniso,51.02040816326531,40.81632653061224,8.16326530612245,49.0
Stathis_Branikas,36.36363636363637,63.63636363636363,0.0,22.0
C2ma,50.0,48.0,2.0,50.0
eliseus_1603,48.148148148148145,51.85185185185185,0.0,54.0
mahlangumhlongo,38.775510204081634,53.06122448979592,8.16326530612245,49.0
Ninja1500,34.69387755102041,61.224489795918366,4.081632653061225,49.0
mohamedssakr,46.93877551020408,46.93877551020408,6.122448979591836,49.0
manu-gt,33.9622641509434,60.37735849056604,5.660377358490567,53.0
notahuman_0601,0.0,0.0,0.0,0.0
karthik_holla,47.82608695652174,45.65217391304348,6.521739130434782,46.0
AxlRo,34.04255319148936,61.702127659574465,4.25531914893617,47.0
Tamesh,50.0,47.82608695652174,2.1739130434782608,46.0
minasfox,45.83333333333333,52.083333333333336,2.083333333333333,48.0
eren_kls07,52.94117647058824,47.05882352941176,0.0,51.0
HOLLOWBELL,53.06122448979592,42.857142857142854,4.081632653061225,49.0
P5489151287877327827,51.02040816326531,40.81632653061224,8.16326530612245,49.0
kobuniko,47.91666666666667,47.91666666666667,4.166666666666666,48.0
tukijj,55.769230769230774,38.46153846153847,5.769230769230769,52.0
appAlexander,41.509433962264154,54.71698113207547,3.7735849056603774,53.0
