user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Luis-Valenzuela,37.0,57.0,5.0,100.0,1722.0
Tiago_Silva_CEPI,62.0,31.0,7.0,100.0,1260.0
pkogan,40.0,50.0,10.0,100.0,2200.0
hmv25,44.0,45.0,11.0,100.0,1835.0
nirmaldansera2012,64.0,31.0,5.0,100.0,1848.0
goldman1985,56.0,42.0,2.0,100.0,1797.0
Mlescord,47.0,52.0,0.0,51.0,1294.0
dogbird1894,50.0,43.0,7.0,100.0,1325.0
chessushka,42.0,46.0,12.0,100.0,1458.0
KAWAO,42.0,56.0,2.0,100.0,1760.0
Pawnman151,38.0,55.0,7.0,100.0,1271.0
rechka_alaya,53.0,42.0,5.0,100.0,2147.0
daunsaga92,50.0,46.0,4.0,100.0,1866.0
MrEnderby,45.0,51.0,4.0,100.0,1745.0
Shinychess21,41.0,56.0,3.0,100.0,1654.0
darius_slater,41.0,57.0,1.0,100.0,1695.0
superstirer,71.0,28.0,0.0,21.0,1273.0
Slavanog,33.0,66.0,0.0,9.0,1965.0
MarianoHR,48.0,50.0,2.0,100.0,1808.0
JuanK_Alvares,23.0,68.0,9.0,100.0,1920.0
GonzaloA,45.0,53.0,2.0,100.0,1550.0
mos857,33.0,66.0,0.0,6.0,1500.0
Loeza_04,51.0,49.0,0.0,100.0,1408.0
bonika,53.0,42.0,5.0,100.0,1965.0
hsynayz,46.0,53.0,1.0,100.0,1452.0
mmsjd2004923,40.0,60.0,0.0,15.0,2086.0
Sujay2808,55.0,42.0,3.0,100.0,1721.0
kayombokandala,38.0,56.0,5.0,100.0,1674.0
FritzausBammental,50.0,48.0,2.0,100.0,2223.0
lacok68,53.0,47.0,0.0,100.0,1617.0
UlfMayer,34.0,53.0,13.0,100.0,2165.0
h1234hxnnxh,3.0,96.0,0.0,29.0,981.0
mehmetscholl2707,52.0,43.0,5.0,100.0,1162.0
whobertoos,60.0,40.0,0.0,15.0,1748.0
Chozagall,61.0,36.0,3.0,100.0,1998.0
Michal_Arend,48.0,48.0,4.0,100.0,1523.0
Tiema,38.0,53.0,9.0,100.0,1877.0
pjesio,50.0,45.0,5.0,100.0,1581.0
NikitosSmirnov,28.0,57.0,14.0,42.0,605.0
Fajer-shataranj6788,42.0,57.0,0.0,84.0,1316.0
Destiny_Dreamer,66.0,33.0,0.0,18.0,1792.0
cavityhole,70.0,29.0,0.0,51.0,1543.0
Horse4x4,30.0,53.0,15.0,39.0,1866.0
shtyrbu068,41.0,54.0,5.0,100.0,1653.0
I-love-life,35.0,64.0,1.0,100.0,1597.0
aalanouri,57.0,42.0,0.0,21.0,2267.0
Brooklynguy,41.0,57.0,1.0,100.0,1708.0
Loveruelw,41.0,54.0,5.0,100.0,1724.0
DivyaRaviRajGubbala,42.0,55.0,3.0,100.0,1320.0
MarcusLiciniusCrass,48.0,52.0,0.0,100.0,1206.0
TengizMoshiashvili8,66.0,33.0,0.0,18.0,1572.0
qsr1409,47.0,47.0,6.0,100.0,1842.0
varsh-frost,0.0,100.0,0.0,21.0,854.0
ingavure,0.0,100.0,0.0,3.0,1042.0
Bry_Maghanoy,55.0,35.0,10.0,100.0,2334.0
Nmn133,46.0,53.0,1.0,100.0,1565.0
Karimi_1386,39.0,54.0,7.0,100.0,1284.0
shanvithalahari,41.0,53.0,6.0,100.0,1033.0
then103,100.0,0.0,0.0,1.0,1821.0
Petr_Hronik,56.0,35.0,9.0,100.0,2174.0
Chess_institute,52.0,41.0,7.0,100.0,2413.0
Reno16,100.0,0.0,0.0,3.0,1405.0
Cendana_Selatan,38.0,61.0,1.0,100.0,1394.0
regen18,39.0,56.0,5.0,100.0,1610.0
aanreitaylor,52.0,40.0,8.0,100.0,1889.0
Misl23,44.0,51.0,5.0,100.0,1207.0
Parishi_k,27.0,72.0,0.0,11.0,942.0
klachkoalexander,43.0,52.0,5.0,100.0,1635.0
Andreiivanov1974,53.0,43.0,4.0,100.0,1219.0
Phamson-2015,25.0,66.0,8.0,36.0,1122.0
HyraChess,48.0,49.0,3.0,100.0,1901.0
Gegham,45.0,51.0,4.0,100.0,1637.0
ValknutVacuity,50.0,43.0,7.0,100.0,1800.0
iaramsey,50.0,47.0,3.0,100.0,1605.0
mars-3000,54.0,37.0,9.0,100.0,2197.0
TWNB1,30.0,69.0,1.0,100.0,1547.0
mr_shiva_4,26.0,67.0,6.0,65.0,797.0
Aareonakakanfo,52.0,44.0,4.0,100.0,2146.0
geroalcivar,50.0,50.0,0.0,6.0,1345.0
lupay7,70.0,30.0,0.0,30.0,1816.0
Joaquin_base55,52.0,47.0,1.0,100.0,1407.0
Patricio14081409,48.0,42.0,10.0,100.0,1764.0
Burritochingon,39.0,56.0,5.0,100.0,1877.0
LittlePawnee,100.0,0.0,0.0,3.0,1541.0
MrYoubaYahiaoui,47.0,49.0,4.0,100.0,2228.0
kalule,50.0,48.0,2.0,100.0,2091.0
kalash1947,51.0,49.0,0.0,100.0,1732.0
ElectricalS1mS0n,54.0,25.0,21.0,100.0,2043.0
Den2712,36.0,61.0,3.0,100.0,1809.0
Dionysus11,52.0,43.0,5.0,100.0,1067.0
pawn-starz,50.0,50.0,0.0,100.0,1700.0
WilliamRueca,0.0,100.0,0.0,3.0,1905.0
salazar28,14.0,85.0,0.0,21.0,1495.0
wanassi,52.0,43.0,5.0,100.0,2057.0
Gimalabon,49.0,42.0,9.0,100.0,2101.0
Castrador,38.0,59.0,3.0,100.0,2407.0
papaguancho,47.0,50.0,3.0,100.0,1934.0
nourradwan2023,60.0,30.0,10.0,60.0,1473.0
Askalgi,47.0,36.0,15.0,57.0,1455.0
Ari_leo,44.0,52.0,4.0,100.0,2153.0
Sergeich157,50.0,50.0,0.0,6.0,1770.0
chezzneofite,43.0,47.0,10.0,100.0,1641.0
flappypigs,32.0,59.0,8.0,37.0,1282.0
solapado,46.0,51.0,3.0,100.0,2340.0
DJAlCapone,47.0,53.0,0.0,100.0,1057.0
Krpokapetan,0.0,100.0,0.0,3.0,2346.0
termi69,42.0,54.0,4.0,100.0,1634.0
topo_chico,30.0,69.0,0.0,39.0,1959.0
miladkian89,41.0,51.0,8.0,100.0,1932.0
realnoob23,100.0,0.0,0.0,54.0,2247.0
as-2203,46.0,52.0,2.0,100.0,1785.0
young_guy,40.0,60.0,0.0,30.0,1863.0
ChessMaster_uz,50.0,45.0,5.0,100.0,2380.0
Kite2009,40.0,56.0,3.0,90.0,1596.0
Habra,51.0,49.0,0.0,100.0,1300.0
Gordans,42.0,54.0,4.0,100.0,1416.0
luisalberto007,17.0,83.0,0.0,100.0,1417.0
RedQueenre,52.0,44.0,4.0,100.0,1892.0
TMG1956,43.0,53.0,4.0,100.0,1747.0
salabai,46.0,54.0,0.0,100.0,1510.0
streambuf,46.0,46.0,8.0,100.0,1224.0
jorgenholt,66.0,33.0,0.0,18.0,1515.0
nayari,43.0,54.0,3.0,100.0,1090.0
Amator_61,53.0,42.0,5.0,100.0,1921.0
bayamin,50.0,48.0,2.0,100.0,2265.0
KoHeBa9I_LoJKa,52.0,47.0,1.0,100.0,1492.0
mer_fedor,43.0,53.0,4.0,100.0,1134.0
P0rkus,51.0,48.0,1.0,100.0,1220.0
gilles1402,45.0,54.0,1.0,100.0,1270.0
TheBigDOI2022,54.0,40.0,6.0,100.0,2245.0
Mrigangka_7,0.0,100.0,0.0,1.0,1210.0
nelxiii,47.0,48.0,5.0,100.0,1737.0
Ivancvzg,55.0,42.0,3.0,100.0,1510.0
KingAhMeD03,0.0,100.0,0.0,6.0,1175.0
skutin,51.0,45.0,4.0,100.0,2099.0
entropi,48.0,49.0,3.0,100.0,1806.0
Queenchess2003,50.0,35.0,15.0,100.0,2040.0
DimitriBermuda,48.0,51.0,1.0,100.0,1901.0
linxandjinx,47.0,51.0,2.0,100.0,1643.0
Trachypogon,42.0,51.0,7.0,100.0,1805.0
schochgiachon8499,53.0,36.0,11.0,100.0,1981.0
Monster130330,38.0,56.0,5.0,39.0,1497.0
gokuenzo,51.0,44.0,5.0,100.0,1352.0
noelopansiort,49.0,44.0,7.0,100.0,2128.0
rajendrab,31.0,61.0,8.0,100.0,2295.0
ChessOneIlyasAzimov,0.0,100.0,0.0,3.0,2296.0
calciumoxalat,40.0,59.0,1.0,100.0,1400.0
IlyaGaidarov,49.0,46.0,5.0,100.0,1960.0
hisjjness2,44.0,54.0,2.0,100.0,1647.0
Amir10101385,50.0,46.0,4.0,100.0,1102.0
Kostik43,47.0,47.0,6.0,100.0,1703.0
James-Chess18,54.0,46.0,0.0,100.0,1588.0
armanserikbosyn,46.0,48.0,6.0,100.0,1556.0
Manzovich,65.0,21.0,13.0,69.0,1772.0
corina10,44.0,45.0,11.0,100.0,2176.0
Hamidzz98,50.0,47.0,3.0,100.0,1539.0
KingLauri200,56.0,44.0,0.0,100.0,1475.0
Alinator,46.0,49.0,5.0,100.0,2006.0
bulsingCMN,33.0,66.0,0.0,6.0,1205.0
AdventureTime2,66.0,33.0,0.0,18.0,2102.0
Middle_Dominator,0.0,100.0,0.0,3.0,815.0
BufnitaCareHuleste,50.0,45.0,5.0,100.0,1609.0
markoccar,25.0,67.0,6.0,93.0,1460.0
framoiz,0.0,100.0,0.0,3.0,2160.0
sajjad_pr,46.0,50.0,4.0,100.0,1889.0
manulunam,42.0,56.0,1.0,100.0,1492.0
