user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_highest_blitz_opponent_rating,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_win_streak_current,user_win_streak_max,user_loss_streak_current,user_loss_streak_max,user_total_games_played,user_op,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_total_games_played,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max,game_result
Marifercristobal,1189.0,43.0,53.0,4.0,100.0,41.17647058823529,54.90196078431373,3.92156862745098,51.0,171.99,1807.0,1539.0,1504.0,3.0,7.0,0.0,6.0,222,starship3,114.17,34.0,60.0,5.0,73.0,70,0.0,3.0,3.0,6.0,1
maz350_k1,1805.0,52.0,46.0,2.0,100.0,44.0,52.0,4.0,50.0,45.02,1986.0,1979.0,1971.0,0.0,15.0,4.0,18.0,52344,Idebuda,45.01,50.0,47.0,3.0,100.0,7044,0.0,13.0,1.0,11.0,-1
Beemsterboa,1838.0,55.0,43.0,2.0,100.0,63.46153846153846,34.61538461538461,1.9230769230769231,52.0,45.01,2290.0,2179.0,2167.0,0.0,14.0,1.0,9.0,1884,Nikolai1109,45.08,50.0,47.0,3.0,100.0,15435,0.0,16.0,2.0,13.0,-1
big-bad,908.0,60.0,40.0,0.0,15.0,54.0,38.0,8.0,50.0,52.8,1546.0,1071.0,1031.0,1.0,9.0,0.0,23.0,1198,guwse,163.03,0.0,0.0,0.0,0.0,2052,0.0,10.0,3.0,9.0,1
Cyanideandhappiness,1465.0,33.0,66.0,0.0,9.0,32.142857142857146,67.85714285714286,0.0,28.0,73.85,1573.0,1535.0,1529.0,0.0,3.0,2.0,6.0,50,ThimanTThulnith,292.26,0.0,100.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1
lvbnhbq1982,1338.0,48.0,47.0,5.0,100.0,50.0,42.30769230769231,7.6923076923076925,52.0,45.03,1944.0,1860.0,1851.0,0.0,12.0,0.0,11.0,3350,earendilist,45.62,56.0,41.0,2.0,100.0,1595,0.0,10.0,3.0,11.0,1
fortaken,1496.0,32.0,64.0,3.0,84.0,39.58333333333333,52.083333333333336,8.333333333333332,48.0,45.22,2101.0,2029.0,2013.0,2.0,10.0,0.0,12.0,4262,chu3r,146.43,0.0,0.0,0.0,0.0,992,1.0,8.0,0.0,23.0,-1
jonateng,1432.0,53.0,44.0,3.0,100.0,39.21568627450981,58.82352941176471,1.96078431372549,51.0,45.61,1565.0,1539.0,1529.0,1.0,10.0,0.0,9.0,2050,rog9lik,45.13,43.0,54.0,3.0,100.0,11892,0.0,12.0,1.0,13.0,1
schachsinnig,1635.0,22.0,66.0,11.0,27.0,46.15384615384615,51.92307692307693,1.9230769230769231,52.0,48.16,1984.0,1837.0,1831.0,0.0,9.0,3.0,13.0,1473,lVl1das,45.3,53.0,45.0,2.0,100.0,4641,2.0,13.0,0.0,9.0,-1
BMBenito_2016_Tugue,1359.0,53.0,43.0,4.0,100.0,37.25490196078432,58.82352941176471,3.92156862745098,51.0,45.74,2210.0,2093.0,1908.0,0.0,8.0,1.0,13.0,790,javy2r,500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
bobsonx10,1493.0,52.0,48.0,0.0,100.0,56.86274509803921,43.13725490196079,0.0,51.0,45.03,1615.0,1592.0,1591.0,0.0,6.0,2.0,6.0,425,F06abeja,45.1,52.0,46.0,2.0,100.0,3711,1.0,12.0,0.0,10.0,1
VaChechnev,1768.0,49.0,44.0,7.0,100.0,49.01960784313725,41.17647058823529,9.803921568627452,51.0,45.07,1907.0,1899.0,1896.0,0.0,10.0,1.0,8.0,3160,CHIKUPATRA647,45.12,63.0,36.0,0.0,90.0,3791,0.0,9.0,2.0,10.0,1
SirNefarious630,1816.0,45.0,52.0,3.0,100.0,45.23809523809524,50.0,4.761904761904762,42.0,45.84,1960.0,1939.0,1911.0,2.0,7.0,0.0,8.0,88,SHARA1313,45.06,39.0,53.0,8.0,100.0,3071,0.0,9.0,2.0,10.0,1
GramBoLubie66,1745.0,37.0,53.0,10.0,100.0,34.54545454545455,49.09090909090909,16.363636363636363,55.0,45.2,2026.0,2008.0,2001.0,1.0,8.0,0.0,8.0,1307,Frankie_Tucson,231.24,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,-1
tshifeler,1466.0,38.0,56.0,5.0,100.0,47.91666666666667,47.91666666666667,4.166666666666666,48.0,45.09,1812.0,1624.0,1526.0,0.0,10.0,1.0,12.0,1890,hacta,45.02,51.0,43.0,6.0,100.0,2701,1.0,12.0,0.0,8.0,0
foreverStuck,1773.0,50.0,33.0,16.0,18.0,46.15384615384615,53.84615384615385,0.0,52.0,46.53,1944.0,1925.0,1913.0,0.0,12.0,0.0,11.0,12536,dragon_muto,49.25,75.0,25.0,0.0,12.0,1962,0.0,9.0,1.0,11.0,-1
