user_id,win_rate,lose_rate,draw_rate,game_count
openingwikipedia,46.0,47.0,7.0,100.0
Titrex-V2,49.0,49.0,2.0,100.0
sandrozmaj69,48.0,50.0,2.0,100.0
fatheralexandra,0.0,0.0,0.0,0.0
AmanAly,0.0,66.0,33.0,3.0
yusupov_24,0.0,0.0,0.0,0.0
DanilAleks,64.0,33.0,3.0,100.0
mohabbathaitumse,0.0,0.0,0.0,0.0
DefeatedHusband,56.0,43.0,1.0,100.0
rhili,53.0,47.0,0.0,100.0
Grizzly65x,54.0,43.0,3.0,100.0
alek-superstar,47.0,46.0,7.0,100.0
deekshanmdu2024,25.0,75.0,0.0,4.0
DeusDavidson,40.0,49.0,11.0,100.0
brunoalec,0.0,0.0,0.0,0.0
kaihagenlange,47.0,53.0,0.0,100.0
Kabbujino,54.0,46.0,0.0,100.0
Surjeetkaur237,0.0,0.0,0.0,0.0
DrArdilla,0.0,0.0,0.0,0.0
dereksierra1,49.0,46.0,5.0,100.0
LilHitandRun,100.0,0.0,0.0,6.0
JJK-SatoruGojo,60.0,34.0,6.0,100.0
Slartibartfas42,66.0,33.0,0.0,6.0
MariguasSSB,52.0,43.0,5.0,100.0
interpretivechess,46.0,38.0,15.0,39.0
zahlmir123,0.0,100.0,0.0,3.0
hibernatorM,48.0,42.0,10.0,100.0
Edward63,47.0,49.0,4.0,100.0
Rmukil,42.0,55.0,3.0,100.0
sensational_pawn,46.0,53.0,1.0,100.0
Bogdan_43,71.0,28.0,0.0,63.0
CRomao7,50.0,46.0,4.0,100.0
Hidrex,28.0,64.0,7.0,42.0
marketpobed,0.0,0.0,0.0,0.0
SURENAalizadeh1399,0.0,100.0,0.0,6.0
Katok_64,55.0,30.0,15.0,100.0
gozhm,0.0,100.0,0.0,6.0
Eleliole,0.0,0.0,0.0,0.0
RF_Legolasdn,50.0,46.0,4.0,100.0
gale013,44.0,22.0,33.0,27.0
ZeroCools,40.0,55.0,5.0,100.0
hmadanagah,50.0,50.0,0.0,12.0
UseTheForce831,46.0,43.0,11.0,100.0
gitank,33.0,66.0,0.0,15.0
Hans_C17,30.0,63.0,7.0,100.0
Mrwhite44,25.0,75.0,0.0,12.0
diegoagudeloo5,48.0,46.0,6.0,100.0
