user_id,blitz_rating
Markkut,1490.0
RatofNimh,1446.0
Vova5960,1087.0
Carta_Vetrata,1891.0
Kiskar,2670.0
shashankmis123,747.0
bad-brains,1800.0
anayagarwal2008,1331.0
ngibator2022,1201.0
datajunkie,2775.0
Lishadark,2001.0
Khwan7,840.0
Ms-MaNHaTTaN,2045.0
Z2cd3,1218.0
OhanyanEminChess,2745.0
XXiloop32,2400.0
in24,2342.0
Nocturnas,1157.0
shaurya1702,2107.0
Weak1Slow1,2328.0
BatmanBinSuparman,2212.0
jrpenteado,2030.0
BigCarl,1178.0
bob_tables,1092.0
millesabords,2031.0
cybermanic,1309.0
Utere,1579.0
AMIR-77777777,2316.0
iva182,2305.0
zeta2k,1431.0
lucasmaximus2,1808.0
Kaspa_nor,1755.0
Zsakk19,1137.0
slapduck,1174.0
ChessPlayer15346,1030.0
Ahm_EDbnd,916.0
DrMHJ,2187.0
Ebi2000,1887.0
LinconLuz,1531.0
EnvySmart,2585.0
damuero,1251.0
MMM005,1403.0
JG_NAV,2018.0
whataper,2217.0
serg54,1894.0
Grandpa70,1509.0
FuegoAbrumador,2667.0
DrFlagstein,2865.0
AladarProGT,2391.0
xeque60,1807.0
SuneSon,1306.0
Zeneval,1702.0
Yadu868,1583.0
lazzza_xx,1500.0
ValidAlekhine,2500.0
z2win,2298.0
Brenjos,2436.0
harolmonsalve,1426.0
gectiborunpazari,1150.0
blindfold_chess_7,955.0
miaowha,1634.0
hadeed,2197.0
quicksilver2,2446.0
venco_m,1518.0
Marea_Unire_1918,1961.0
vlh,1951.0
Arielchezz77,2243.0
plansugus,2605.0
NeverOFzero,2223.0
Nikk128,1628.0
lynus_kho,2436.0
Nebet,1886.0
EtPeVe,853.0
Juanjojjl,1822.0
BowleORice,1759.0
Ford_Crown_Vic,1154.0
bowbeforeme,1306.0
ZeruHmyz,2435.0
jonny0112,854.0
LolaIce,1638.0
Zambran,2460.0
vaishu3303,1029.0
Aladdinsalman,1384.0
A7nour73,1207.0
mo7karim,1297.0
DerSchachArzt,2356.0
Justin20140815,2038.0
