,user_id,blitz_rating,total_games_played
259,nutsu7m,1738.0,450
260,SlimyTaco,1755.0,426
261,CampPe,1784.0,6606
262,AndrSid,1365.0,7330
263,engelmar,1439.0,5757
264,pmv_70,1760.0,20004
265,DumbArmin,1437.0,70
266,Hardy09,1655.0,396
267,lacroqueta_peligrosa,1848.0,991
268,handada,1881.0,105
269,JasonMR_10,1304.0,776
270,Maharahdja,1401.0,23515
271,miykl58,1837.0,4261
272,haleo,1593.0,5011
273,nezevrov11,1568.0,36258
274,ms_crc,1414.0,7617
275,legeniechampion,1729.0,158
276,just4fun_xxx,1473.0,2635
277,Albert_Zabudov,1356.0,3
278,Mekambe2137,1323.0,460
279,Marat333,1616.0,2
280,otis32,1206.0,547
281,canelita_2024,1500.0,0
282,Bonsai_007,1428.0,8334
283,EnGassant,1315.0,145
284,mrmangotango,1429.0,803
285,metallicr,1858.0,914
286,nqiniso,1528.0,4010
287,Stathis_Branikas,1077.0,49
288,C2ma,1730.0,22899
289,eliseus_1603,1291.0,4629
290,mahlangumhlongo,1198.0,240
291,Ninja1500,1391.0,105
292,mohamedssakr,1730.0,46894
293,manu-gt,1399.0,10106
294,notahuman_0601,1500.0,0
295,karthik_holla,1387.0,4686
296,AxlRo,1768.0,999
297,Tamesh,1831.0,2728
298,minasfox,1546.0,1602
299,eren_kls07,1387.0,327
300,HOLLOWBELL,1772.0,429
301,P5489151287877327827,1382.0,276
302,kobuniko,1467.0,8466
303,tukijj,1545.0,523
304,appAlexander,1410.0,5151
305,AngreifervolleKanone,1720.0,21413
306,ezln88,1532.0,19419
307,kidh,1400.0,2337
308,marvel1,1887.0,15445
309,PADAYANI21,2133.0,23
310,Andrea_F54,1316.0,459
311,valbuev,1498.0,585
312,rrgarcia93,1540.0,440
313,hazemfazzzaa85,1391.0,55
314,Amablenegrelle,1524.0,1857
315,blasALANGUIA_ESIC,1319.0,1822
316,davidhummel,1691.0,2188
317,ghobad141414,1764.0,6017
318,chapman_green,1216.0,518
319,Nofacekillah,1265.0,888
