user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
adpinto93,1865.0,48.0,52.0,0.0,100.0,45.0
Cat_down,1371.0,43.0,43.0,12.0,48.0,46.67
gatots,1318.0,40.0,55.0,5.0,100.0,45.04
Yuriplay,1450.0,34.0,66.0,0.0,100.0,45.67
CAMOKAT,1419.0,52.0,46.0,2.0,100.0,45.1
PVZ1971,2336.0,48.0,47.0,5.0,100.0,45.09
momot74,1400.0,47.0,50.0,3.0,100.0,45.0
Oleg_Vereshchagin_49,2137.0,50.0,45.0,5.0,100.0,45.2
Raciborz-dzistek,1357.0,44.0,52.0,4.0,100.0,45.08
Rehan-khan5146,1326.0,33.0,66.0,0.0,9.0,192.85
ZeRevenanT,2337.0,56.0,39.0,4.0,100.0,45.12
Iluminaze,1964.0,48.0,47.0,5.0,100.0,46.21
Zmey90,1927.0,49.0,45.0,6.0,100.0,45.86
AHoffman,2523.0,48.0,42.0,10.0,100.0,45.01
guibussadori,1203.0,49.0,50.0,1.0,100.0,45.55
Mubus42,1325.0,47.0,53.0,0.0,100.0,45.14
MistDragon525,945.0,35.0,54.0,9.0,31.0,76.64
Mohieeeldab3,2062.0,48.0,47.0,5.0,100.0,45.05
catalinmihaila,1465.0,48.0,50.0,2.0,100.0,45.04
maherhshas,1394.0,50.0,50.0,0.0,100.0,45.03
Mordeus,2128.0,40.0,50.0,10.0,100.0,45.01
Maximov33,1880.0,47.0,50.0,3.0,100.0,45.05
bhav05,1720.0,46.0,46.0,8.0,100.0,51.59
Temps799,699.0,55.0,35.0,10.0,100.0,45.07
Anapher,2367.0,43.0,48.0,9.0,100.0,47.62
jromeroh,1251.0,43.0,55.0,2.0,100.0,45.1
Mashul,1765.0,40.0,60.0,0.0,15.0,93.93
Lamatal,2398.0,53.0,37.0,10.0,100.0,45.0
Kanigia,1856.0,43.0,50.0,7.0,100.0,45.0
SacSacSacSacMate,2281.0,53.0,44.0,3.0,100.0,48.34
drunk_frank,1444.0,56.0,43.0,1.0,100.0,45.04
depaz17,2169.0,42.0,53.0,5.0,100.0,45.02
KyleRobertson,1515.0,60.0,20.0,20.0,15.0,79.25
ed007007,691.0,39.0,53.0,8.0,100.0,56.15
edward121995,1357.0,46.0,42.0,12.0,100.0,45.07
kaye86,1338.0,44.0,51.0,5.0,100.0,45.0
ChesterGuy,1411.0,33.0,66.0,0.0,27.0,45.27
uragon2018,2044.0,47.0,48.0,5.0,100.0,45.08
weekendwoodpusher,1733.0,40.0,59.0,1.0,100.0,100.33
Devil293,2595.0,70.0,18.0,12.0,100.0,64.7
Polfunus,912.0,27.0,63.0,9.0,33.0,92.2
UnknownM8,2581.0,49.0,46.0,5.0,100.0,45.0
Jjdu56,2525.0,54.0,38.0,8.0,100.0,45.0
