user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,blitz_rating
Bgreaney,51.0,45.0,4.0,100.0,1108.0
elchin1,54.0,44.0,2.0,100.0,1451.0
sanesmar,35.0,64.0,0.0,51.0,1534.0
langster1980,41.0,56.0,3.0,100.0,1058.0
dimkablazzer,56.0,38.0,6.0,100.0,1737.0
ismail030373,45.0,45.0,10.0,100.0,2020.0
Argha_chess,51.0,42.0,7.0,100.0,1509.0
Maximator,45.0,51.0,4.0,100.0,1904.0
Knuple,48.0,50.0,2.0,100.0,1412.0
khalid-a-m-y,44.0,54.0,2.0,100.0,2028.0
ssrinithi,75.0,0.0,25.0,12.0,1764.0
Elmokhtari7320,50.0,49.0,1.0,100.0,1913.0
Hlastooo27,46.0,51.0,3.0,100.0,1966.0
hasan7342,50.0,44.0,6.0,100.0,1568.0
vladan_93,50.0,50.0,0.0,18.0,1938.0
Candace181891,44.0,55.0,1.0,100.0,1375.0
trenak,56.0,41.0,2.0,100.0,1906.0
Crocodile_Chessis,48.0,48.0,4.0,100.0,1721.0
paco22,46.0,50.0,4.0,100.0,1916.0
logicpro2002,44.0,54.0,2.0,100.0,1109.0
Itura,50.0,44.0,6.0,100.0,961.0
Marindi,48.0,48.0,4.0,100.0,1434.0
Pankaj_Hiremath,0.0,100.0,0.0,3.0,1595.0
pepedi,40.0,56.0,3.0,100.0,1480.0
sirficher,67.0,33.0,0.0,100.0,1484.0
ManoharIndiaAp,49.0,47.0,4.0,100.0,1321.0
cheftomer4,44.0,52.0,4.0,100.0,1599.0
Trainer_B,50.0,43.0,6.0,48.0,2026.0
Deepu2109,36.0,62.0,2.0,100.0,1363.0
hungoverdoctor,37.0,62.0,0.0,24.0,1463.0
P_1809,33.0,66.0,0.0,9.0,1500.0
JEV557,48.0,49.0,3.0,100.0,1391.0
TurkishKing35,25.0,70.0,5.0,100.0,1412.0
eskaliburR,40.0,49.0,11.0,100.0,2142.0
Rohitgsubs,66.0,26.0,6.0,90.0,1313.0
todessehnsucht,0.0,0.0,100.0,3.0,1270.0
FerozNimo,45.0,50.0,5.0,100.0,1628.0
Ljubo81,55.0,43.0,2.0,100.0,1720.0
Yuvansankar,48.0,50.0,2.0,100.0,1130.0
drybalka,41.0,55.0,4.0,100.0,1484.0
fresswolf,47.0,47.0,6.0,100.0,1363.0
ThePenguin6969,47.0,52.0,1.0,100.0,1399.0
Haremhab,54.0,41.0,5.0,100.0,1101.0
Dane987,53.0,47.0,0.0,100.0,1673.0
PoulpeSupreme,40.0,60.0,0.0,15.0,1215.0
russel78,46.0,51.0,3.0,100.0,1192.0
bsing,56.0,41.0,2.0,100.0,1995.0
Ossiwaldo,48.0,47.0,5.0,100.0,1094.0
Dolanduck5,48.0,46.0,6.0,100.0,1579.0
M-JKE,41.0,54.0,5.0,100.0,1200.0
Tobi1909,50.0,46.0,4.0,100.0,1395.0
HurricaneOtss,34.0,65.0,0.0,23.0,1573.0
rajeshb55,49.0,46.0,5.0,100.0,940.0
emmazavrik,24.0,53.0,22.0,49.0,636.0
Noorsalih7,44.0,52.0,4.0,100.0,1171.0
chess002209,54.0,45.0,1.0,100.0,1164.0
latiefikd,51.0,48.0,1.0,100.0,2228.0
DrWhoom,47.0,48.0,5.0,100.0,1253.0
wakeelo,51.0,47.0,2.0,100.0,1338.0
potro30,0.0,100.0,0.0,12.0,2082.0
Yorbac,66.0,33.0,0.0,36.0,1733.0
MMagarotto,56.0,32.0,12.0,100.0,1547.0
