user_id,win_rate,lose_rate,draw_rate,game_count
mdc76,38.0,60.0,2.0,100.0
nullami,43.0,51.0,6.0,100.0
Riskmetria,0.0,0.0,0.0,0.0
f3g4,55.0,36.0,9.0,100.0
LaurenceAnthonyLagas,18.0,79.0,2.0,96.0
ordiii,47.0,44.0,9.0,100.0
simpleEval,54.0,40.0,6.0,100.0
Herbertejiro,52.0,47.0,1.0,100.0
inchman5000,0.0,0.0,0.0,0.0
black003,47.0,50.0,3.0,100.0
ankit2501,0.0,0.0,0.0,0.0
Kazder,37.0,59.0,4.0,100.0
mehrdadmamashi,44.0,53.0,3.0,100.0
YusufYurdusev,0.0,0.0,0.0,0.0
hopechessle,53.0,43.0,4.0,100.0
Ipsvich,45.0,47.0,8.0,100.0
pmarx123,47.0,48.0,5.0,100.0
cjkzhbc-cjkzhbc,0.0,0.0,0.0,0.0
Cancatchme,41.0,55.0,4.0,100.0
timo09hi,55.0,35.0,10.0,60.0
Tatanako52,41.0,56.0,2.0,41.0
brinkfisch,0.0,0.0,0.0,0.0
BlackPawnVictory,0.0,0.0,0.0,0.0
OliveSpotChemist,57.0,35.0,7.0,100.0
jayanikin,44.0,55.0,1.0,100.0
blunderttv,56.0,40.0,4.0,100.0
Basipalang,0.0,0.0,0.0,0.0
Trisias,43.0,56.0,1.0,100.0
Big_HB,57.0,37.0,5.0,100.0
facun-din,49.0,47.0,4.0,100.0
subasharavindh7,0.0,0.0,0.0,0.0
fitimlutfiu,52.0,44.0,4.0,75.0
bakdim,55.0,43.0,2.0,100.0
emateeream,48.0,44.0,8.0,100.0
marinoleg,54.0,42.0,4.0,100.0
brinza,0.0,0.0,0.0,0.0
Happykodo,41.0,56.0,3.0,100.0
Hhordylan,41.0,54.0,5.0,100.0
invicta_ludio,66.0,16.0,16.0,18.0
PEmilson,55.0,42.0,3.0,100.0
Sebastianalves,0.0,0.0,0.0,0.0
simaotoo,56.0,41.0,2.0,100.0
rosenfox,0.0,0.0,0.0,0.0
VStrannik_killer,0.0,0.0,0.0,0.0
nehasri1989,50.0,50.0,0.0,6.0
Rx_Nalimov,0.0,0.0,0.0,0.0
tschorodrick,65.0,31.0,3.0,87.0
kongreyansh,0.0,0.0,0.0,0.0
StampLW,85.0,14.0,0.0,21.0
Roland_Diskeyn,54.0,43.0,3.0,100.0
KrsnArjun,51.0,40.0,9.0,100.0
Shulakov_Artyom,80.0,20.0,0.0,30.0
Myschina1,47.0,53.0,0.0,100.0
rustyhead,51.0,47.0,2.0,100.0
Bashkirenok1503,66.0,16.0,16.0,18.0
ChessChallenger2015,30.0,67.0,2.0,43.0
KripeshKD,0.0,0.0,0.0,0.0
pawl_s,42.0,50.0,8.0,100.0
Enjoy1945,56.0,44.0,0.0,100.0
Ray_81194,41.0,47.0,11.0,51.0
manojcarey,66.0,33.0,0.0,9.0
Samueldtl,0.0,0.0,0.0,0.0
SQUIDflow246,50.0,50.0,0.0,72.0
whitetigerkingpro123,48.0,51.0,0.0,81.0
Patrick-Winslow,0.0,0.0,0.0,0.0
Shivam-Das,66.0,33.0,0.0,27.0
kedarpiyu,36.0,54.0,10.0,100.0
Shoaibbbbbbb,42.0,53.0,5.0,100.0
I-V-S-1965,60.0,28.0,12.0,100.0
Lapca,43.0,55.0,2.0,100.0
phpw,48.0,50.0,2.0,100.0
Uktam002,35.0,59.0,6.0,100.0
arindis,0.0,0.0,0.0,0.0
Joshua_UjChess,54.0,45.0,0.0,33.0
PaWnandknight08,40.0,60.0,0.0,15.0
BhekumuziM,37.0,54.0,9.0,100.0
Koko12,0.0,0.0,0.0,0.0
bilbito99,100.0,0.0,0.0,3.0
ElZbignievo,47.0,48.0,5.0,100.0
kaushik264,0.0,0.0,0.0,0.0
indrayansyah_nur,48.0,49.0,3.0,100.0
Abai555,56.0,43.0,1.0,100.0
AhMedElfki,44.0,50.0,6.0,100.0
Chamba_Master,48.0,50.0,2.0,100.0
Pranav30,44.0,55.0,0.0,87.0
vit_3131,0.0,0.0,0.0,0.0
vsevolotti,48.0,50.0,2.0,100.0
Salvarode,100.0,0.0,0.0,3.0
Tito-whisky,41.0,50.0,9.0,100.0
msirbp,38.0,55.0,7.0,100.0
Barabas63,0.0,0.0,0.0,0.0
Forchlight,0.0,0.0,0.0,0.0
endoplasmic_reticulm,33.0,66.0,0.0,18.0
dekji11,41.0,41.0,17.0,17.0
Mallika9759,42.0,55.0,3.0,100.0
moxc_A2278,64.0,29.0,5.0,51.0
isaacSmith25,59.0,40.0,0.0,96.0
bonhamm,56.0,39.0,5.0,100.0
hekimimsi,38.0,55.0,7.0,100.0
wyrtnw,0.0,0.0,0.0,0.0
dk031,56.0,39.0,4.0,69.0
g_1618_1312,40.0,56.0,3.0,100.0
vanzetti723,0.0,0.0,0.0,0.0
vinegreat,0.0,100.0,0.0,3.0
Dreamplayer684,50.0,40.0,10.0,100.0
Midnight_seven,65.0,35.0,0.0,60.0
Gourmaexle,56.0,40.0,4.0,75.0
crystallizer222,40.0,54.0,4.0,66.0
WP10011956,75.0,25.0,0.0,12.0
mamaala,48.0,48.0,4.0,100.0
CrazyMichael,52.0,44.0,4.0,100.0
ahmadabokhalaf,41.0,54.0,5.0,100.0
Backzyy,78.0,20.0,2.0,100.0
sabhi2020,64.0,35.0,0.0,51.0
DexecDaniel,45.0,51.0,4.0,100.0
mintaraga_yan,0.0,0.0,0.0,0.0
OfficialxSameer,0.0,0.0,0.0,0.0
gusdanielt,0.0,0.0,0.0,0.0
alexurrego,0.0,0.0,0.0,0.0
Shohinjonaliev,45.0,43.0,12.0,100.0
evrimkarakas,40.0,52.0,8.0,100.0
