user_id,user_op,game_result
White_Snow_26,,401
anbuasr,,401
AlexHeinsen,OrangeTweet,-1
Viktor291,Ilya121Pn,-1
Alex555777,HelioRagazzi,-1
Navadeepkca,aesamalaa,1
ajuc00,Jaenco608,-1
Andre-1983,vit2023,1
TotarryNotaSpyBaroon,AboamerM,-1
Svyatoslav1111,ladimirskil,0
nastignu,ahmed5865,1
Yaniss_Ard,GROSSNIK,1
iknow_whoami,khaijun2011,-1
FerreiraAndre25,MaTaRoV,-1
cbumae,Loxos,-1
MaksimBerilov,abelkoque,1
suvachess,yarangu97,-1
pri14ale07,Granadillopower,-1
RAKSHAN12,ControllerOfficial77,-1
Fuzzylelapin,e112233a,-1
dso99,LordBill,-1
AyaanAkz,yemvijay,1
RostChinokalov2015,Daniil_Koltsov,0
Rooked89,Tarus_01,-1
abhinavksam123,VidyutC,1
paulrsi,filineduard59,-1
steviebe,mohamadnehme,1
knight1978,Shriram_GS,1
Andy310,enk1500,-1
ccourtney,EDUCAO,1
Miyagi2116,SuprJan,1
h306h75,T_Moe,-1
JacTheWolf,Jaypas23,-1
Xbec,bcvr_v,1
Raajadurai,Godfreyp,-1
JuanJoseVC,elsersy710,-1
Kumirchess,AndrejD,1
Nevermore-2023,Mokhtat_momo,1
MohamedDenana,sssccv,1
anaseo95,LuntikkShess,-1
mohamedalawy5,Tamerbashyr,-1
kataeva_aboba,Pinourson,-1
faizynem,channy0105,1
Harmoni_Group,a-g-3-AjEdReZ,-1
PrajithMathu,Sim1BW,-1
NY41,K1NRICH,-1
Sanjitsingh1,feras-taimanov,-1
dr_nkaccount1222,Thomsen110,-1
djacco,Ingmorath,-1
AsacoPaco,Gosset29,-1
teori31,abuejocha,1
naaml00sChessPlayer,SKLawyer,1
snowsuncity12,ochoagus,-1
BernsRevenge,harpy_hags,-1
Timurbek_2011,Konstvik2112,1
Robinosse25,pawnbarker,1
Robinosse25,pawnbarker,1
Vadim321,VOLODYA_99,-1
bannamahendrasingh,Angkolbandam,-1
Professor_Adolf_Hupp,Propolis1984,1
Guthi,Kvasart,0
Mrmorgee,Chessboxing_Reza,-1
psu4f4,michelbruns,-1
kishore_rk,thala_for_a_reason_7,-1
yuriy76,Dedal86,-1
Annadottir3,HomoSapiensDenisova,1
ChetanPothuru,joaquinnar,1
bennyg,Muslim_001,1
Arjun_dead,Oleg343,1
mazouz1974,Chessdiator,-1
erdemozerq,michellini1973,1
RollingFrog,advanced-pawn70,-1
maestro_2,sporaruka,1
Misha_Mikayeel,Abdallahhamdy99,-1
ArtiomYu,Prantarchess,-1
ynzl,waseemmaher_95,-1
luongvu12345,km_D_nhbaochau_2017,-1
Trieets,D10_VietDuc,-1
alexlele2008,aashetty,1
TigersOmnyama,kurbelschock,1
dmtg2,chuckdu,-1
artem_s1nce,ravi445,1
festus_happy,MrPolotenchiko,1
farhatmansur,yudibadau,1
swsdsdfwwerwe,XeroMyths,1
andre_souza90,ljubisadjokovic1953,-1
vivek31290,Danila_Gnidenko,1
artan_hz,voidmay0,-1
Yajiv1977,omar007007,-1
LegoshinArseniy,Durdevic,1
jalelkabouche,oiuerghi,-1
Zkriaelghazl,mohamad-hashempour,1
ArshiaAbedi,AKYAZ-C,1
Innedev,dreamdima1,-1
angeltique,SnegaMargo,-1
HP-012,ignite_89,-1
yaroslav45637,Veta174,1
esgrimista98,yooossf,-1
Ruslan_Cherkasov,giligalam,1
RVJM1993,suvodip,-1
jonusz,Achareker412200,1
michelediamond,DanisF,1
davidrag,Danopcitho,1
CardanoHH,alexolll57,-1
CardanoHH,alexolll57,-1
Yashmithadissa,bavindukodippili,1
RandomChessPlayer23,jmjogi,-1
RafaSilvaa,Ardiawan90,-1
vooooouria,nixkoenner2023,-1
Ceteris_Paribuns,vectra,1
Baobabo,VibrantJail,-1
Viscam24,alexyarovoy85,1
qUIeTIdIO,dev_knp,-1
youneszmz,Fhirdaus,-1
DJ_Man_2099,Otonibh,1
KaanOktem,divsree,-1
Vijaybro,,401
magnusstylish21,,401
Molaender,Ashaked,1
GrandMasterM,saintloup11,1
Singodance,Ihsan_Karim,1
Target-2000-Elo,Mukim15m,1
shizukaesan,USAmedic10,-1
Dangotte,Planeta28,-1
Chess_Vaibhav123,quails911,-1
te-quiebro,Spongebob1212,1
ninja_1375,stokwa06,-1
LicenciadoEnrique,KristoGar,-1
hajshafie,johnabby,1
DMediran,Giouzk01,1
rade-888,IgkGerald,-1
Artanis2999,arabsalim,-1
Chemy03,Uli_S,-1
Illmuney,asiayam,-1
blindYouCanTryOnce,nikchess12,-1
ksrinivas,AbdulJabbar07,-1
ayonen,Anaglazkova324,-1
yusufbjk95,ukwee,1
Tamara2Selena,Tri_kony,1
vuasl25689,Der_Patzer,-1
Brainwashed-book,Chaichess,-1
pompy-ompy,,401
Muerte_Negra,,401
oni-benyamin2,chesswisdom4u,1
Hedgehog_f3_or_f6,nate8592,-1
jobemans,steynic1988,1
areyouhopeless,limpido,-1
mrKori,Yntec,-1
Faisal874,Lion2017Lion,1
PK_210,sherlok1979,-1
AS-Goldenberg,togi89,-1
shalf,Mihailbazhin,-1
Cindy_Sunday,Carlos553,-1
GooDDay22,hangingrooks26,-1
Yemayanky,janela777,1
Aryancena,elias123456789,1
Rayansh77777,CGR0022,-1
Nachita_2013,Zineas,1
PavelZa,bati55555,-1
kramka,Govinda3344,1
zooted_atomic,QADIRHABIBI20,-1
Rolig,NotRZYM,-1
CaptainJackSparrovv,kvltvr_wvltvr,-1
turning_machine,zacaz7,1
LeonardoNicolas,JOAQUINOJEDA2014,-1
zedurr,hkirici,-1
willy16,myalin5049,-1
TobiasOvermark,sorenorskov,-1
Servandoriver,yomero_2022,1
chanugad,Homres,1
tryasz,RexSkeleton,1
veter1297,goldiepie,-1
Satranc_enver22,nab0576,1
Axertfew,sami12345678910,1
Alexshirov,aliferenkooleksij,-1
Dontstopberserking,KorradoKattani,0
lkhhjk1234t5,Adderley,-1
thrissurthadiyan,Sahin_Baku,-1
aiman_hafiz10,Batrisyia_2010,-1
brahimahazat,Ilya_reyh,0
fulvio_la_piuma,Guidon86,1
GAM_333,sundov100,-1
ErFocaccia,ffarzadd,-1
dolaxies,Rostislav2727,-1
CarlosMagnuslon,istude,1
Winterstone_HD,arjunhs2023,1
Gangsterrap,chvk_redan,-1
Greymurs,gkhn093535,-1
vipulnvyas,IonU,-1
Su-ku-na,morelense,-1
samehgamal2022,broker1,0
OggyLV1,jjox27,-1
Manoj-P,VarunDiya,1
FroZe075,Adt3,-1
daisy-pusher,trickmove,-1
IvyLogan,Civilmarks,-1
Sima_Kovalev,Dexter_Dad,0
fabioce,Chocri,-1
wcis,silentixru,1
Matatorx,cmh1506,-1
pungimaster,Rtep1956,1
TheUnlikelyKnight,Ujangcodet,1
Exebrassman,NYCmoe,0
SwanRoad,IGNEA,1
JBM-111888,nikolgus,-1
Hjaramillo5,quadsquad,-1
alkaline1,John1914,-1
Moragano,adrianb77,-1
Vicarious101,Ayouness,-1
ARandomMove,minimymlitr,-1
Blitzek,YaroslavYuzhnyi,1
Petra-Mia,WaffleBlink,-1
onaber25,Edo2000,-1
MrHoth1979,merstam,-1
menetrey,Sandra10,-1
KSMehrab,Salvadav,1
Radrook,Emgrace,1
poegland,DrHeadgear,-1
AlphaLegend1,luntanglantung_87,1
Mart998,Terrikane,-1
sssarper,Brandts,-1
vitsel2019,Maya_Mnatahni,-1
Synecdoche1,jlsa58,1
cristianoaponte,rikardlidh,-1
umerq,d1yapper,-1
alexanderpidyak,barubelajar001,-1
zldwhdgur,MorevDenis,-1
tarkovskiy_a,Sinkaspa,1
nshat2612,Bodega_Rambaldi,-1
ZhePTBA_Mo3r0B,fat_ian,-1
Cl0udy1337,PuertoRicanRasta,1
MTA85,atlasocean001,-1
yoldi6718,osmanyosvy,-1
Martindd389,joseliyo2210,-1
EdwardAlcedo,randomdude0,-1
Ferdydurke87,khairy1995,1
franco_mastrocesare,Larry101,-1
leb_laden,Iismailkkk0512,-1
Schacht_Konrad,Exilkubaner23,1
jakutta31,VARG_17,-1
TooRai,chessnub369,-1
Timurr-64,BlackberryA,-1
dan4ik123,TheMMAF,1
Makkon,honikahd,1
Noqss,OMARD4C6,-1
anjumskhan_practice,Quindos_FC,-1
Donotplaye4losers,Loord-90-T,-1
vonvertanien,CJsir,1
superkiko624,raffrantic2,1
RAMujeeb,Waldwichtel,1
Ediz2020,dzid3q,1
rajesh333g,thierryguerin,1
rrags,damafe,-1
otmar1,smhasnb,1
Chalidbinvelid,Vasiliy_Top,-1
omerl11,,401
AbuOsamaAlBukhary,,401
ESTEBAN_2022,ALPHA_BRAYAN,-1
dokshaker,itihon,-1
Mamdouh02,shazly99,1
Mile_CR,belachikoy,-1
ARISTEAMAV,king_rulerrr,-1
Pavel_Ignatovich,cakal,1
darkspeaker,Fabios_Xyz,-1
Lugiaboss,Ayks1986,-1
ChillbroSwaggins,abhishek_2312,-1
dnonko,Picard359,-1
e-rose-jr,nordsign,-1
sanups,gudenius,1
Burgui84,,401
nephertus,,401
NaAbordazh,Princess_4zula,1
eycek_angara,LastPharaoh,1
HarryPotterStyle,vesna_kot,1
Clau_013fg,Navgad,-1
Shamil778,islamhosni1975i,-1
Zaven_ChessMood,ViktorDmitrenko,-1
rdsr1993,BlueLyon,1
Bruno0404,Sasha_Dorn,1
mss1380,Franquetot,-1
patelniamp3,zane75,1
silverkid93,constantin80,-1
mendelabramzon,irazam,-1
utkal100,Fadeum,-1
SnipeVenom,LUK452,-1
Nightmare22,Can-D,-1
vovka80,GirLena,-1
Dito_84,Kvc1,1
bustofredon,skatseeker,-1
cottoncloud,Fighter1000,-1
Julia444,sabarna24,-1
MegnussKarlsenn,Serehga,-1
LilTyki,grillito347,1
Yadrilo,RundundGross,-1
lcnight,blbaknoobak,1
Azzoh,tonnychess1,1
Superpigg,leninkmacho,1
KirillKitlin,,401
MontyPythonStrategy,,401
divacleeva,Vladrim,1
qwopzm,johndeboer,-1
SimonSuperHans,lucasecr,-1
Gcarisio,Matthew04,-1
cepe,chessman04,-1
g0ra1,Voshod23,1
greatblunderkid,khanstant,-1
Silver_Taurus,Jumpingcastle5,-1
Chirrete,,401
Damirka15,,401
sandesh9031,Krotaloz,1
Jacheng_Ginchipa,Norzhun,1
ROMANII1,tonikelao,-1
Hpkznr,principiantembh,-1
intombi,PoyPoi,1
AlanX100,GUILLENA68,-1
Blockaded,Puksa,-1
saleh_adel,Rsmrov,1
vugge,Mhabmc,1
qazya1,rkb2918,1
ZinhomAyaz,iiljima2,1
luaua,ZtHnamte,1
GreenElefant,Stevesanders1980,1
IwantToBeGood,Andiya_Doroodgar,-1
cautiousman,Sallaia,-1
serezha_2000,Alice6789,-1
hahahal,Onpasseng,1
bhong1980,zamirRP,1
Muslie,Tobi45678,-1
AleksLeshiy14,Broon74,1
LIIoKoLaD,mercurylives,1
EzysD,RexRector,1
DarshSomani,Raul2506,-1
Zipperface,Amir_1,-1
bjlfzs,Blitzboi2,-1
JJBS,tarunmitra,1
dr_ivan,,401
RE-BORN,,401
jojolikestoboki,Gianluigi_44,1
A123B456C,Eleazar_Aracena,-1
Maryam750,adcggg,-1
moduli,progyprog,-1
SharifovGoowin,Clerkenwell_kid,1
mikmik819,yakhnenko37,0
poruchaosobnosti,Moon2424,1
liussetiawan,Sindo09,1
user5ten,mango54,-1
MasterBaris,Morice,1
tema26mak,KaptMiki,0
Taxmind,DeadlyCreck,-1
Hamel_Chess,falbalad,-1
elon120,MatiasC22,1
ryuandro,gemsbooth,-1
Benjo68,kingarthur3737,1
Raul_Bustillos,Om_Prakash_Sharma00,0
Viniaxcs,Yang_Fan,0
Borchick04,Houghlass,1
goncalo1055,ilvikingo,-1
MazinTonga,MrKoK007,-1
Hussein_Mahmoud98,SimaoChess,1
Javilinx,SebiWazir,-1
cassie_08,Craig66,-1
m0pek,bobrownikownik,1
gggddss,HamsterJedi,-1
Mr-Pes,BM_AlexMunkHjort,-1
Nalimanana,sherlockholmeswatson,-1
CroPol,SA52,-1
mohammadrezaMortajez,Taba101,1
oko66,naser46,-1
Tangs,xxxdanxxx,-1
nazarioquispe29,Ririno,1
Artemon-2012,xuser,0
ch_keks,DLIRIUM,1
saeidkh,Pjotre1,1
jackv18,stfbox1,1
Staro4kaZ,rza112,-1
amateuraoa,cahit62,1
mlodymagnus,pod777,-1
luisfv_1,Jovedoplay,-1
Vdarshan-Ep,sdrk,-1
Darkshadow-9171,jonomasa,1
ZOGMA,Jfbdbsh,0
AaravDol,slick44,-1
tootoo504,purpleski,-1
Chess251995,Richi110,-1
Kent_06,Masterdamus,-1
ShoOpyat,Silaka12,-1
qwertability,Aclis,-1
chazsr,TPiede,-1
krish292015,himikilla,1
Buster001,LW_chess,1
kabirchampion,Manikkhan,1
ostadali,skont83,1
SaidCh_2015,Vicrosten,1
sirchess123,dps78,-1
abyuya,hashus6,1
Johnsimanwe207,Titikiza4Life,-1
PrincesaMaciel,bloc32,1
davechess,stefoz,1
mb1168,AzaxixAx,-1
Ahmed_muhammed_fekry,aiden_m,-1
lyxxj,Phoenix_Warrior2024,-1
Krismalyhina,Rizky2357,1
Victoria11i,vega45,-1
Alescei,jasare,1
ansh_malhotra,QUMX,1
BossUltra,lixus1969,-1
checkmatechortles,yashpal_singh,-1
lagranja,Vera_Rassulova,1
Teinuka,ShianKen,-1
African_Firoujza,Hauser1988,-1
catsvsllamas,Juanfelix12,1
Jumanji135,FarkasVilloHanna,-1
dyz1,carlos655,1
ShammyBammy,justforest23,0
Pappo-blues,Tri-chess,1
RobertoPetrini,ALIKP2312,1
seyedmoeinoddin,ChessV45,-1
asya_temiz,AdrianLublinBG2,-1
JosueCova100,mittis,-1
lan2121,bollesat,-1
vladislavdemchenko,Ngazio2000,1
polina-kirillova,sirhcgs,-1
jacintoverdesprada,farukcan54,-1
HEYANSH0902,FatihBUZLUCAN,-1
JacksonCV,ale080717,1
KAldiarM2013,adventuregnome,1
Blind_Prince,popo15,1
Kourosh1379,nsh8066,-1
mojtabavahdani,drini123,1
TumHuk,Miguel_Mejia08,-1
medomagic,EmersonGoncalves,-1
canedebeauce,aceee,1
ThisChessPlayer,Alcatraz97,1
TheKingII,pjk1963,-1
mateyka_ch,Max277,1
ozones,nitram1419,1
keshav2488,Sorinrapidchill,1
Mastergelap_SJC,VjayChess,1
fsalatka,petequu,-1
shivendra_om,kiyanporwal2012,-1
Hamidmoi,,401
pavvel78,,401
Abdelrahman_Nashaat,Baizhan_Ansar2016,-1
Octipus,tafrih245,1
Deniszubtsov1,Aleksandrosik,-1
ProPit,xpat07,-1
Mahmoud_SH2002,navacho007,0
DanAsh11,Javier_Lozano,-1
bastet3333,ermalen,1
basel_saad99,Inocencio_1,-1
mesterf,alihonu,1
mesterf,alihonu,1
Moumouss,dmitriy19672102,-1
DoggoBaggo,dadyji,-1
Aguila9483,Giampi96,-1
Thebrezhnev,Hara_almeta,1
GoodAcu,GeKatz2024,1
DevilWearsPrimark,Seeeffo,1
hammaddelta,riebisl,1
EstebanCapaNegra,Gorilla_Zippo,1
InTheAirTonight,rez88888,-1
bgusty,Vatagoo,1
ShreyasBiswal,DeHunter101,-1
flodo1210,HoratioNelson1805,1
HomeChess2014,Cascabela17,1
marvinoscar,Daviddesouza,1
Jmilie,plumbers,-1
Medardorojas,gokulkrishnakv,-1
Ikerdlvp,Ogolbo,-1
nickov,Jamshid1346,-1
WhyChessIsHard,JEGQ,-1
Lukicha,Silverjo,0
Inocodji,MRCHEZ,-1
Ethicalgambit,latlat,-1
AjProf,Aks118918,1
MtvFr,kiran_gadekar,-1
Ashrafalassal87,levy2020,-1
Fr0mage,loritolord,-1
TrueloveBOT,A714445,1
Pr0C0x,Asiatian,1
kriokamera,Yuvansh,-1
gokment,solid-pawn13,-1
Fabrizioprorafeli,CrayzHorse4244,1
Dannyfreshii,Sushant1999,-1
Frjapmontreuil,skrubboi64,-1
avyuktdutta,TimeSands,1
otrebor1988,funkymosquito,-1
ashDubey,abidatasnim99,-1
maani6x,demainjarrete,1
DolphinDave,MKRISHAD999999,-1
luck5,Hmpatel,-1
Kalambu_s,sergeyal64,1
aaravgupta2205,Akmonie,-1
yixuexue,Jeka111,-1
Vinishaaa,Beniroli,-1
Richie78,chesspro12345678901,-1
JardelBarreto,K_Kalvan,-1
manchess49,arturz14,1
jisanMax,bbbbea,1
parsamosavineghad12,PinedaFamily,-1
AnjoBlue,robin-rambo,-1
monkyluffy,,401
Supcio10,,401
PerroHuevero,Mejzi87,-1
HatiHatiSkakmat,d1387,1
jamesmoreno,,401
robloxthegm,,401
tndeoddl,A138107Adem,1
leonotice,bspiyade,0
PRO_Banda10,timfsh61,1
iammzs,aswinhdas,-1
MarkQs22,Hovan12,1
psicobloc,aleximj,1
Fares99,QarakenBacho,1
ramcoa,umm09876,1
ddgf,wth_ales,-1
AchrefLahbecha,LudovicM59,-1
Bettis,altgovzen1985,-1
gda92,nicolus,-1
RaphaelKakon,Bheemi,1
golem0111,ChestToChess,0
Botwinnik90,Ale11mc,-1
Botwinnik90,Ale11mc,-1
SemihAysal,prwatch,-1
Pelaez2007,ScacChiara,-1
FreestyleMage,Mchardin1,-1
EvgenijZ,Mursejleren,-1
AlexBreeze,MesquitaChess,-1
waheed24735,Nico_3,-1
Maple-Kev,MisterBalck,-1
THEARMINATOR,drjossy,1
Oscaralfa,Jai2063,1
Seif_Bashandy,Iranzol,-1
Kxrma,mahorka67,-1
Windsock,Guy_de_Enpassant,1
BerrBartu,SrikantaHazra,-1
Lazarini06,cenencinco,-1
Raulmartinez62,guram2012,1
Nobodyyyyyy111,eGgZiTeD,-1
WV8,rafgalina,-1
Aleksey_Abramov,Postavnoy_Alex,-1
Mansour_G1988,mako0000,-1
HarshNaklak,amamba1966,-1
Holtyman11,diamante_gus,1
Ayouness,N_e_n,-1
ArtisticFig,palpala,-1
moisescampeon,DivikIndia,-1
exterior26,KyleFchess,1
raghavsagar92,Anvika653,1
harsha99_jalagam,Alexandr-123,1
Arman077,Yannd440,-1
JuSem,coach36,-1
banwalah,Icemansquared,-1
TuroAliyev,drralfx,-1
crazyhouserules,,401
JBQM39,bismar-2017,-1
Bulkano42,choi_curry,1
Evgen1204,Mofaschach,-1
Kabin16,LittleHorse78,-1
bp000001,d0n4th,1
imdenis,Kazzy21,-1
darkknight_8,minde99,-1
haijumpa,googleek,-1
xavns,Planeta28,1
Sarvesh_15082015,wildpicks,0
vandass,PitPat,-1
Meepro,umr123,-1
A_L_E_X_1,kivi12,1
wofi_chess,mathteacher64,0
fabiii87,Ahmed19601960,-1
chesstbn,msmaryjoyc,-1
Oskarfat,Msr_Oogway,-1
Anton1000,Magnus_misr,-1
Maksim2341,coolister,1
grandmasterflashgp,farantura,-1
yessino15,KB8888,-1
Mr-1Google,Arman_Veranyan,1
VK20,yayast,-1
mtsalshabibi,Aziz_nur,-1
meirammmbek,Borx48,1
juanpvcp,Jonnieeb,-1
buywivai,Babasili,-1
KingOswi,INBHA,-1
KingOswi,INBHA,-1
Nanasiu,Vladimir_Phrolov,-1
ChessQueenMaker,raysolos1,0
baluga05081991,SquareGripper27,1
Trzaskalik,sehahaf,-1
Primba,MAI45,1
johnathonmando57,utawasthi,1
maruthus,Vafina_rayana2016,-1
guesswhoisbackback,,401
N_A_ss_A_R,,401
fufaradwan,Deepdiver,1
julius373737,fugli,1
CharlesMonroe,Android1980,-1
Rod_Villa_Zambo,pilsnerhell,0
HatricKMesh,tomekpiotrczyk,-1
varuncarlsen,sarasisehansa1,-1
Kondangj,Federch,1
l_-A-_l,Sakkmester1948,-1
VZavaleta,AghaArmanKhan,-1
i_a_goncharov,ghoba,1
carlos-miranda,Munro84,-1
Irfankaan,KAFUSU,-1
Speedrock,Amjed84,-1
petropick,BuddyChristos,1
Alfred_527,WaterCeiling65,1
mehtarimehdi,Shehan_0123,1
rishanth29,Tnchamp02,-1
TitanYuri,DanieLgav,1
jjjooonas,drEpV,-1
Matthew002,bakiliii,-1
Suptotthita,Denspok,1
RaBuDa,edwardws,1
ChrisKoenig,AAdrian,1
Indigirka23,Genyu_Odds,0
kashibafc,MFcastilloo,1
boccuto,Joseph7Nj,1
opalo93,ieverton007,1
PabloZa,CblBOPOTKA,0
Wayzata-Soto,,401
Jesus_Fistus,,401
kashina,uberjaggin,1
nhjjsanss,LapatinN,1
kkparisa,LEB2008,-1
demoebius,Konstantin_cherkas,-1
sambradenq,elifo2016,1
CharilaosK,armen63,-1
FKN2015,,401
H80K,,401
Tactical_Bharati,Renaud32,-1
Imburaking,Erdikici,-1
Samarthmahajan14,shrishrimayank108,1
bredev,Oleshulg,1
themadiz,Engboodka,-1
N0_bra1n,AlexeyPersh,-1
maz1956,niltonsalina,-1
maz1956,niltonsalina,-1
albertony,Sethesis,-1
ebarrebarr,Alderman_Haveron,0
sttuxxz,ony88,-1
MasterBlasterz,Meedzz,-1
ForzaAzzurri,Aziz1127,-1
baiyibai,hamedazad2001,-1
shacharen,SergeyShil,1
bobbythekingofchess,Beautiful_Disaster,1
LioN_10,Zhenin59,1
vijchauhan,Cryptohumanoid,-1
vojtafuka10,rengucarlsen,-1
SeriyVasiliy,ravan987654321,-1
MB-21,Alobar79,-1
katkoot106,beevx,-1
EdwardNewG,Montrose02,-1
Pranav17052014,seyyit_41,1
Toinou,Caschmirr,1
Du6,btomcuk,-1
EnmanuelPLC,Artur2805-5,1
Mortoxmard3000,VanThanhPCC,-1
DurgaDeepak,simerinhio,1
Kuba_93,XxvlkxX,0
dolphinman8,Almir1973,1
Alf19,Unrealos,1
Bulanova1993,Koi_Karpfen,1
beyfendi38,Caco_5,1
OllieParker,Mahendarjohn,-1
KuLjoT95,mariaanaa2016,1
celtec,ALEXIDROGO_UNPRG,-1
tahadinc43,Brsylmz87,0
Trishankumar300410,DKing1,0
Shiv-09,PouetM,-1
LeonBABICH,,401
slimcool48,,401
Suzannecris83,JTBS2020,-1
DemirhanIsHere,LazyBaby,1
IshanSminesh123,UDnTmTtR_GiVeUp,-1
Vassalos,AQUA_Artox,-1
DBento,BDK1948,1
saisadasivarao,Kotohod,1
Dima_chess_2015,ypunch67,-1
iam27_Russia,paparealsmooth,1
Rudi_27,kpearlkmanic,-1
shreekar157,ahmedchess70,-1
elektron01,sinkla,-1
parfumdreams,ismail17100,-1
Uno_nunca_sabe,danauv0912,-1
FedorSulin,,401
elkieyhady,,401
parth704,Nekhudzhigahe,-1
W3rty_Pl,karaoke7777,1
masoud13611361,daronlu49,-1
Camargo293,XOKINS,-1
abi_id26,RACHELLEB,1
swper,lucasalvesz,1
malma2020,vikiturbulent,-1
Kostya0413,jtown778,0
elheraldo,rajupagla,-1
CoachJohn,MarcusAV,1
playOnlyWhenIdrunk,BruceWaynE_0,1
KKRFan,tanavbarve,1
PedroPedro,bdchmie,0
ghodagadiwala,VaskoZaba,-1
blueista,Viveka2023,-1
chesster05,SamarthSjoshi,1
ClovenKane23,Jk_Luis_G2,1
angel_46_Mrax_pro,mr_el_mouden,-1
NonaJeje,adolgov00,-1
Orlandrd2,Ogomah_MD,-1
takanoyama,german11,1
MarcosdeCarvalho,castleless_king,1
potsane,tovesk,-1
zzpuzza,Marietje,0
TSYLex,SALIMKAMEL,1
Vili111,iiiob2,-1
VENOMMONEV,alvisinger,1
Srinidhi14710,Pandamoniy,-1
gayathrirajesh,PNandi,1
stirmax,Alex-1982shev,0
i6ixxxxx,Younka1,1
alfarizi_15,,401
TrippleTJohn,,401
betgo,Heuler07,-1
Minhquang-THschool,tungnguyen2016,-1
BigDogue,walid2024,1
andr1981,Duban_Alejandro,1
Faru2131,GyanAplayschess,1
dariomm_7,bast86,1
WonderTharrshini,Inexist,-1
MisterSlash,kami1,-1
barrioni,PhantomGambit,1
Mpumzatheknight12,LittleLionMan,1
AhmedFromAmerica,joseipg,1
JuvenaaGomes,Bar79Fr,1
Batman20046,,401
ManueldeReyes,,401
SiyahOrfe,Fl0mb3y,1
MagnusPalmi,MiguelRoberto,1
RipeLemon,colo1234,-1
hawkij12,KantoAndria,-1
MarkTLT,MAkdalin,-1
Zeitraum,Vaniasoad,-1
Andreikudrya,derda_ari,-1
Johnwick1234,astani,-1
Johnwick1234,astani,-1
Katleho-Pitso,ncc613,1
peterackland,Hannes187,-1
