user_id,user_op,game_result
ahmexx,i_am_nooby,-1
xJxSTORM,rezasalehisalmi,-1
DrProktor,ficherf,1
Dtfu,Alex_ccjc,-1
Draddla,conflagrant,0
Bjorn2468,EkaterinaShc,1
afafrg,limcesar,0
oraimo47,thaomerr,1
lemichessxd,sizzlie,-1
Chess5DPro,,401
Mohamad7a,,401
shiveand123a,SheershRawat,0
LevRiv,MaestroPifador,-1
CB_ReyanshK,CHS-PRIYAN,-1
FabioMande,Skavy,-1
arsam110,saa_dd,1
Kirjusha2016,Late-Night,1
ptouch,lord_of_horses,-1
Sergeydolgov035,Mitch2016,-1
Dennis1982,CRenatoJLS,-1
andre_fischi0n,Lubitel05,-1
Nillet,Peratia,1
hberk03,Andrealotti,-1
Flowx2990,KnighteeKnight,-1
Dimasindo,Grigory14,-1
Attack_Pawn,Thrythe,1
kaaneks,GabanX,-1
Ajhad,Natali_kri,1
IoleM,polhpool,-1
Kasparov-Maroc,Advclf,-1
BALAJIK,kapi1367,1
muzovicky,Nallajtedef,-1
LillianaAlvarezme,,401
BelyakovBogdan,,401
Arseniy_Antipov,Nikita_1207-14,-1
kenaneyvazli,Msona2013,1
Joaslovesallah,Canadian00,1
tryharder17,BerdugoAk7,1
AlfredCharlesjunior,RuisKPG,-1
ILAVARASAN_OFFI,zurdogalvez,-1
therookienumbers,Aavelez20,1
halwapuri00,ndamutm,1
SpeedyGonzales7,StrategicMindMaster,1
munif_taz,proffesor26,0
vvoix,VexdehodGAZ,-1
JermaineEzra,caballosdefuerza,-1
Diyapatil1234,R3w1nd_AUT,-1
jorge001,,401
vinitapatel,,401
Abdullah90909090,bury-21,-1
iknowchess_2010,yellow3to3,1
Chess19348,papo1984,1
EasyListener,crozenblat,1
hinds97,Siddhesh9,1
Anton555555,LeRatduNetwork,1
elord41,Ray33,1
ABYHA,Abede7,-1
Emieligeter,sadimat,-1
Ji_rafik,charguerman,-1
Ostrazzo_78,waheedemam,-1
gyoergy,kozorez65,-1
birch_please,satanichousemaster,-1
hosseinganji,saidov67,1
lucky88888888,meninoazul,0
Aryanya_dav753,aks_mall08,-1
pesetasstrokes,Mzuzu1,1
putukayana,adrian_s123,-1
kamron_12345,megamind_28,-1
AlbertUd,KingGarage,-1
big13,moundg,-1
jocar06,niklauskus1,1
juanmanue13,angmar01,1
vikrant17,Bi-dysar,1
usmanovmadi,jangir52,-1
Vinayak_kedia,thegoldennugget,1
magamba,Nasser1975,-1
martinhrvn,MohamedSobeihy,-1
matus_carlsen,salahshikho,1
Malek_Mourad,billyz,-1
BruceMathers,Ser_Mik,1
AverageTexan,DesertStormCarl,1
LuizSergio,nico3749,-1
sohitsarvan,sirac1479,-1
why_am_I_so_good,Tigor81,-1
Flavius007,Lion_beluy,1
panbingkun,khued200,-1
Kenncelot,Terry_Reaves,1
Benjamintheking,QMaster_BobQ,1
Ujjwalmarwaha1,Ashkay60,1
chahinskandar,hapouu,-1
perry_d_best,Raboudi-Yassine,1
Scared-wertyhg,Barbaz,-1
Lan_Noobie,Verzakova_tatianna,-1
Magnus_Karlsem,Dragonsord,-1
mrshahbaz,Supersaiyan417,-1
jorikoen,Tatjanka_chess,-1
bodrezkome,presidiaro1728,-1
suleymantmdz,Jay_MJ_529,-1
si08,somnuslevis,-1
SalahBdr,r1venmonsta,1
gergo89,MoreBuddha2ya,1
Garrett0,ColeS5,0
Tf1Ajedrez,drcbturtle,0
Vihajaisestatulesta,Evgeny_Pristalov,1
Zacharij,Jonnywolf,-1
shivanshbaranwalbth,vthakrar,1
paiall,alisssss,1
RNithish,santiagoedlp,-1
regmisha,ferch8,0
Happyguy412,loungeur,-1
Morijiro,I_Javert,-1
YouLoseGoodDaySir,erdiegales,-1
Exstermin,mhd611116,-1
coffebeancat,M_D_C,1
Pup_Aliaksandr,andres_cubides4,-1
vertex4,dafer123,1
supercoolbro,Platiny,-1
NicoCharp,Kozmosz,0
kikoraho,zelenizub1,1
oluwatemitope,Winnie54321,-1
KAMC10,Wetparty,-1
Dushyant_2015,DpaKoH_Russia,0
didaydidayday,nabelkamel2020,1
ildolphino,mhherranen,1
Charlie_03,Pakrovejas69,-1
MoughithKh,guerrerodelajedrez,1
Luleka0804,verixa,1
Eugene_Xo,SlackBtallion,-1
Reddragons-118,Rudra_Patel_Champ,-1
chessgirl2323,boets_4,-1
Matatello,olgerlopez,1
brcnalbk,magisterjk,-1
chesshooter,MrSolo,1
Viola24,Justin_jk,-1
Chessmath1923,xgirit,0
Kinocart,maythe4orkbewithyou,1
vibhus123,Reflex_24,-1
Winman3,hocammat,1
Knyghtryder,pan_jawel_02,-1
Vladimir675,Chisomomwale,-1
Salimm,Nkrotzer,1
Simonishvili_David,EgorMinzh,1
Rarewon,mila67,-1
kostyayatsok,M_Rahmat,-1
nkivin,timc95,1
jeanlk,Gagic,-1
Atherlos,Ecochess1982,-1
cross_online,xbinamschwitzenx,-1
Golchehre,eix10,1
Lelouch12325,Sergey8516,-1
choboss,Keolot,1
KOTEHOK_Artem,Danik201115,1
Trinidadajedrez,raimundochess2014,-1
Wojewoda,Dens1977,1
ilovebbc02,joepske073,-1
Excaliburnixon,BigD2k,1
MrNeutron,Palines,-1
arinaboaug,Vyaceslav,-1
Delicates,Ashraf1992,-1
PorelsuELO2200,brayan-paco,1
rafaildk93,veselukha31,1
mtk1905,LYD0MAN,1
somyeong,TheNed23,1
JohnnyNewyork7,RobertSMK,-1
Wido_die_Eichen,Tobyy86,1
Atahannder,ibrahimbs12,1
dangkhoa159357,walewenjean,-1
FatherarsD,Saslan7,-1
jeninsonmar,zebrafisher,1
Krespov03,alkoni_arfa,-1
UDFA_FTSH,Plomonadador,-1
Wilfredo_parraga,makibao,1
AliLah,kholio7,1
JeffveGoneWild,Insert-A-Nickname,-1
LeSindi,Dutrombone,1
Bobby_Knuckles,back_2023,1
Agrli,EQC,1
iceRNGR,DorianR,-1
dr_attack_6385,luffi_king,-1
MathiasMaurer,Thew0312,-1
igoruiterwijk,Stan43,-1
Alpha_Stefy7,Christeckh,-1
arihantsingh17,ManalAlashwal,1
Romanmuhtedinov1105,ivmaly,1
DrhussamNoob990,maxinista,-1
zecriquet,philippe1971,-1
Shaurya_17march,Sharad2013,1
Reda444,LightForest,-1
fahr_i,SantoBlue1,-1
Chesswormi,T-bo,-1
mahdiyarkhorami89,GeorgiyGaga,1
PazDima,HHF64,-1
Nerevar4ik,samuel877,-1
pavelT777,jinkyjim,-1
SUJITcham,Gremium,1
DeanCervantes_4PRO,Indro88,-1
Sosimiloo,gabriel_benicio,-1
MelexinaValeria2014,Neira1983,-1
eren3543,daclause,-1
rainyday2023,ossymatex,-1
nlavrukhin,eggmaster123,1
gimiha,charliehorse55,1
fodklaus,iomlv4,1
vkp88,moreu,-1
Zainmohamedfarouck,plamkata2506,-1
mzm21,seppohovi420,1
one22,schmittla94,1
Grinch123-94,driver62,-1
li_6733,jzaib720,-1
NURSTAR2007,orndanil,-1
jiantnoob,billodi,-1
Fredgustis,Walid_SANAA,1
Robot_CHF,Boetik_mc,-1
wrc,Magico_romantico,-1
KE0742098410,D4chess2022,-1
he_who_conquers,Jlaratorralbo,-1
Ethelzino,,401
aris77,,401
Thejeshwar24,,401
Xilften1,,401
anthony76504921,dfdfdfd888,-1
viethammbariyer,malek836,-1
hamza190578,gamyon,1
ridvan91,aleksig,-1
roryoc10,ehrenberger,-1
GeraldusCumbrencis,knighty_mighty,-1
Samuel_2014,ayc45,0
SmiteSnipez,,401
davidderifield,,401
ajinderpalsingh,Krissense,-1
Amazing1017,Stvit_Set,1
Derek_Evans27,tuviagrin,1
OOKOWUOR,farraso2019,-1
therizzlerrr,NickySticky,-1
StpCable,kapp4,1
Andrii_Paluiha,sackjeseech,1
Andrey55555,MasVegas,-1
Zxcgab17,Otto_Hall,1
golubev-mk,Murad_J_H,1
vegardhaneberg,HHOOOO,-1
DrEagleeye,vaderkvarn,-1
SimonBucci,Samuelufstrike,-1
dani_sangab,fredomixer,-1
Qumara,rdsbrz,1
eRaPazh,AlexeyPanichev,1
IBM_RamyKamar,Heshammohmmed153,1
Sharvesh_Vijay,supershark76,-1
vikundel,Schelkx,-1
eldesvendadordeGMS,capperuccio,-1
Happychessbloom,jobil6ust,-1
RjforeverChessgoat,Alex_Muss,-1
Mr_RUINA,Bougo,-1
Asimoa,Finoprem,-1
rhizomefriend,AlfieH,-1
ianroypinlac2,KunDenSangma,-1
prathameshnale007,Hex1000,-1
hari3073,patrix-reloaded,1
daniyandy,MomenM,-1
Depressed01,morteza0521,1
mhvh9vds89y,rishabh-yadav,-1
baqar_17,mehmetbozkurt8,1
just-chess21,Youleloveit2,-1
Vand1esel,carelesspawn,-1
tatomunoz,HECTORAQUINO,1
Dany_Kots,vaazik,-1
Semyon538,,401
mariosanchezzz,,401
vinvin69,daneliaxvicha,-1
sonymanif22,dedbaba13,-1
piraha,Abylkasymov,1
ssssss1233345,Danielfperezp,-1
sargamo,fredofredo,-1
Coneill1774,uca1959,-1
khatwa1,Semujju,-1
Efsunkar00,chess-master08,-1
nemphan,yellowhan,1
lamppu5,wangyichen9339,1
Ziya-TR,DabDabych,1
FniktorSchach,SPUTNIK02,-1
JimPap602,Sergeev_vitaliy23,1
walidox_1,evosud,1
champion3331,roberto1george,1
