user_id,user_op,game_result,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
younessolgi,Rohannijhawan,1,1116.0,45.14,299.0,1433.0,1433.0,1369.0,41.791,53.731,4.478,67.0,39.655,56.897,3.448,58.0,C50,C42,C47,C25,0.353,0.431,0.157,0.217,0.072,0.71,403.0
NamanChesslover,knpchess,-1,1533.0,45.41,6093.0,2369.0,2152.0,2124.0,45.763,54.237,0.0,59.0,43.939,54.545,1.515,66.0,B30,C50,D37,A25,0.357,0.393,0.214,0.103,0.397,0.397,251.0
combobreaker69,Selantey,-1,2049.0,45.05,12874.0,2326.0,2325.0,2322.0,45.161,46.774,8.065,62.0,38.095,53.968,7.937,63.0,C00,B00,D30,C40,0.269,0.404,0.308,0.46,0.238,0.27,288.0
phucnguyen3009,XuanDucpro,-1,1342.0,205.08,6.0,0.0,0.0,0.0,33.333,66.667,0.0,3.0,33.333,66.667,0.0,3.0,A45,C48,A45,B00,0.0,0.5,0.5,0.0,1.0,0.0,295.0
roma1375,desertmoon,-1,1945.0,45.12,19963.0,2147.0,2137.0,2123.0,40.984,54.098,4.918,61.0,45.312,46.875,7.812,64.0,A43,C54,C47,B32,0.074,0.63,0.259,0.111,0.619,0.19,571.0
adoneria,BENTLARSENG3,1,2188.0,45.71,7920.0,2492.0,2470.0,2438.0,74.603,23.81,1.587,63.0,70.968,24.194,4.839,62.0,A40,A46,A41,E04,0.319,0.451,0.209,0.2,0.5,0.233,277.0
mkultyshev,WalidGebril2020,1,2296.0,45.17,7177.0,2515.0,2491.0,2476.0,69.355,27.419,3.226,62.0,50.794,46.032,3.175,63.0,D45,D37,B54,E12,0.28,0.587,0.107,0.109,0.478,0.413,418.0
jpjoseph,Jats,-1,1616.0,45.05,6158.0,2059.0,2041.0,1965.0,49.18,44.262,6.557,61.0,37.5,53.125,9.375,64.0,B01,B30,C41,B33,0.167,0.722,0.111,0.082,0.787,0.131,550.0
Vithuna2,SantiRamiQ,-1,1237.0,45.03,260.0,1342.0,1331.0,1313.0,55.556,38.095,6.349,63.0,48.387,48.387,3.226,62.0,C50,C47,C25,C68,0.385,0.415,0.154,0.241,0.63,0.13,367.0
vihaanvignesh,Suvarnatechnosoft,1,853.0,55.65,55.0,916.0,902.0,892.0,42.857,57.143,0.0,35.0,45.0,55.0,0.0,20.0,A40,D00,C23,C00,0.458,0.417,0.042,0.097,0.71,0.161,240.0
langtuhungyen,max737021,-1,1283.0,45.0,15048.0,2161.0,1999.0,1973.0,48.387,50.0,1.613,62.0,50.794,47.619,1.587,63.0,C00,C02,D31,A01,0.452,0.323,0.194,0.098,0.82,0.0,138.0
Teo-fish,Jrawww,-1,1245.0,45.08,5601.0,1403.0,1388.0,1386.0,48.387,45.161,6.452,62.0,39.683,53.968,6.349,63.0,A00,C00,A00,C00,0.327,0.418,0.236,0.113,0.435,0.419,258.0
sharifzadeh66,janseb29,-1,1129.0,169.55,1638.0,1114.0,1089.0,1083.0,70.312,28.125,1.562,64.0,44.262,42.623,13.115,61.0,D00,D02,A03,D01,0.306,0.361,0.278,0.295,0.682,0.023,344.0
Santy_GomeZz,Mathius033,-1,1685.0,45.5,1007.0,2091.0,2088.0,2064.0,47.541,44.262,8.197,61.0,43.75,50.0,6.25,64.0,C00,A40,A13,A45,0.316,0.368,0.316,0.695,0.034,0.186,343.0
RitvikSegan,nazar-arkhypovych,-1,1360.0,45.39,2526.0,1490.0,1447.0,1437.0,57.143,41.27,1.587,63.0,41.935,54.839,3.226,62.0,C30,B20,C00,B27,0.226,0.613,0.129,0.15,0.783,0.067,327.0
sorkinskiy,jager-meister,-1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1nherjar,gem1212,1,1165.0,,,,,,39.344,54.098,6.557,61.0,46.875,50.0,3.125,64.0,C50,C44,A34,B00,0.13,0.593,0.259,0.8,0.077,0.092,355.0
yusif_2024,SpheSbiya25,-1,1653.0,45.15,12688.0,2287.0,2219.0,2180.0,46.667,53.333,0.0,60.0,50.769,46.154,3.077,65.0,C40,C23,C30,A04,0.328,0.525,0.148,0.484,0.21,0.306,240.0
bmbng_a,OTBVisualization,-1,1900.0,46.66,2075.0,1937.0,1929.0,1927.0,61.667,31.667,6.667,60.0,69.231,23.077,7.692,65.0,B23,C00,C50,D00,0.134,0.78,0.061,0.118,0.735,0.147,462.0
Z5_Z5_Z5,affist,-1,2015.0,45.02,3233.0,2277.0,2235.0,2234.0,54.098,45.902,0.0,61.0,48.438,46.875,4.688,64.0,A43,A40,A51,D55,0.266,0.453,0.266,0.19,0.431,0.379,264.0
Sebenzaprince,kaimba11,-1,2113.0,45.05,55155.0,2560.0,2540.0,2530.0,75.806,20.968,3.226,62.0,55.556,36.508,7.937,63.0,B01,D00,A48,A46,0.232,0.451,0.256,0.278,0.444,0.111,241.0
a1ashu_30,mehran75723,1,1757.0,45.13,912.0,1959.0,1956.0,1955.0,52.381,47.619,0.0,63.0,45.161,54.839,0.0,62.0,C25,B30,A45,B10,0.443,0.475,0.066,0.141,0.656,0.156,359.0
e4e5e4c5,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKNAYAK,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonapoghosyan,lupshaw,-1,731.0,45.0,3367.0,969.0,959.0,952.0,46.032,52.381,1.587,63.0,38.71,56.452,4.839,62.0,A00,C00,A02,C40,0.453,0.226,0.226,0.735,0.015,0.059,309.0
nart22,harrytardas,1,1516.0,227.03,12260.0,1578.0,1527.0,1520.0,52.459,44.262,3.279,61.0,62.5,32.812,4.688,64.0,C41,C20,B12,C50,0.347,0.458,0.125,0.458,0.354,0.167,295.0
YamanEmirYilmaz,ymrclk04,1,800.0,410.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,B01,,B01,,0.0,0.0,0.0,1.0,0.0,0.0,324.0
ibadatchesss,maxicampero,-1,1024.0,45.1,559.0,1285.0,1277.0,1262.0,56.452,43.548,0.0,62.0,44.444,55.556,0.0,63.0,C20,C50,B20,C46,0.54,0.254,0.175,0.242,0.694,0.048,187.0
alwaysdreamer,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ViggoW,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGmedina,ArsMachine14,1,2409.0,45.59,1577.0,2606.0,2518.0,2513.0,49.206,41.27,9.524,63.0,53.226,41.935,4.839,62.0,D37,B23,A88,A84,0.109,0.641,0.234,0.154,0.692,0.135,431.0
heivapoiry,TwoDollar,1,1249.0,45.0,853.0,1698.0,1506.0,1506.0,40.323,59.677,0.0,62.0,58.73,41.27,0.0,63.0,B01,C23,D06,B03,0.516,0.403,0.081,0.365,0.238,0.397,250.0
Disturbed_imba_24,M_hosein,-1,847.0,45.15,838.0,1010.0,1006.0,1005.0,52.308,43.077,4.615,65.0,46.667,51.667,1.667,60.0,B00,A40,C50,A01,0.306,0.387,0.274,0.644,0.034,0.305,408.0
tyum6673,Paran2htus,-1,1624.0,45.02,5704.0,1798.0,1789.0,1784.0,57.812,37.5,4.688,64.0,42.623,54.098,3.279,61.0,C50,C62,B86,C30,0.095,0.587,0.254,0.175,0.439,0.386,399.0
hoangminhhieu43,sensible_9,-1,1746.0,45.03,6687.0,2163.0,2127.0,2113.0,47.458,47.458,5.085,59.0,53.03,43.939,3.03,66.0,C50,B01,E90,D20,0.27,0.492,0.206,0.053,0.772,0.158,214.0
Pickle101,Albitrus,-1,1742.0,45.13,3885.0,1924.0,1923.0,1918.0,38.095,57.143,4.762,63.0,54.839,41.935,3.226,62.0,B23,A43,B47,A46,0.155,0.638,0.207,0.065,0.548,0.355,550.0
sledak2021,theheartsofdarkness,1,1793.0,45.05,27603.0,2383.0,2381.0,2315.0,51.562,45.312,3.125,64.0,52.459,42.623,4.918,61.0,C44,C45,D35,C23,0.292,0.262,0.446,0.236,0.527,0.236,256.0
curler,sinodAzA,-1,1672.0,46.15,6907.0,2234.0,2140.0,2103.0,55.385,40.0,4.615,65.0,36.667,53.333,10.0,60.0,C50,D00,C48,C49,0.155,0.569,0.207,0.207,0.483,0.19,490.0
