user_id,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_user_blitz_total_games,op_user_best_win_1,op_user_best_win_2,op_user_best_win_3
Ahmed18186,G_Sirius,-1,54.0,43.0,3.0,100.0,1908.0,45.312,48.438,6.25,64.0,55.738,40.984,3.279,61.0,C00,C50,B27,A00,0.254,0.556,0.19,0.161,0.661,0.161,334.0,118.6,2756.0,1809.0,1785.0,1770.0
OksaPr,,401,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
NITIN138915,,401,0.0,0.0,0.0,0.0,1500.0,58.73,36.508,4.762,63.0,40.323,58.065,1.613,62.0,C41,C44,B00,C23,0.306,0.532,0.145,0.136,0.627,0.153,351.0,59.31,1781.0,1919.0,1767.0,1766.0
KINGO_15,Erickp123,-1,43.0,54.0,3.0,100.0,2004.0,34.921,57.143,7.937,63.0,40.323,59.677,0.0,62.0,B01,C00,B84,A17,0.362,0.277,0.319,0.055,0.795,0.151,265.0,59.61,641.0,2310.0,2256.0,2241.0
Talalaev808,snoo32,0,37.0,60.0,3.0,100.0,1207.0,0.0,50.0,50.0,2.0,0.0,0.0,0.0,0.0,C41,C42,C41,C42,0.0,0.0,0.0,0.0,1.0,0.0,386.0,228.18,2.0,0.0,0.0,0.0
Krabbe,JariMixeus,0,63.0,35.0,2.0,100.0,1968.0,70.312,20.312,9.375,64.0,65.574,24.59,9.836,61.0,B23,B10,C50,B26,0.2,0.671,0.118,0.179,0.571,0.25,417.0,47.64,13613.0,2719.0,2698.0,2644.0
NettoFrois,bocah_cilik9090,1,0.0,0.0,0.0,0.0,,25.0,71.429,3.571,28.0,23.81,76.19,0.0,21.0,C42,C40,B06,A40,0.333,0.25,0.333,0.167,0.5,0.306,228.0,78.84,49.0,1135.0,1021.0,958.0
diesel2006,Zzz011,-1,46.0,49.0,5.0,100.0,1710.0,42.373,50.847,6.78,59.0,45.455,50.0,4.545,66.0,A40,B56,D02,E12,0.291,0.636,0.055,0.159,0.317,0.46,352.0,45.19,2530.0,2025.0,1944.0,1923.0
ABN_RB_1994,anrec,-1,60.0,35.0,5.0,100.0,2353.0,49.18,50.82,0.0,61.0,43.75,53.125,3.125,64.0,B27,C00,E70,B57,0.172,0.431,0.397,0.569,0.369,0.062,294.0,48.17,362.0,2368.0,2340.0,2296.0
pierre_albert-birot,Manuenrico,-1,46.0,53.0,1.0,100.0,1445.0,42.857,50.0,7.143,56.0,37.681,56.522,5.797,69.0,C00,C02,C53,B12,0.26,0.54,0.2,0.373,0.522,0.09,318.0,47.73,2673.0,2021.0,2004.0,1992.0
