user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
joseMF,76.0,23.0,0.0,78.0,2265.0,2260-2279,65.079,33.333,1.587,63.0,62.903,32.258,4.839,62.0,C00,B50,B30,B06,0.237,0.537,0.188,0.171,0.78,0.049,233.0
DavidWag13,40.0,53.0,7.0,100.0,1052.0,1040-1059,47.826,45.652,6.522,46.0,27.907,67.442,4.651,43.0,B10,B01,C46,B02,0.353,0.412,0.235,0.64,0.16,0.0,249.0
chosenegwim,55.0,43.0,2.0,100.0,1222.0,1220-1239,58.065,40.323,1.613,62.0,42.857,53.968,3.175,63.0,B10,C41,C77,C44,0.444,0.413,0.111,0.186,0.305,0.441,380.0
Messi_01,49.0,45.0,6.0,100.0,2340.0,2320-2339,54.098,37.705,8.197,61.0,32.812,56.25,10.938,64.0,B23,B12,B10,B03,0.148,0.556,0.259,0.186,0.678,0.136,392.0
chessizkool,48.0,51.0,0.0,81.0,1448.0,1440-1459,32.432,62.162,5.405,37.0,53.409,43.182,3.409,88.0,C00,A00,C20,A04,0.22,0.508,0.271,0.41,0.443,0.082,249.0
AIDOS_MAGRAMOV,51.0,43.0,6.0,100.0,1133.0,1120-1139,47.692,47.692,4.615,65.0,40.0,58.333,1.667,60.0,D00,B01,A10,A01,0.273,0.491,0.145,0.333,0.394,0.273,572.0
spiderlily8,52.0,44.0,4.0,100.0,1859.0,1840-1859,53.226,33.871,12.903,62.0,44.444,44.444,11.111,63.0,D02,B10,A43,B15,0.082,0.656,0.23,0.184,0.816,0.0,210.0
GMKopanolvsky,48.0,47.0,5.0,100.0,2414.0,2400-2419,60.656,36.066,3.279,61.0,60.938,35.938,3.125,64.0,nonStandard,A40,A43,C05,0.158,0.474,0.342,0.156,0.6,0.244,227.0
DanCheess,46.0,43.0,11.0,100.0,1430.0,1420-1439,51.562,48.438,0.0,64.0,44.262,55.738,0.0,61.0,B28,B20,C55,A01,0.233,0.533,0.2,0.354,0.523,0.077,351.0
abhi_ab,54.0,43.0,3.0,100.0,1939.0,1920-1939,43.75,54.688,1.562,64.0,49.18,49.18,1.639,61.0,B01,B00,B22,C02,0.241,0.5,0.241,0.415,0.2,0.385,351.0
mohammed_kobesi,47.0,45.0,8.0,100.0,1947.0,1940-1959,44.444,49.206,6.349,63.0,53.226,43.548,3.226,62.0,B20,B10,A40,A01,0.23,0.492,0.246,0.086,0.707,0.207,244.0
Sandy27,50.0,49.0,1.0,100.0,1384.0,1380-1399,54.545,42.424,3.03,66.0,37.288,59.322,3.39,59.0,B30,B20,A43,D10,0.241,0.569,0.172,0.238,0.476,0.206,578.0
ChessBishop456,0.0,100.0,0.0,3.0,1046.0,1040-1059,33.333,33.333,33.333,3.0,40.0,60.0,0.0,5.0,C50,C00,B13,B01,1.0,0.0,0.0,0.5,0.5,0.0,273.0
bebra2101,45.0,49.0,6.0,100.0,2184.0,2180-2199,56.452,41.935,1.613,62.0,38.095,53.968,7.937,63.0,A40,B20,A06,D06,0.22,0.492,0.254,0.1,0.733,0.167,249.0
