user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
MaticMlakar,1,38.0,59.0,3.0,100.0
DLOK,-1,47.0,50.0,3.0,100.0
LondonGF4,1,53.0,41.0,6.0,100.0
Why_I_Am_Panicking,1,0.0,0.0,0.0,0.0
jupiter1969,-1,0.0,0.0,0.0,0.0
Kisun9,-1,56.0,43.0,1.0,100.0
IgorVIV,-1,52.0,48.0,0.0,100.0
mohammad5050,-1,53.0,43.0,4.0,100.0
kennedyseelva,1,0.0,100.0,0.0,1.0
ads4165,-1,45.0,49.0,6.0,100.0
khaledmohmedmohmed24,-1,52.0,45.0,3.0,100.0
bbabbitt1987,-1,69.0,31.0,0.0,100.0
Atet_777,1,44.0,50.0,6.0,100.0
RuelsKie,1,57.0,39.0,3.0,99.0
PalaciosLlF,-1,47.0,46.0,7.0,100.0
fiordo,1,53.0,47.0,0.0,100.0
fruffini,-1,51.0,46.0,3.0,100.0
Rodavlas64,1,48.0,51.0,1.0,100.0
BubbaLi,1,0.0,0.0,0.0,0.0
MrMasabo,1,54.0,46.0,0.0,100.0
Fredy377,-1,42.0,56.0,2.0,100.0
teel0ck,1,0.0,0.0,0.0,0.0
moussap,1,33.0,66.0,0.0,63.0
Subhajit_Ghosh,-1,43.0,53.0,4.0,100.0
Takanib,-1,39.0,52.0,9.0,100.0
BlunderKopf,-1,48.0,52.0,0.0,100.0
machineinmyhead,1,0.0,0.0,0.0,0.0
Abdelmute,-1,57.0,40.0,2.0,100.0
SergioGentili,-1,45.0,55.0,0.0,100.0
NR_pemulla,-1,78.0,20.0,1.0,55.0
aliasghargh36,1,39.0,51.0,10.0,100.0
SheldonX,1,50.0,50.0,0.0,100.0
DMVP1963,1,50.0,43.0,7.0,100.0
mam0061,-1,47.0,52.0,1.0,100.0
KrasimirKirchev1973,-1,64.0,28.0,8.0,100.0
Marea_Unire_1918,-1,51.0,45.0,4.0,100.0
Nickmax989,-1,49.0,51.0,0.0,100.0
teo123,1,48.0,50.0,2.0,100.0
H293741,-1,49.0,45.0,6.0,100.0
YakupovIldar,1,56.0,39.0,5.0,100.0
SharovaIrina76,-1,48.0,48.0,4.0,100.0
chesscom_300player,1,30.0,69.0,0.0,13.0
Minecraft2016,1,32.0,62.0,6.0,100.0
checkmatecornerph,1,47.0,48.0,5.0,100.0
HakimPopo,-1,59.0,39.0,2.0,100.0
Serwan58,-1,63.0,36.0,1.0,100.0
Danyel_Carvalho,1,44.0,52.0,4.0,100.0
diver111333,1,30.0,68.0,2.0,100.0
serdem8989,-1,43.0,56.0,1.0,100.0
jagrofenina,1,40.0,50.0,10.0,30.0
SirWalterKurtz,-1,43.0,53.0,4.0,100.0
Balkanpower5,-1,71.0,28.0,0.0,42.0
pionkendel,-1,54.0,45.0,1.0,100.0
chesstom22,1,25.0,74.0,0.0,93.0
Bigbammo1,-1,47.0,44.0,9.0,100.0
flyingxx,1,41.0,50.0,9.0,100.0
RoJoGM,1,0.0,0.0,0.0,0.0
Kathana,1,100.0,0.0,0.0,42.0
volevolepivole,1,0.0,0.0,0.0,0.0
ver15ef,1,52.0,44.0,4.0,75.0
berkayhnm,-1,48.0,52.0,0.0,100.0
RaianGTI,1,45.0,48.0,7.0,100.0
Xygston,1,47.0,51.0,2.0,100.0
fratazio,-1,49.0,49.0,2.0,100.0
eatsleepgymrepeat,1,42.0,57.0,0.0,57.0
felix3101,1,45.0,51.0,4.0,100.0
mufessirr,-1,49.0,49.0,2.0,100.0
Focus-on,1,45.0,46.0,9.0,100.0
Nazar-1913,1,0.0,100.0,0.0,3.0
EngAmmarYasser,-1,0.0,0.0,0.0,0.0
Spartan_Lion,-1,59.0,32.0,9.0,100.0
Mirhaev,1,44.0,34.0,22.0,100.0
Lotherm10,-1,52.0,47.0,1.0,100.0
zen_10,-1,45.0,50.0,5.0,100.0
Ga7er,0,50.0,50.0,0.0,12.0
ruibelomelo,-1,0.0,0.0,0.0,0.0
DAMIAN_CAI,-1,43.0,55.0,2.0,100.0
cmd86,1,48.0,45.0,7.0,100.0
Chagsman,1,0.0,0.0,0.0,0.0
isiradulneth,-1,54.0,46.0,0.0,100.0
Cheess75,-1,48.0,50.0,2.0,100.0
vezirkitlatan,-1,0.0,0.0,0.0,0.0
AlanSugar,-1,0.0,0.0,0.0,0.0
Sorollacezane,-1,48.0,49.0,3.0,100.0
Gork_Land,-1,55.0,41.0,4.0,100.0
das_attacks,-1,43.0,51.0,6.0,100.0
Caeluss,1,0.0,0.0,0.0,0.0
uasloboda,-1,37.0,51.0,12.0,100.0
jarred771,1,0.0,0.0,0.0,0.0
Nikicatroha,1,0.0,0.0,0.0,0.0
cerrah33,1,0.0,0.0,0.0,0.0
FuriousSG,-1,100.0,0.0,0.0,3.0
Sarmach,-1,53.0,35.0,12.0,100.0
Wadera33,-1,44.0,54.0,2.0,100.0
Ruy401,1,7.0,88.0,3.0,26.0
MadeAgung74,1,0.0,0.0,0.0,0.0
MocanAmelia,1,0.0,100.0,0.0,3.0
Alejandrao7,1,46.0,44.0,10.0,100.0
kkkaixo,-1,45.0,53.0,2.0,100.0
salmantalha123,-1,48.0,48.0,4.0,100.0
chess_salauddin1980,1,54.0,43.0,3.0,100.0
elpandolf,-1,47.0,49.0,4.0,100.0
laskdsgiosdhig,-1,56.0,41.0,2.0,41.0
alaa624,1,46.0,49.0,5.0,100.0
Eduardo4591,1,40.0,50.0,10.0,100.0
RuslanDam,1,48.0,39.0,13.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
ProChessPlayer3000,-1,33.0,58.0,8.0,36.0
GeeQ005,1,53.0,44.0,3.0,100.0
maoshii,-1,0.0,0.0,0.0,0.0
abah_css,1,56.0,42.0,1.0,100.0
Neno2021,-1,0.0,0.0,0.0,0.0
eldewak,-1,46.0,52.0,2.0,100.0
bagizmaj,-1,48.0,50.0,2.0,100.0
Aida_Ridwana12,-1,46.0,53.0,1.0,100.0
arasov,-1,31.0,69.0,0.0,100.0
PenTuJlouD,0,54.0,42.0,3.0,99.0
NotALizardPerson,1,28.0,42.0,28.0,21.0
Vadim071,-1,33.0,33.0,33.0,9.0
liljtasty,1,49.0,51.0,0.0,100.0
Zagarey_AV,-1,44.0,54.0,2.0,100.0
pkjuy,1,0.0,0.0,0.0,0.0
Pepekan,-1,54.0,30.0,16.0,100.0
oluwaceejay,1,47.0,46.0,7.0,100.0
kendallroyera,-1,43.0,54.0,3.0,100.0
Exartizo,1,66.0,33.0,0.0,36.0
JEVH1987,1,46.0,46.0,8.0,100.0
wernermaiss,-1,56.0,43.0,1.0,100.0
Vanchelo7,1,39.0,56.0,4.0,41.0
Golabrzd,1,50.0,44.0,6.0,100.0
cannacar,-1,47.0,48.0,5.0,100.0
abel_salvatierra,-1,53.0,46.0,0.0,45.0
Tinolaurio2020,-1,63.0,33.0,4.0,100.0
Hulisani,1,0.0,100.0,0.0,3.0
voloshyn_d,-1,57.0,40.0,2.0,100.0
Roberto_UDoHaveStyle,1,0.0,0.0,0.0,0.0
nelsonvidal,1,0.0,0.0,0.0,0.0
navigatorus,1,50.0,47.0,3.0,100.0
rinneganchess,1,0.0,0.0,0.0,0.0
ninjasgo,1,56.0,40.0,4.0,100.0
jithinmthomas,1,39.0,54.0,7.0,100.0
runeberg2,0,0.0,100.0,0.0,3.0
BeHeitch28,-1,48.0,48.0,4.0,100.0
rutu_ajitg,1,43.0,56.0,0.0,100.0
AdrianKen_Tecson,1,55.0,40.0,5.0,100.0
Elaiya,1,54.0,39.0,7.0,100.0
Garde7,-1,40.0,55.0,5.0,100.0
Aristofan1,1,75.0,25.0,0.0,12.0
kanoucan,-1,51.0,49.0,0.0,100.0
barconharmon,1,48.0,46.0,6.0,100.0
Evgen1221,1,0.0,0.0,0.0,0.0
Kontes07,-1,39.0,55.0,6.0,100.0
eldesaparecidoe,-1,0.0,0.0,0.0,0.0
Pippo_45,-1,55.0,45.0,0.0,60.0
Oldman57,-1,55.0,41.0,4.0,100.0
trefitz1,-1,52.0,46.0,2.0,100.0
harutyunyan_chees1,1,45.0,45.0,8.0,74.0
looseknot,1,50.0,50.0,0.0,6.0
tricolor_corgi,1,47.0,51.0,2.0,100.0
Mrios,-1,62.0,25.0,12.0,48.0
tevis_08,1,42.0,56.0,1.0,100.0
OD66,1,50.0,43.0,7.0,100.0
RookwarriorVII,1,49.0,50.0,1.0,100.0
legoski,-1,46.0,42.0,12.0,100.0
livingstonelounge,-1,45.0,55.0,0.0,100.0
joolean1,-1,53.0,46.0,1.0,100.0
Andemar2024,1,60.0,20.0,20.0,15.0
Luke_Blumentritt,-1,40.0,50.0,10.0,30.0
Akeesa12,-1,15.0,83.0,2.0,100.0
da_airam,-1,45.0,46.0,9.0,100.0
christmasbalunywa,1,52.0,46.0,2.0,100.0
vgallet,1,47.0,53.0,0.0,100.0
cmaciel1503,1,53.0,46.0,1.0,100.0
joli49,1,42.0,42.0,14.0,21.0
jcrioux17,-1,0.0,0.0,0.0,0.0
judineptune,-1,59.0,33.0,8.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
BaptisteU,1,61.0,38.0,0.0,18.0
Hsuazz,1,52.0,42.0,6.0,100.0
Priyadharun,-1,72.0,27.0,0.0,54.0
ScrDr221,1,50.0,50.0,0.0,12.0
Emir_Zufar,1,0.0,100.0,0.0,9.0
MikeNovi,1,47.0,51.0,2.0,100.0
mohamadghanbar86,-1,62.0,31.0,7.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
ChessNoob196,-1,47.0,50.0,3.0,100.0
vivek_Kir,-1,50.0,48.0,2.0,100.0
CRBrahim,-1,71.0,27.0,2.0,100.0
wiessyjr,-1,51.0,42.0,7.0,100.0
hierropw,-1,55.0,41.0,4.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
illia-odessa,1,33.0,63.0,4.0,100.0
Yezyd,-1,46.0,49.0,5.0,100.0
Maggan73,-1,0.0,0.0,0.0,0.0
abonoreen,-1,53.0,43.0,4.0,100.0
ShubhamKashyap,1,55.0,44.0,1.0,100.0
starped,1,42.0,56.0,2.0,100.0
allegreison,1,52.0,39.0,9.0,100.0
Amisra20,-1,55.0,43.0,2.0,100.0
RhenzRheann_Auza98,-1,75.0,21.0,4.0,100.0
Higgle10,1,0.0,0.0,0.0,0.0
DumbMate,-1,44.0,55.0,1.0,100.0
DryIce,-1,0.0,0.0,0.0,0.0
BuryMishka,1,45.0,48.0,7.0,100.0
DryIce,-1,0.0,0.0,0.0,0.0
korneplod_pupsik,1,47.0,51.0,2.0,100.0
AlbP20,-1,47.0,48.0,5.0,100.0
yashdahiya2,-1,0.0,100.0,0.0,3.0
DronVasin,-1,49.0,49.0,2.0,100.0
ChessBund24,-1,71.0,28.0,1.0,100.0
Bibson24,1,0.0,0.0,0.0,0.0
MOHAMAD123BAKORA,1,62.0,30.0,8.0,100.0
DanielSturdy,1,44.0,53.0,3.0,100.0
amorfatti,-1,0.0,0.0,0.0,0.0
Zakarthy,1,0.0,0.0,0.0,0.0
maels2,1,42.0,55.0,3.0,100.0
InHocSignoVinces74,0,59.0,30.0,9.0,62.0
SleezyPeezy,-1,0.0,0.0,0.0,0.0
mascarpone,0,53.0,42.0,5.0,100.0
Fredrik4251,1,43.0,49.0,8.0,100.0
satyaasatya,-1,51.0,47.0,2.0,100.0
Nadin09021981,-1,41.0,58.0,0.0,72.0
franciscompph,-1,52.0,45.0,3.0,100.0
joshua0,-1,51.0,45.0,4.0,100.0
caturojak,-1,57.0,40.0,2.0,100.0
oscarmike143,1,47.0,52.0,1.0,100.0
Msyoy,-1,43.0,52.0,5.0,100.0
Marcomas,-1,63.0,33.0,4.0,100.0
belmoing,-1,38.0,56.0,6.0,100.0
ololoboum,-1,43.0,56.0,1.0,100.0
OPC_novichok,1,42.0,52.0,6.0,100.0
NGANU20,1,42.0,55.0,3.0,100.0
gallenza,-1,0.0,0.0,0.0,0.0
ErnestoSanz-1968,-1,0.0,0.0,0.0,0.0
Hatem-Hadidene,1,23.0,73.0,4.0,100.0
Ikerdlvp,0,100.0,0.0,0.0,3.0
AndrewTeclas,-1,50.0,49.0,1.0,100.0
ChaosPawn1264,-1,47.0,53.0,0.0,100.0
zalimabii,-1,44.0,51.0,5.0,100.0
HadrianChess,-1,53.0,47.0,0.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Bukanben,-1,52.0,46.0,2.0,100.0
Soft_icee,-1,47.0,49.0,4.0,100.0
apalache,-1,0.0,0.0,0.0,0.0
abvgdeyozh_1,0,55.0,38.0,7.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
T12g0,-1,40.0,52.0,8.0,100.0
Vlad_Niko_X,1,0.0,0.0,0.0,0.0
infamdf,1,42.0,52.0,6.0,100.0
Debsubhra_Dutta,-1,30.0,65.0,5.0,60.0
lahanjara,-1,50.0,48.0,2.0,100.0
fzappa,1,45.0,51.0,4.0,100.0
Rezo46,-1,50.0,49.0,1.0,100.0
invokedRegime,1,0.0,0.0,0.0,0.0
Mo_Atey,1,50.0,49.0,1.0,100.0
Nastya00016,1,31.0,62.0,6.0,48.0
sourav_bhaduri,1,46.0,50.0,4.0,100.0
Mihajlo___1,1,55.0,42.0,3.0,100.0
Huaraz20,1,50.0,49.0,1.0,100.0
yasin9944,1,0.0,0.0,0.0,0.0
D-Ziko,-1,48.0,50.0,2.0,100.0
Tolich23,1,28.0,70.0,2.0,100.0
kgkg6,1,0.0,0.0,0.0,0.0
DrunkBoss,-1,45.0,46.0,9.0,100.0
bukanmain,1,48.0,47.0,5.0,100.0
GURYA,-1,50.0,47.0,3.0,100.0
romanticches,-1,57.0,36.0,6.0,100.0
MrRatm,-1,45.0,53.0,2.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Hoarmurath,-1,0.0,0.0,0.0,0.0
samimejzini,-1,46.0,48.0,6.0,100.0
skproductions2021,-1,45.0,52.0,3.0,100.0
BenGeo21,1,51.0,45.0,4.0,100.0
captainfanegas,-1,45.0,48.0,7.0,100.0
tm_maestro,-1,50.0,42.0,8.0,100.0
Olga_zzz,-1,49.0,40.0,11.0,100.0
meghaliujir,-1,39.0,61.0,0.0,100.0
Sgush,1,54.0,41.0,5.0,100.0
luxe,-1,44.0,47.0,9.0,100.0
gambut_city,-1,48.0,49.0,3.0,100.0
Matimu500,-1,34.0,54.0,12.0,100.0
LalitMamtani,-1,66.0,33.0,0.0,18.0
Irrr_K,-1,46.0,48.0,6.0,100.0
KraussRussell,1,50.0,42.0,7.0,42.0
momuntaevaibek,-1,42.0,57.0,0.0,78.0
TablewareCrease,1,42.0,50.0,8.0,100.0
ValeraKTR,1,0.0,0.0,0.0,0.0
leakcim69,1,42.0,50.0,8.0,100.0
JokerStyle17,-1,51.0,47.0,2.0,100.0
JADLibera,1,51.0,47.0,2.0,100.0
ilyana_bkh,1,40.0,60.0,0.0,30.0
SchpassFogl,1,0.0,0.0,0.0,0.0
X1_a-s,1,0.0,0.0,0.0,0.0
proteriys,1,66.0,33.0,0.0,9.0
arysato2,-1,41.0,55.0,4.0,100.0
ADa10000,1,41.0,55.0,4.0,100.0
Youri_123,1,43.0,49.0,8.0,100.0
qwf,1,66.0,33.0,0.0,9.0
yanmolodoy,1,46.0,53.0,1.0,100.0
VAKarapeyan,-1,50.0,33.0,16.0,18.0
husseinp,1,49.0,49.0,2.0,100.0
Hendriyono,-1,50.0,49.0,1.0,100.0
Dondanigp,1,61.0,33.0,4.0,63.0
Miguel_2019,-1,48.0,43.0,9.0,100.0
Adamxs,1,56.0,35.0,9.0,100.0
nathanpr,-1,0.0,0.0,0.0,0.0
nogaminx,-1,48.0,48.0,4.0,100.0
mrb_is_was,1,0.0,0.0,0.0,0.0
OlegMoseyko,-1,48.0,46.0,6.0,100.0
Kelimanagel,-1,48.0,50.0,2.0,100.0
Jclegend,0,39.0,51.0,10.0,100.0
Tornssen,1,56.0,37.0,7.0,100.0
Narottama,1,0.0,0.0,0.0,0.0
Donckey01,-1,45.0,45.0,10.0,100.0
purvissam,-1,51.0,45.0,4.0,100.0
AnnLap,-1,44.0,55.0,1.0,100.0
no3am,-1,46.0,51.0,3.0,100.0
ESVTDMRC1,1,33.0,66.0,0.0,9.0
elflacocba,-1,35.0,64.0,1.0,100.0
Petro66,0,0.0,0.0,0.0,0.0
Moubharnikhasri,1,44.0,51.0,3.0,81.0
GiannisM1,-1,49.0,51.0,0.0,100.0
cruzcarneiro,1,56.0,43.0,1.0,100.0
Rickyboy04405,0,0.0,0.0,0.0,0.0
znorroznorrson,1,51.0,49.0,0.0,100.0
lolavi,1,0.0,0.0,0.0,0.0
boom_panis,-1,0.0,0.0,0.0,0.0
tpolyg,-1,56.0,37.0,7.0,100.0
vethkm,1,48.0,50.0,2.0,100.0
BarakSaltz,1,0.0,0.0,0.0,0.0
margouilla,-1,49.0,48.0,3.0,100.0
Timur2019,1,44.0,53.0,3.0,100.0
Ian_Brucal27,-1,52.0,45.0,3.0,100.0
AAuthii,1,0.0,0.0,0.0,0.0
Adrux22,1,33.0,66.0,1.0,100.0
carlosbennun,0,46.0,50.0,4.0,100.0
Mostafa1800,1,0.0,0.0,0.0,0.0
Kudzyunorova,-1,43.0,53.0,4.0,100.0
Rus036,-1,64.0,34.0,2.0,100.0
zakafekr,1,56.0,39.0,5.0,100.0
Raffaian,1,0.0,0.0,0.0,0.0
HosilmurodovAlisher,-1,44.0,50.0,6.0,100.0
Mabone29,1,47.0,45.0,8.0,100.0
Tsekov_Vasil,1,45.0,53.0,2.0,100.0
Derf1313,1,51.0,45.0,3.0,93.0
arthur4n,-1,36.0,60.0,3.0,90.0
lucaszin09,-1,50.0,42.0,8.0,100.0
peli-kake,1,44.0,55.0,1.0,100.0
kralberkprotenc,1,50.0,50.0,0.0,6.0
Daniel59,-1,100.0,0.0,0.0,3.0
GaussBoss,1,44.0,47.0,9.0,100.0
Icekid20,1,100.0,0.0,0.0,3.0
Baktijr-0719,-1,48.0,45.0,7.0,100.0
lukmanchacha,1,34.0,56.0,8.0,69.0
Sir_GD,1,51.0,45.0,4.0,100.0
drsnglu,1,57.0,39.0,3.0,99.0
Batabaevmirgalim,-1,47.0,44.0,9.0,100.0
Max-Makov,-1,46.0,50.0,4.0,100.0
tendryniaina,-1,56.0,44.0,0.0,100.0
Cice1945,1,49.0,51.0,0.0,100.0
fritzhonka,-1,53.0,41.0,6.0,100.0
taddek,1,50.0,45.0,5.0,100.0
drunkchessdog,1,0.0,0.0,0.0,0.0
shahparth1,-1,0.0,0.0,0.0,0.0
SrBurnns,1,45.0,48.0,7.0,100.0
Time_composition,-1,61.0,28.0,11.0,100.0
BellsDan,1,43.0,56.0,1.0,100.0
miladona,1,40.0,52.0,8.0,100.0
atticgangster,-1,0.0,0.0,0.0,0.0
pium_noob,1,48.0,50.0,2.0,100.0
NiceBacon99,-1,52.0,44.0,4.0,100.0
AStein1970,-1,41.0,54.0,5.0,100.0
X_Man2010,-1,50.0,40.0,10.0,30.0
h330,1,47.0,50.0,3.0,100.0
AjayKanwar,-1,0.0,0.0,0.0,0.0
MrDefender,-1,45.0,52.0,3.0,100.0
marcelosx,-1,53.0,45.0,2.0,100.0
AlexA1976,-1,47.0,50.0,3.0,100.0
Juanma0906,-1,44.0,55.0,1.0,100.0
Sociables,1,50.0,42.0,8.0,100.0
Cronos55,-1,0.0,0.0,0.0,0.0
bareerireira,1,49.0,43.0,8.0,100.0
Matt_Weis,-1,52.0,44.0,4.0,100.0
ak_rookie,-1,51.0,49.0,0.0,100.0
OwneR1995,-1,56.0,37.0,7.0,100.0
papoun1,-1,46.0,48.0,6.0,100.0
NadezhdaBerdnikova,-1,53.0,45.0,2.0,100.0
HumbertoMilan,1,44.0,54.0,2.0,100.0
EL-EXTERMINADOR1,1,53.0,40.0,7.0,100.0
ScouT4,-1,0.0,100.0,0.0,1.0
GodOFWarfare89,-1,55.0,42.0,3.0,100.0
Abu_garcia,-1,48.0,44.0,8.0,100.0
Davidotuokere77,-1,48.0,48.0,4.0,100.0
galina0601,1,40.0,59.0,1.0,100.0
Bulletexperte2,0,45.0,40.0,15.0,100.0
L04d1ng,-1,60.0,6.0,33.0,45.0
NocteSidus,1,56.0,35.0,8.0,100.0
LyricDreamer,1,49.0,47.0,4.0,100.0
brain8lut,-1,49.0,43.0,8.0,100.0
F84T,1,0.0,0.0,0.0,0.0
SAKHALIN_65,-1,63.0,36.0,0.0,57.0
hadi5564,-1,41.0,58.0,0.0,51.0
kmm606,1,50.0,48.0,2.0,100.0
jamato,-1,54.0,41.0,5.0,100.0
Toronto_4,-1,0.0,0.0,0.0,0.0
muazk25,-1,49.0,43.0,8.0,100.0
NowIAmSerious,1,59.0,25.0,16.0,100.0
georgy333,1,0.0,100.0,0.0,3.0
paosygz,-1,48.0,38.0,12.0,93.0
migliora00,-1,47.0,49.0,3.0,87.0
OlyhSturmovik,-1,48.0,46.0,6.0,100.0
Alberto_Balsalm,1,0.0,0.0,0.0,0.0
Rezignationistheflag,1,49.0,47.0,4.0,100.0
Revalor,1,0.0,0.0,0.0,0.0
MTMStefan0306,-1,39.0,56.0,4.0,69.0
ElMateArgentino,-1,66.0,33.0,0.0,9.0
SCHACH-1954,0,0.0,0.0,0.0,0.0
Abu-Firas,1,53.0,44.0,3.0,100.0
AngieGi,1,0.0,0.0,0.0,0.0
Sleepeak,-1,47.0,51.0,2.0,100.0
pcruz9,1,0.0,0.0,0.0,0.0
KR_Ulibas82,-1,0.0,0.0,0.0,0.0
RooktoIvanchuk,-1,0.0,0.0,0.0,0.0
VIBHATH10,1,39.0,57.0,3.0,100.0
Pharaoon,1,0.0,0.0,0.0,0.0
ains_rick,-1,45.0,50.0,5.0,100.0
Jota3535,1,45.0,53.0,2.0,100.0
Arazmohammad_49,-1,37.0,57.0,5.0,100.0
jalal6106,1,51.0,47.0,2.0,100.0
KAK_TO_TAK_TO,-1,82.0,14.0,4.0,100.0
cg0896,1,55.0,41.0,4.0,100.0
petit-rock,1,40.0,52.0,8.0,100.0
samm61,1,45.0,48.0,7.0,100.0
joshiedgar,-1,0.0,0.0,0.0,0.0
ChuckSchick,1,50.0,43.0,6.0,96.0
Bulbulaka,1,0.0,0.0,0.0,0.0
loveMTB,1,43.0,54.0,3.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
DavidHuang6000,-1,0.0,0.0,0.0,0.0
Nurikmaralbek13,1,28.0,69.0,3.0,100.0
leabrodre,1,62.0,37.0,1.0,100.0
CardinalBlack11,0,62.0,32.0,6.0,100.0
lyrapan,-1,100.0,0.0,0.0,18.0
RiddenKira,-1,44.0,42.0,14.0,100.0
alex3892,1,66.0,34.0,0.0,100.0
shamil105,1,48.0,50.0,2.0,100.0
Cskn53,1,54.0,39.0,7.0,100.0
Juan-Ocampo-27,-1,0.0,0.0,0.0,0.0
Ksyu0206,-1,49.0,51.0,0.0,100.0
jmv1976,-1,52.0,46.0,2.0,100.0
smirnov191,-1,0.0,0.0,0.0,0.0
marc03041961,-1,44.0,55.0,1.0,100.0
berlikurti,1,0.0,0.0,0.0,0.0
ibnalaraby921,-1,0.0,0.0,0.0,0.0
Lintchevski_Daniil,-1,58.0,25.0,16.0,36.0
kemalmeteyuksek,-1,45.0,54.0,0.0,66.0
EkaterinaValerievna,1,2.0,97.0,1.0,100.0
teryguns,-1,43.0,52.0,5.0,100.0
KnightsKiller,-1,0.0,0.0,0.0,0.0
iqbal1010,-1,38.0,61.0,0.0,78.0
dja-dja,-1,45.0,41.0,12.0,72.0
Syvenkyy,1,0.0,0.0,0.0,0.0
Everardo2006,1,48.0,49.0,3.0,100.0
luce4747,-1,20.0,80.0,0.0,5.0
GRhumRa,1,52.0,47.0,1.0,100.0
SuzyMcQueen,-1,51.0,48.0,1.0,100.0
Roman5725,1,43.0,53.0,4.0,100.0
ahmadahmadahmad,1,52.0,47.0,1.0,100.0
iskf,1,48.0,45.0,7.0,100.0
Edison2010,1,57.0,35.0,7.0,100.0
danielpolasek93,-1,41.0,58.0,0.0,17.0
Loopie9,1,17.0,81.0,2.0,100.0
PUTRA_RAMBI,-1,49.0,49.0,2.0,100.0
angelcorvus,-1,45.0,51.0,4.0,100.0
sashacw,1,51.0,43.0,6.0,100.0
noirnot,0,49.0,50.0,1.0,100.0
Ghaem_1366,1,0.0,0.0,0.0,0.0
Mtower,-1,0.0,100.0,0.0,9.0
H-basimov,-1,38.0,61.0,0.0,44.0
bestmooves,1,41.0,51.0,6.0,89.0
Black_Winter_Day,0,87.0,6.0,7.0,100.0
drjthegrandmaster,1,0.0,0.0,0.0,0.0
Kimosabyy,-1,53.0,47.0,0.0,100.0
viktoraxt,1,52.0,46.0,2.0,100.0
puppies_are_fun,1,46.0,52.0,2.0,100.0
metallaplle,-1,0.0,0.0,0.0,0.0
DFTrainer,-1,44.0,53.0,3.0,100.0
Dimein,-1,44.0,47.0,9.0,100.0
GeorgeRoshdy,1,42.0,49.0,9.0,100.0
Olusegun-444,1,49.0,44.0,7.0,100.0
LS99,-1,0.0,0.0,0.0,0.0
vroomvroom_minority,1,49.0,47.0,4.0,100.0
dranjemin,-1,41.0,54.0,5.0,100.0
meme4mar,-1,28.0,67.0,4.0,100.0
karhu,-1,43.0,54.0,3.0,100.0
krks78,-1,43.0,55.0,2.0,100.0
kabayo56,-1,0.0,0.0,0.0,0.0
TziotasTz,1,49.0,41.0,10.0,100.0
Think_Fast_Move_Slow,0,43.0,51.0,6.0,100.0
PetervanHouten,-1,0.0,0.0,0.0,0.0
peeper_frog,0,51.0,46.0,3.0,100.0
Nikolay_Donets,-1,46.0,33.0,20.0,45.0
Alexander_174,1,44.0,50.0,6.0,100.0
Paisano22,-1,43.0,50.0,7.0,100.0
daviitp,-1,0.0,0.0,0.0,0.0
saeedalsayeh,0,0.0,0.0,0.0,0.0
Evgeny713,1,0.0,0.0,0.0,0.0
farid_91,-1,41.0,51.0,8.0,100.0
Sweetash,-1,0.0,0.0,0.0,0.0
Franklin0402,-1,0.0,0.0,0.0,0.0
gent00,1,46.0,52.0,2.0,100.0
Motze91,-1,0.0,0.0,0.0,0.0
SimpleDog1,1,0.0,0.0,0.0,0.0
Meridies,1,41.0,47.0,12.0,100.0
Ariel7111,-1,41.0,53.0,6.0,100.0
Edgaralex,1,14.0,71.0,14.0,21.0
gaviano,-1,35.0,65.0,0.0,100.0
DasSaw,-1,50.0,40.0,10.0,100.0
NowISeeItToo,-1,44.0,56.0,0.0,100.0
AImanfreepalestaine,-1,26.0,73.0,0.0,15.0
OMARD4C6,-1,56.0,40.0,4.0,100.0
ChessWarrior8,-1,25.0,75.0,0.0,12.0
kouoibertrand,1,50.0,41.0,9.0,100.0
jickemohansson,1,44.0,56.0,0.0,100.0
jkiipli,-1,48.0,49.0,3.0,100.0
tsmokk,1,50.0,35.0,14.0,42.0
A82408521,1,51.0,40.0,9.0,100.0
HaleySpades,-1,50.0,50.0,0.0,12.0
GamerAziz20,-1,0.0,0.0,0.0,0.0
MathLoveBass,-1,27.0,72.0,0.0,66.0
Bundaska,-1,48.0,47.0,5.0,100.0
kilung,1,44.0,47.0,9.0,100.0
orhan2534,1,60.0,40.0,0.0,45.0
Brainysoul,-1,0.0,0.0,0.0,0.0
Alphadream,1,0.0,0.0,0.0,0.0
JBakker,-1,0.0,0.0,0.0,0.0
esa97,-1,53.0,46.0,1.0,100.0
bassemyassen_2023,-1,72.0,22.0,5.0,54.0
kbrk,1,46.0,50.0,3.0,84.0
Mrkingyuvraj,1,37.0,57.0,5.0,100.0
