user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
bahadircevikel,-1,48.0,46.0,6.0,100.0
MYMChessAnay,-1,67.0,28.0,5.0,100.0
xShadowkittyy,-1,45.0,52.0,3.0,100.0
adrianserene,-1,47.0,45.0,8.0,100.0
casto,-1,0.0,0.0,0.0,0.0
Milko007,1,51.0,47.0,2.0,100.0
vinchess19,1,0.0,0.0,0.0,0.0
BS8,-1,0.0,0.0,0.0,0.0
gduran001,1,0.0,0.0,0.0,0.0
Belaisa12,-1,41.0,55.0,4.0,100.0
YassirSabiri,1,42.0,56.0,2.0,100.0
mildwinter,-1,56.0,37.0,7.0,100.0
celyu,-1,40.0,50.0,10.0,100.0
jpainousm,-1,50.0,50.0,0.0,18.0
GoatLover23,-1,54.0,46.0,0.0,100.0
DasIstWalter,-1,42.0,42.0,14.0,21.0
anislailal,-1,50.0,48.0,2.0,100.0
BadgerKing,-1,47.0,51.0,2.0,100.0
Roberta_P89,-1,22.0,77.0,0.0,54.0
lefort74,1,39.0,49.0,12.0,100.0
munindra,-1,46.0,48.0,6.0,100.0
veggiemiller,-1,51.0,46.0,3.0,100.0
BricoShopping,1,0.0,0.0,0.0,0.0
Spartak5555,-1,41.0,57.0,1.0,100.0
adzkiya,-1,50.0,50.0,0.0,100.0
Vladimir6911,1,51.0,45.0,4.0,100.0
ottoxott,1,35.0,56.0,8.0,100.0
julioc931,-1,56.0,42.0,1.0,100.0
einBierbesserzwei,-1,49.0,47.0,4.0,100.0
IKV2000,1,0.0,0.0,0.0,0.0
BWV846-869,1,0.0,0.0,0.0,0.0
Artur12356,1,0.0,0.0,0.0,0.0
Minatelli,1,47.0,48.0,5.0,100.0
CheerUp19,-1,56.0,42.0,2.0,100.0
Eva2017Eva,1,0.0,100.0,0.0,3.0
El2kVictor,-1,53.0,39.0,8.0,100.0
bkalqenaei,1,46.0,52.0,2.0,100.0
Fischky,-1,45.0,47.0,8.0,100.0
zamussi,1,43.0,51.0,6.0,100.0
Nandankumarsharma,-1,36.0,63.0,0.0,11.0
Usup_Scc,-1,56.0,39.0,5.0,100.0
kqbnrp,-1,56.0,43.0,1.0,100.0
jofrey2024,-1,55.0,35.0,10.0,100.0
JrAbuanIII,-1,56.0,43.0,1.0,100.0
Ryanhart93,-1,38.0,60.0,2.0,100.0
arvey,-1,47.0,48.0,5.0,100.0
PabloFrancavilla,1,46.0,47.0,7.0,100.0
Noe6374993,-1,0.0,0.0,0.0,0.0
amrdonya,0,0.0,0.0,0.0,0.0
SaschaP,0,32.0,62.0,6.0,100.0
Tramin,-1,0.0,0.0,0.0,0.0
Qlimax,0,53.0,41.0,6.0,100.0
Eyangsuro,-1,44.0,52.0,4.0,100.0
papillon1,-1,0.0,0.0,0.0,0.0
ShockDan,-1,54.0,46.0,0.0,100.0
e_BOLT,1,0.0,0.0,0.0,0.0
Juan230216,1,52.0,45.0,3.0,100.0
anikendra,1,0.0,0.0,0.0,0.0
YavuzT77,-1,45.0,51.0,4.0,100.0
Dmitrii68,1,0.0,0.0,0.0,0.0
sudeshdevlekar,-1,43.0,54.0,3.0,100.0
Luke2005,-1,44.0,53.0,3.0,100.0
IlnurIsm,-1,0.0,0.0,0.0,0.0
Amishadai,1,19.0,78.0,3.0,100.0
BU70-VG,-1,0.0,0.0,0.0,0.0
wtchyamouf,-1,53.0,44.0,3.0,100.0
DrunkPolo,1,65.0,31.0,4.0,100.0
sam_mwaura,-1,54.0,44.0,2.0,100.0
Shrief1Shata,-1,48.0,48.0,4.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Sdavaisa,-1,48.0,48.0,4.0,100.0
dlabtot,1,43.0,52.0,5.0,100.0
RockinHard5,-1,0.0,0.0,0.0,0.0
Usmanhalim,-1,55.0,44.0,0.0,27.0
undoneduly,-1,39.0,59.0,2.0,100.0
satatardy,-1,0.0,0.0,0.0,0.0
koala122,1,43.0,50.0,7.0,100.0
AliGebik,1,41.0,54.0,5.0,100.0
GreenGhost,-1,54.0,43.0,3.0,100.0
islem_8,-1,59.0,37.0,4.0,100.0
jandelvo,-1,53.0,44.0,3.0,100.0
Rightao,1,52.0,38.0,10.0,100.0
egorovli,1,49.0,51.0,0.0,100.0
longimayorga,-1,49.0,50.0,1.0,100.0
Samarth200,1,50.0,33.0,17.0,100.0
Gnospo,-1,100.0,0.0,0.0,9.0
chechoooooooo,-1,33.0,66.0,0.0,9.0
erten8,0,54.0,40.0,6.0,100.0
tammam1111,1,47.0,49.0,4.0,100.0
hid77,1,60.0,39.0,1.0,100.0
Anston0011,-1,44.0,56.0,0.0,100.0
oguzcakaloz,-1,41.0,56.0,3.0,100.0
sadovene,1,48.0,43.0,9.0,100.0
Spectatee,-1,0.0,0.0,0.0,0.0
ciocolat,1,45.0,47.0,8.0,100.0
aleks0722,1,53.0,46.0,1.0,100.0
RonaldNoynay,-1,43.0,56.0,1.0,100.0
ppa63,-1,45.0,51.0,4.0,100.0
teofrezcotablas,1,46.0,43.0,11.0,100.0
Avrelii_August,-1,48.0,47.0,5.0,100.0
Proton_2,-1,63.0,34.0,3.0,100.0
yapenguin,-1,48.0,48.0,4.0,100.0
melamet,1,43.0,55.0,2.0,100.0
victordconqueror,-1,0.0,0.0,0.0,0.0
jose_61,-1,50.0,49.0,1.0,100.0
DSeveryukhin78,1,0.0,0.0,0.0,0.0
milanesaconpapas12,-1,0.0,0.0,0.0,0.0
lebedevav,-1,52.0,41.0,7.0,100.0
MrLegilimens,1,45.0,40.0,15.0,100.0
Manox87,1,54.0,43.0,3.0,100.0
Very_Big_Peter,0,46.0,54.0,0.0,100.0
valette,1,46.0,50.0,4.0,100.0
StewY0013,-1,53.0,42.0,5.0,100.0
Chesscal,1,0.0,0.0,0.0,0.0
Scooopy,-1,40.0,60.0,0.0,15.0
DayvanCowboy,-1,39.0,55.0,6.0,100.0
G-MEC,-1,52.0,43.0,5.0,100.0
jaimeonofrelopez,1,0.0,0.0,0.0,0.0
Imperadorrr,1,39.0,56.0,5.0,100.0
DNami,-1,47.0,46.0,7.0,100.0
renatosantiago,1,46.0,49.0,5.0,100.0
gandjubas1234,-1,48.0,44.0,8.0,100.0
blairy,-1,50.0,50.0,0.0,12.0
RUS64RUS,1,41.0,55.0,4.0,100.0
Artem_FirsaceX,1,56.0,40.0,4.0,100.0
MostafaOsho,-1,51.0,46.0,3.0,100.0
hopeidontgetbanned,-1,37.0,59.0,4.0,100.0
DUKGAMER56,-1,29.0,66.0,4.0,72.0
RzH966,1,0.0,0.0,0.0,0.0
Kamskams1912,1,39.0,56.0,4.0,100.0
pmaximich,-1,0.0,0.0,0.0,0.0
White-Pawn,-1,45.0,53.0,2.0,100.0
