user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
ajitjoshi,0.0,0.0,0.0,0.0
Cnzay,0.0,9.0,1.0,12.0
hadsox,0.0,7.0,0.0,9.0
,0.0,0.0,0.0,0.0
Ashishsankhla,0.0,12.0,1.0,15.0
B_Michael,0.0,14.0,1.0,9.0
manpafa,1.0,10.0,0.0,10.0
Maclavellus,3.0,3.0,0.0,2.0
abdi1977,0.0,10.0,2.0,14.0
tipa2,0.0,11.0,5.0,10.0
omarkich,1.0,10.0,0.0,8.0
anabelen-abr,0.0,13.0,2.0,10.0
jmtb,1.0,14.0,0.0,15.0
RemyGonzales12,0.0,8.0,3.0,8.0
HektorVla,1.0,7.0,0.0,7.0
mfdp,3.0,10.0,0.0,7.0
UcengBalap,0.0,12.0,2.0,15.0
dominic_decocko,0.0,8.0,2.0,3.0
lijo3408,0.0,12.0,4.0,14.0
ElDonBasti,2.0,10.0,0.0,10.0
keres20188,0.0,11.0,2.0,23.0
Gagoutozor,0.0,9.0,3.0,10.0
Nasserahmed,0.0,9.0,2.0,8.0
VKUTS,0.0,10.0,1.0,15.0
berkancaliskan,0.0,12.0,3.0,14.0
Obehi_Harry,0.0,12.0,3.0,11.0
reza_m110,0.0,12.0,3.0,11.0
Orangutandave,0.0,18.0,1.0,10.0
JOALTOCO,0.0,5.0,7.0,7.0
KHONDOWE,0.0,8.0,5.0,9.0
HernanC,2.0,13.0,0.0,11.0
Strength5gorsk,0.0,9.0,2.0,9.0
general490,0.0,7.0,0.0,6.0
KnightDescry,1.0,1.0,0.0,7.0
AlikLuka1,1.0,8.0,0.0,34.0
bannedforbeingacreep,0.0,9.0,1.0,7.0
Wassermann42,3.0,8.0,0.0,9.0
MilovanL,2.0,4.0,0.0,6.0
knightraider23,0.0,12.0,2.0,17.0
danilotemuco,0.0,9.0,3.0,8.0
MicaUbica,0.0,13.0,3.0,13.0
Thawp,0.0,10.0,5.0,13.0
Arrey_Etta,0.0,10.0,0.0,9.0
Danny_ro,0.0,4.0,1.0,8.0
orangebite,1.0,8.0,0.0,8.0
Wilson420,1.0,14.0,0.0,14.0
MICTLAX,1.0,7.0,0.0,7.0
Rino4,0.0,20.0,2.0,13.0
Yogijazz,0.0,2.0,1.0,4.0
mikhail086,0.0,15.0,0.0,16.0
ryogrande,0.0,11.0,2.0,11.0
Tronic2000,0.0,10.0,1.0,7.0
Humulus,3.0,16.0,0.0,12.0
,0.0,0.0,0.0,0.0
sarmizegetusa,1.0,12.0,0.0,6.0
falerito,0.0,22.0,8.0,12.0
atelierjcqc,2.0,2.0,0.0,1.0
lelalom,0.0,2.0,1.0,14.0
Playerchess37,0.0,6.0,3.0,8.0
SkifChannel,0.0,4.0,9.0,9.0
Nixon18,1.0,9.0,0.0,4.0
Chessnoob3106,0.0,0.0,0.0,1.0
anasac,0.0,7.0,1.0,4.0
PgRcliOkbXstY,2.0,7.0,0.0,6.0
Volgin77,0.0,14.0,1.0,16.0
Josche_Bodensee,1.0,6.0,0.0,13.0
Asabiyaa,3.0,16.0,0.0,7.0
kostuxa,2.0,12.0,0.0,21.0
WillGotPower,1.0,17.0,0.0,15.0
AdiFathanQ,0.0,13.0,2.0,7.0
JoeBigBlunder,0.0,0.0,2.0,2.0
