user_id,win_rate,lose_rate,draw_rate,game_count
ILYA1967,0.0,0.0,0.0,0.0
brile50,45.0,49.0,6.0,100.0
Pepep_BAJA,42.0,54.0,4.0,100.0
Shatil24,59.0,38.0,3.0,100.0
elgione,53.0,46.0,0.0,96.0
king_riju,56.0,42.0,2.0,100.0
devanand007,51.0,49.0,0.0,100.0
dkasamy,49.0,46.0,5.0,100.0
Gerardo201,49.0,49.0,2.0,100.0
IlyaHunter1313,48.0,50.0,2.0,100.0
YAHIA_NABIL,0.0,0.0,0.0,0.0
aidandeno,0.0,0.0,0.0,0.0
IvanKuznec96,56.0,35.0,9.0,100.0
jechacon,55.0,42.0,3.0,100.0
orif2007,35.0,65.0,0.0,100.0
SaoJbG,55.0,33.0,11.0,27.0
strike2024,53.0,40.0,6.0,45.0
Dream_world35,48.0,48.0,4.0,75.0
Floriannicoo,0.0,0.0,0.0,0.0
Redknight99,43.0,51.0,6.0,100.0
MauRopivi,51.0,43.0,4.0,64.0
jimmy20141126,60.0,31.0,9.0,100.0
terminator58,0.0,0.0,0.0,0.0
Krish46,46.0,50.0,3.0,78.0
Ahan2017,0.0,0.0,0.0,0.0
Mark-A2014,45.0,50.0,5.0,60.0
rustsa,0.0,0.0,0.0,0.0
furudoerika1984,0.0,0.0,0.0,0.0
GrandGS,31.0,63.0,5.0,57.0
A_Gindinson,52.0,42.0,6.0,100.0
Marti0078,0.0,0.0,0.0,0.0
T1Brt,41.0,51.0,8.0,100.0
Nalayak96,61.0,38.0,0.0,39.0
Varvara8,51.0,42.0,7.0,100.0
chess95-22,65.0,25.0,10.0,100.0
fquel,0.0,0.0,0.0,0.0
parakleto,0.0,100.0,0.0,3.0
Charlotte_Katakurii,59.0,40.0,1.0,100.0
svatoslav2289,0.0,0.0,0.0,0.0
Yauhnhan,47.0,49.0,4.0,100.0
tozedemo,59.0,40.0,0.0,22.0
Tchematheus,44.0,52.0,4.0,100.0
DanielCadena,0.0,0.0,0.0,0.0
Denisa_majalengka,0.0,0.0,0.0,0.0
beth_thrasher,48.0,50.0,2.0,100.0
RGmember,47.0,47.0,6.0,100.0
guticl,45.0,52.0,3.0,100.0
Mankalasto,55.0,44.0,1.0,100.0
Akun_Ngeriii,50.0,41.0,9.0,100.0
DerNiels,46.0,53.0,1.0,100.0
SidVo,48.0,44.0,8.0,100.0
Arct1k,47.0,48.0,5.0,100.0
Adson04,53.0,46.0,0.0,39.0
laith101010,45.0,50.0,5.0,100.0
adakhin,0.0,0.0,0.0,0.0
JordiCM,62.0,35.0,3.0,100.0
arzikulov17,28.0,68.0,3.0,100.0
Swaggymax,59.0,40.0,1.0,100.0
AMgr78,0.0,100.0,0.0,3.0
Mleong2,51.0,48.0,1.0,100.0
XLittleX,48.0,49.0,3.0,100.0
carlrr,100.0,0.0,0.0,6.0
seziomsk,51.0,49.0,0.0,100.0
Azamaka1976,48.0,50.0,2.0,100.0
Oleg_1975,0.0,0.0,0.0,0.0
kbljnv1,51.0,44.0,4.0,45.0
Evgenievich50,40.0,56.0,3.0,100.0
hamayasin0,43.0,51.0,6.0,100.0
SwimmingAnxiety,55.0,44.0,1.0,100.0
StockfishStufe9,0.0,100.0,0.0,3.0
joyo50118,0.0,0.0,0.0,0.0
Aman_Sai30,42.0,53.0,5.0,100.0
timurfms,40.0,60.0,0.0,15.0
mukhtar4hussain1,53.0,46.0,1.0,100.0
ozsalamert,0.0,100.0,0.0,3.0
timbalkan,48.0,47.0,5.0,100.0
Mortyshlyuska,43.0,53.0,4.0,100.0
patrikol,50.0,42.0,8.0,100.0
MERCEDES131,32.0,62.0,6.0,100.0
littlemac40,53.0,37.0,9.0,96.0
Ackander,46.0,50.0,4.0,100.0
BEEZEMAN1,53.0,42.0,5.0,100.0
imldv1,55.0,43.0,2.0,100.0
lilstunn,52.0,44.0,4.0,100.0
Team_Pogo,0.0,100.0,0.0,3.0
joooeel,47.0,48.0,5.0,100.0
yellow2591,49.0,49.0,2.0,100.0
sumitgupta121,53.0,46.0,0.0,39.0
chozah,42.0,56.0,1.0,100.0
sevcnik,43.0,49.0,8.0,100.0
The_accountant007,40.0,50.0,10.0,60.0
Mahraaan,48.0,51.0,1.0,100.0
narovtahc,56.0,40.0,4.0,100.0
Uncleofdrag0ns,0.0,0.0,0.0,0.0
fwuj,53.0,44.0,3.0,100.0
Singa_RS,34.0,64.0,2.0,100.0
Syversen96,75.0,25.0,0.0,12.0
Qray212,42.0,48.0,10.0,100.0
gianfry2003,38.0,59.0,3.0,100.0
Lichti,47.0,42.0,11.0,100.0
marcoantonio2011,55.0,42.0,3.0,100.0
