user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_op,game_result,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
rezababaee1320,1624.0,62.0,37.0,0.0,24.0,44.680851063829785,55.319148936170215,0.0,47.0,77.61,taco3,1,150.49,0.0,0.0,0.0,0.0
mohnedzainsudan,1602.0,54.0,45.0,1.0,100.0,42.0,56.00000000000001,2.0,50.0,45.01,ChessMessExpress,1,45.09,44.0,50.0,6.0,100.0
Je_heru,1517.0,47.0,47.0,6.0,100.0,49.01960784313725,49.01960784313725,1.96078431372549,51.0,45.0,Flefel,1,45.05,49.0,49.0,2.0,100.0
FritzCucu,1424.0,25.0,75.0,0.0,12.0,53.70370370370371,44.44444444444444,1.851851851851852,54.0,53.63,romanoc64,-1,116.54,0.0,0.0,0.0,0.0
ArniZappa,1565.0,45.0,52.0,3.0,100.0,54.71698113207547,43.39622641509434,1.8867924528301887,53.0,45.0,ClubUTDFT-Mateo1907,1,51.89,46.0,47.0,7.0,100.0
Zahid4you,1382.0,30.0,65.0,4.0,23.0,16.666666666666664,75.0,8.333333333333332,12.0,78.81,hiccupsnow,-1,45.11,49.0,51.0,0.0,100.0
mafekry,1594.0,51.0,47.0,2.0,100.0,52.0,46.0,2.0,50.0,45.49,Nelgraf,0,45.03,47.0,49.0,4.0,100.0
saqib980,1453.0,50.0,46.0,3.0,90.0,40.38461538461539,55.76923076923077,3.8461538461538463,52.0,49.1,Lewicki_Dawid,-1,74.96,25.0,75.0,0.0,48.0
Filoanalitico,1507.0,43.0,53.0,4.0,100.0,50.0,48.0,2.0,50.0,45.02,Uguralpay,1,45.25,40.0,52.0,8.0,100.0
hokasem,1540.0,44.0,52.0,4.0,100.0,45.09803921568628,50.98039215686274,3.92156862745098,51.0,45.07,istok9999,-1,45.03,48.0,44.0,8.0,100.0
eddi1996,1579.0,52.0,39.0,9.0,100.0,38.46153846153847,48.07692307692308,13.461538461538462,52.0,45.0,Pavel197322,1,45.03,41.0,54.0,5.0,100.0
Markgamer015,1809.0,61.0,37.0,2.0,100.0,57.407407407407405,35.18518518518518,7.4074074074074066,54.0,71.12,perevortish,-1,51.17,45.0,50.0,5.0,100.0
Franklin719,1588.0,48.0,50.0,2.0,100.0,50.0,48.07692307692308,1.9230769230769231,52.0,45.58,vikoe,-1,45.26,42.0,52.0,6.0,100.0
shawnjoy0010,1800.0,61.0,38.0,0.0,54.0,64.0,30.0,6.0,50.0,57.36,dizual,1,45.37,56.0,35.0,8.0,100.0
OGanso,1573.0,51.0,46.0,3.0,100.0,60.78431372549019,39.21568627450981,0.0,51.0,45.03,Abdallah666,1,45.05,48.0,49.0,3.0,100.0
HaykHov1994,1627.0,48.0,51.0,1.0,100.0,55.10204081632652,44.89795918367347,0.0,49.0,45.19,MxSon61,1,45.0,43.0,55.0,2.0,100.0
TeddyBall,1650.0,62.0,37.0,0.0,24.0,57.14285714285714,40.0,2.857142857142857,35.0,108.99,yevgeniy11,-1,113.2,0.0,0.0,0.0,0.0
elsen585,1783.0,50.0,49.0,1.0,100.0,51.92307692307693,48.07692307692308,0.0,52.0,45.19,johnfurneaux,-1,45.09,50.0,46.0,4.0,100.0
guidozli,1584.0,47.0,49.0,4.0,100.0,41.17647058823529,54.90196078431373,3.92156862745098,51.0,45.08,Bi16683,1,45.04,38.0,59.0,3.0,100.0
Czaki78,1582.0,43.0,56.0,1.0,100.0,41.17647058823529,56.86274509803921,1.96078431372549,51.0,45.02,OlyhSturmovik,1,45.04,55.0,40.0,5.0,100.0
Weizenic,1317.0,53.0,46.0,1.0,100.0,50.0,47.91666666666667,2.083333333333333,48.0,45.0,Fresero,-1,45.05,47.0,52.0,1.0,100.0
Hellaseseme,1458.0,53.0,41.0,6.0,100.0,46.0,48.0,6.0,50.0,45.08,bantl23,1,45.0,50.0,46.0,4.0,100.0
Mahan9,1615.0,45.0,49.0,6.0,100.0,33.33333333333333,60.41666666666666,6.25,48.0,45.0,TA7LOOP3,1,134.3,40.0,60.0,0.0,15.0
Rehim_Balashov,1591.0,54.0,41.0,5.0,100.0,56.25,37.5,6.25,48.0,62.49,Kaffeekenan,-1,45.07,41.0,57.0,1.0,100.0
OPUNGJBSatu,1845.0,47.0,50.0,3.0,100.0,59.61538461538461,40.38461538461539,0.0,52.0,45.81,Dony12345,-1,500.0,0.0,0.0,0.0,0.0
goga88,1730.0,36.0,60.0,4.0,75.0,54.16666666666666,43.75,2.083333333333333,48.0,45.64,flandeluxe,-1,45.3,65.0,34.0,0.0,69.0
Jokosemarang,1752.0,54.0,40.0,6.0,100.0,52.0,44.0,4.0,50.0,45.1,Drixam,-1,45.04,55.0,43.0,2.0,100.0
Desotos,1500.0,62.0,37.0,0.0,8.0,66.66666666666666,33.33333333333333,0.0,3.0,121.64,eug70,1,45.07,52.0,45.0,3.0,100.0
Jadlarsen,1707.0,43.0,56.0,1.0,100.0,32.6530612244898,67.3469387755102,0.0,49.0,45.02,,-1,500.0,0.0,0.0,0.0,0.0
Solaris2,1316.0,37.0,57.0,5.0,100.0,33.33333333333333,58.82352941176471,7.84313725490196,51.0,45.02,PavelP59,1,45.03,47.0,47.0,6.0,100.0
zucazzu,1588.0,56.0,39.0,5.0,100.0,48.97959183673469,48.97959183673469,2.0408163265306123,49.0,45.01,Firefly164,-1,45.22,49.0,47.0,4.0,100.0
NIK_36,1589.0,46.0,47.0,7.0,100.0,42.0,54.0,4.0,50.0,45.31,TS928,1,45.06,55.0,43.0,2.0,100.0
adformtheory,1460.0,51.0,48.0,1.0,100.0,50.0,48.07692307692308,1.9230769230769231,52.0,45.0,laureano_galindez,-1,45.0,57.0,37.0,5.0,100.0
alpmanbikolb,1585.0,48.0,49.0,3.0,100.0,44.230769230769226,53.84615384615385,1.9230769230769231,52.0,45.0,bucnadbuce,1,45.04,46.0,51.0,3.0,100.0
DarkWARvs,1493.0,51.0,45.0,4.0,100.0,48.14814814814815,44.44444444444444,7.4074074074074066,54.0,45.05,stormkrazo,1,45.05,42.0,54.0,4.0,100.0
ALEX2031,1604.0,46.0,51.0,3.0,100.0,44.0,52.0,4.0,50.0,45.08,bsaiganesh,-1,45.06,45.0,49.0,6.0,100.0
AJEDREZ_CHIVERT,1534.0,25.0,75.0,0.0,12.0,48.0,46.0,6.0,50.0,67.06,Diwibo61,1,52.95,0.0,0.0,0.0,0.0
Marcel_C,1590.0,47.0,46.0,7.0,100.0,46.0,46.0,8.0,50.0,45.09,mendez02,-1,45.02,40.0,54.0,6.0,100.0
jclahitte,1547.0,44.0,52.0,4.0,100.0,50.0,46.0,4.0,50.0,45.02,damaplayer,1,45.01,43.0,53.0,4.0,100.0
pashunea2508,1616.0,62.0,33.0,5.0,100.0,60.71428571428571,39.285714285714285,0.0,28.0,48.32,Sellospipe,-1,45.01,45.0,49.0,6.0,100.0
rotflol99,1503.0,38.0,59.0,3.0,100.0,49.09090909090909,45.45454545454545,5.454545454545454,55.0,45.03,joseborges13,-1,45.05,53.0,45.0,2.0,100.0
Fabianrms,1698.0,41.0,58.0,0.0,36.0,53.06122448979592,46.93877551020408,0.0,49.0,74.69,JnSebastian,1,45.0,49.0,49.0,2.0,100.0
Stobewu,1562.0,43.0,55.0,2.0,100.0,44.0,54.0,2.0,50.0,45.05,lusira,-1,45.0,45.0,51.0,4.0,100.0
F_V,1439.0,42.0,51.0,7.0,100.0,40.0,54.0,6.0,50.0,45.03,Evgen_007_888,1,45.95,53.0,39.0,8.0,100.0
HamasTribe,1492.0,55.0,33.0,11.0,9.0,33.33333333333333,33.33333333333333,33.33333333333333,3.0,123.66,abacaxi360,-1,45.44,51.0,46.0,3.0,100.0
Helio-colfran,1610.0,56.0,40.0,4.0,100.0,57.99999999999999,34.0,8.0,50.0,45.01,jediknight1975,1,45.03,49.0,48.0,3.0,100.0
GosmanAli,1675.0,53.0,45.0,2.0,100.0,52.0,44.0,4.0,50.0,45.05,heziladel,-1,45.0,49.0,49.0,2.0,100.0
leonry,1562.0,46.0,52.0,2.0,100.0,40.81632653061224,55.10204081632652,4.081632653061225,49.0,45.58,kubusFatalista,-1,45.39,50.0,45.0,5.0,100.0
Xtranu,1377.0,42.0,55.0,3.0,100.0,44.0,54.0,2.0,50.0,45.03,primhavera,1,45.01,48.0,47.0,5.0,100.0
Aishichem,1554.0,41.0,59.0,0.0,100.0,44.0,56.00000000000001,0.0,50.0,45.08,Seppuku-TSV,-1,45.04,53.0,42.0,5.0,100.0
ImbrigliaF,1328.0,47.0,49.0,4.0,100.0,40.0,54.0,6.0,50.0,45.05,ghouMari,1,45.22,52.0,46.0,2.0,100.0
Ace_Indo,2060.0,52.0,42.0,6.0,100.0,54.0,42.0,4.0,50.0,45.07,aklaus1287,-1,47.06,45.0,54.0,0.0,33.0
zivat,1547.0,55.0,39.0,6.0,100.0,44.89795918367347,46.93877551020408,8.16326530612245,49.0,45.04,viktorgreick,1,45.1,52.0,44.0,4.0,100.0
Einstein130,1695.0,52.0,44.0,4.0,100.0,54.16666666666666,43.75,2.083333333333333,48.0,45.02,Claudio_Olmos,1,45.1,54.0,41.0,5.0,100.0
Pedritoeldrito17,1501.0,45.0,48.0,7.0,100.0,42.0,50.0,8.0,50.0,45.03,kazakh21,-1,45.29,46.0,52.0,2.0,100.0
isbasaran,1693.0,41.0,51.0,8.0,100.0,39.21568627450981,49.01960784313725,11.76470588235294,51.0,45.08,LearnFromRussian,-1,45.0,46.0,51.0,3.0,100.0
Leeroymarume,1474.0,29.0,70.0,0.0,51.0,27.77777777777778,69.44444444444444,2.7777777777777777,36.0,77.98,Armatura058,-1,332.4,0.0,0.0,0.0,0.0
kratos42,1592.0,54.0,46.0,0.0,100.0,54.90196078431373,45.09803921568628,0.0,51.0,45.59,huguillo81,1,47.15,50.0,46.0,4.0,100.0
NACC_1605,1338.0,44.0,52.0,4.0,100.0,37.25490196078432,56.86274509803921,5.88235294117647,51.0,45.78,sanjaypatil,1,45.17,46.0,53.0,1.0,100.0
Fredsch,1591.0,48.0,43.0,9.0,100.0,48.0,42.0,10.0,50.0,45.04,manvydu,-1,45.26,42.0,53.0,5.0,100.0
RelloPeco,1580.0,51.0,39.0,10.0,100.0,57.14285714285714,36.734693877551024,6.122448979591836,49.0,45.08,paaprika,0,87.98,50.0,47.0,3.0,100.0
schiumatto,1506.0,57.0,41.0,1.0,100.0,54.0,44.0,2.0,50.0,45.0,Marcelopb68,1,45.05,56.0,41.0,2.0,100.0
drhausner,1541.0,44.0,46.0,10.0,100.0,38.0,50.0,12.0,50.0,45.01,vovve,1,45.0,62.0,37.0,1.0,100.0
eliboston,1500.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,500.0,VasilyBronskiy,-1,45.03,45.0,53.0,2.0,100.0
sammybeliz,1623.0,46.0,49.0,5.0,100.0,38.775510204081634,57.14285714285714,4.081632653061225,49.0,45.02,Varilux,1,45.12,38.0,56.0,6.0,100.0
soalove,1170.0,30.0,69.0,0.0,78.0,39.21568627450981,58.82352941176471,1.96078431372549,51.0,45.94,omAliaje,-1,55.5,30.0,65.0,5.0,100.0
Mafalda_1808,1651.0,38.0,61.0,0.0,18.0,57.14285714285714,42.85714285714285,0.0,7.0,107.33,Hossein_a-1402,1,82.05,0.0,0.0,0.0,0.0
Ggradisa,1540.0,48.0,46.0,6.0,100.0,38.0,52.0,10.0,50.0,45.05,gagauzoguz,1,45.87,49.0,51.0,0.0,100.0
Shapisftw,1614.0,50.0,46.0,4.0,100.0,46.93877551020408,46.93877551020408,6.122448979591836,49.0,45.28,beerpaulo,-1,45.08,50.0,48.0,2.0,100.0
alphamike_64,1815.0,33.0,66.0,0.0,9.0,50.98039215686274,43.13725490196079,5.88235294117647,51.0,85.06,via-003,-1,500.0,0.0,0.0,0.0,0.0
budi_ccn,1798.0,0.0,100.0,0.0,3.0,51.92307692307693,46.15384615384615,1.9230769230769231,52.0,83.65,Grinchypants,1,116.78,50.0,50.0,0.0,6.0
danilafz,1726.0,49.0,51.0,0.0,100.0,44.89795918367347,53.06122448979592,2.0408163265306123,49.0,45.04,WildBeast_2003,-1,64.44,56.0,37.0,6.0,96.0
Mortaza61,1452.0,55.0,41.0,4.0,100.0,44.0,44.0,12.0,50.0,45.03,LeonidMonstr,1,47.17,54.0,46.0,0.0,100.0
hrsgodfather,1574.0,47.0,46.0,7.0,100.0,36.0,54.0,10.0,50.0,45.09,JO53,1,45.37,47.0,50.0,3.0,100.0
goldshep,1605.0,45.0,52.0,3.0,100.0,40.81632653061224,59.18367346938776,0.0,49.0,45.14,Fedan2024,1,500.0,0.0,0.0,0.0,0.0
fiqche55,1749.0,40.0,54.0,6.0,100.0,41.17647058823529,49.01960784313725,9.803921568627452,51.0,45.24,T3GO,-1,45.0,46.0,48.0,6.0,100.0
Gutoh-7,1604.0,42.0,52.0,6.0,100.0,48.97959183673469,46.93877551020408,4.081632653061225,49.0,45.15,Kukuruzawiu,-1,45.4,48.0,45.0,7.0,100.0
mknyc,1538.0,33.0,63.0,4.0,100.0,32.0,66.0,2.0,50.0,47.03,Anna_M25,-1,45.2,55.0,44.0,1.0,100.0
Jaegermeister1,1589.0,43.0,53.0,4.0,100.0,36.53846153846153,57.692307692307686,5.769230769230769,52.0,45.03,rpaddle,-1,45.03,55.0,43.0,2.0,100.0
FibQuant,1583.0,56.0,41.0,3.0,100.0,54.0,44.0,2.0,50.0,45.23,sebastian53,-1,45.0,57.0,37.0,5.0,100.0
jesusmgonzalez1982,1241.0,34.0,63.0,3.0,100.0,31.91489361702128,68.08510638297872,0.0,47.0,45.11,ryanls,-1,45.12,49.0,47.0,4.0,100.0
huispei,1495.0,42.0,49.0,9.0,100.0,42.85714285714285,44.89795918367347,12.244897959183673,49.0,45.29,gz65,-1,45.03,47.0,53.0,0.0,100.0
vladimir_5,1567.0,37.0,56.0,6.0,48.0,48.97959183673469,48.97959183673469,2.0408163265306123,49.0,45.02,tobbeandersson,-1,45.03,50.0,47.0,3.0,100.0
mylesfrmbklyn,1624.0,56.0,39.0,4.0,100.0,54.90196078431373,43.13725490196079,1.96078431372549,51.0,45.01,Nizar81,-1,45.12,47.0,49.0,4.0,100.0
raleighhart,1909.0,48.0,50.0,2.0,100.0,50.98039215686274,45.09803921568628,3.92156862745098,51.0,45.01,suhartaDe1,1,51.36,26.0,66.0,8.0,100.0
SergStone,1578.0,47.0,53.0,0.0,100.0,42.0,57.99999999999999,0.0,50.0,45.09,Siba_inu,-1,45.32,46.0,41.0,13.0,100.0
Kazem1967,1509.0,40.0,60.0,0.0,5.0,33.33333333333333,66.66666666666666,0.0,3.0,154.94,lexspec,1,290.82,0.0,0.0,0.0,0.0
Harlow0,1477.0,43.0,53.0,3.0,96.0,56.00000000000001,34.0,10.0,50.0,46.35,Hemedra28,-1,59.06,47.0,52.0,1.0,100.0
Giquitaia,1675.0,37.0,56.0,6.0,100.0,42.5925925925926,53.70370370370371,3.7037037037037033,54.0,48.47,Schtunk,-1,45.17,49.0,47.0,4.0,100.0
Leki10,1522.0,51.0,43.0,6.0,100.0,48.0,44.0,8.0,50.0,45.28,rocky_bhai,1,45.24,46.0,51.0,3.0,100.0
bula101221,1551.0,50.0,50.0,0.0,12.0,56.81818181818182,38.63636363636363,4.545454545454546,44.0,64.68,jaiverx01,1,274.15,0.0,0.0,0.0,0.0
mielenliikuttelija,1508.0,51.0,48.0,1.0,100.0,54.71698113207547,43.39622641509434,1.8867924528301887,53.0,45.93,zekiavci,1,45.01,47.0,53.0,0.0,100.0
Jaraca,1451.0,52.0,46.0,2.0,100.0,49.01960784313725,50.98039215686274,0.0,51.0,45.0,soni1973,-1,45.13,53.0,42.0,5.0,100.0
