user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
nqiniso,0.0,14.0,2.0,12.0
Stathis_Branikas,0.0,3.0,1.0,3.0
C2ma,3.0,12.0,0.0,17.0
eliseus_1603,0.0,11.0,1.0,18.0
mahlangumhlongo,1.0,5.0,0.0,8.0
Ninja1500,1.0,6.0,0.0,12.0
mohamedssakr,0.0,14.0,1.0,16.0
manu-gt,0.0,13.0,1.0,15.0
notahuman_0601,0.0,0.0,0.0,0.0
karthik_holla,1.0,10.0,0.0,11.0
AxlRo,2.0,19.0,0.0,11.0
Tamesh,0.0,9.0,2.0,10.0
minasfox,6.0,10.0,0.0,10.0
eren_kls07,0.0,8.0,2.0,9.0
HOLLOWBELL,0.0,7.0,1.0,7.0
P5489151287877327827,8.0,10.0,0.0,20.0
kobuniko,0.0,17.0,1.0,16.0
tukijj,0.0,8.0,1.0,9.0
appAlexander,0.0,11.0,1.0,17.0
AngreifervolleKanone,0.0,10.0,2.0,11.0
ezln88,5.0,12.0,0.0,12.0
kidh,1.0,11.0,0.0,8.0
marvel1,0.0,14.0,1.0,14.0
PADAYANI21,3.0,6.0,0.0,2.0
Andrea_F54,1.0,7.0,0.0,5.0
valbuev,0.0,8.0,2.0,8.0
rrgarcia93,1.0,6.0,0.0,7.0
hazemfazzzaa85,0.0,5.0,1.0,6.0
Amablenegrelle,2.0,8.0,0.0,7.0
blasALANGUIA_ESIC,0.0,11.0,1.0,13.0
davidhummel,1.0,12.0,0.0,11.0
ghobad141414,0.0,11.0,1.0,11.0
chapman_green,1.0,7.0,0.0,16.0
Nofacekillah,0.0,8.0,1.0,12.0
Twothree,0.0,11.0,1.0,9.0
arbuziiik,0.0,4.0,1.0,3.0
Elias_23_23,2.0,13.0,0.0,9.0
raffyagarcia,1.0,24.0,0.0,29.0
A_H_ABD,3.0,9.0,0.0,9.0
vsemstroi,0.0,0.0,0.0,0.0
menghini202,3.0,9.0,0.0,14.0
Endgame2780,2.0,2.0,0.0,0.0
DonJevo,0.0,11.0,3.0,10.0
learn98r96,0.0,10.0,1.0,12.0
Dharsan221,1.0,11.0,0.0,11.0
Montalvo3,5.0,8.0,0.0,9.0
All_NiGnT,0.0,4.0,2.0,3.0
Termee,2.0,11.0,0.0,10.0
wearegenoa,0.0,7.0,3.0,7.0
Poomlyglot,0.0,14.0,3.0,25.0
htywx_gnjl,2.0,9.0,0.0,5.0
jerebox262,2.0,11.0,0.0,14.0
adzi_12,0.0,7.0,3.0,6.0
Smelikk,2.0,12.0,0.0,9.0
ismailalsudani,0.0,10.0,12.0,19.0
iranshahi,0.0,10.0,0.0,11.0
mutohard,0.0,9.0,1.0,4.0
Peterdelk,0.0,10.0,1.0,17.0
MrAdarsh,0.0,7.0,1.0,11.0
paxtonmidget,2.0,11.0,0.0,12.0
elque-aprende,1.0,10.0,0.0,14.0
xenieray,3.0,8.0,0.0,11.0
Average505,0.0,4.0,1.0,7.0
yas1376,0.0,12.0,4.0,10.0
g_peron,0.0,10.0,3.0,11.0
ImprovisedOpening,0.0,3.0,5.0,5.0
lemonsgambit,0.0,6.0,1.0,5.0
Sherif_yassin,0.0,9.0,4.0,9.0
manuP73,1.0,6.0,0.0,7.0
khaled_boudina,0.0,10.0,1.0,9.0
sunyatameng,0.0,12.0,2.0,11.0
kayaloram,0.0,14.0,2.0,14.0
Pavel_Ch,2.0,11.0,0.0,14.0
Christos56,0.0,12.0,4.0,13.0
Shikhar_Dhangar,1.0,9.0,0.0,8.0
Rgloreto,5.0,14.0,0.0,11.0
