user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
Alzkun,1025.0,0.0,0.0,0.0,0.0
ohsh8712,1500.0,0.0,0.0,0.0,0.0
pasionxelchess,1838.0,0.0,0.0,0.0,0.0
k_eops,1029.0,0.0,0.0,0.0,0.0
Alejandro_T_2010,1320.0,0.0,0.0,0.0,0.0
Garris51,1451.0,0.0,0.0,0.0,0.0
msb2,2735.0,0.0,0.0,0.0,0.0
chevalierdemalte,829.0,0.0,0.0,0.0,0.0
rhysmadden,1065.0,0.0,0.0,0.0,0.0
shapiemdisa,843.0,0.0,0.0,0.0,0.0
Yugee2007,1500.0,0.0,0.0,0.0,0.0
Zub0103,1193.0,0.0,0.0,0.0,0.0
Kangcfa,2145.0,0.0,0.0,0.0,0.0
ich-selbst,1018.0,0.0,0.0,0.0,0.0
saeedking1,2361.0,0.0,0.0,0.0,0.0
Dany_chess,1343.0,0.0,0.0,0.0,0.0
Prajeet1,1086.0,0.0,0.0,0.0,0.0
Ryuzakira333,1500.0,0.0,0.0,0.0,0.0
Peace_Mover23,1365.0,0.0,0.0,0.0,0.0
HuseyinEsat,860.0,0.0,0.0,0.0,0.0
u_riyaraj,928.0,0.0,0.0,0.0,0.0
Jumasi,1106.0,0.0,0.0,0.0,0.0
tungaa202104,1392.0,0.0,0.0,0.0,0.0
durckm,1500.0,0.0,0.0,0.0,0.0
ledinavelosipede,2707.0,0.0,0.0,0.0,0.0
merciless_ant,2259.0,0.0,0.0,0.0,0.0
Night-King11,1855.0,0.0,0.0,0.0,0.0
DECIMU,2584.0,0.0,0.0,0.0,0.0
M07m4d,1251.0,0.0,0.0,0.0,0.0
serjiokos,1500.0,0.0,0.0,0.0,0.0
FakeMaster141929,2003.0,0.0,0.0,0.0,0.0
gao239,1528.0,0.0,0.0,0.0,0.0
ManoelSinval,862.0,0.0,0.0,0.0,0.0
Krixsus10,1360.0,0.0,0.0,0.0,0.0
omar_abuyounis1994,995.0,0.0,0.0,0.0,0.0
Mind_Gamer66,1382.0,0.0,0.0,0.0,0.0
dayageek,1500.0,0.0,0.0,0.0,0.0
drop_stone,2799.0,0.0,0.0,0.0,0.0
ECHINOCEREUS,1815.0,0.0,0.0,0.0,0.0
khinmaungkyaw,1029.0,0.0,0.0,0.0,0.0
XocasLT,2494.0,0.0,0.0,0.0,0.0
DavidRosenkoetter,931.0,0.0,0.0,0.0,0.0
MartinLorenzini,,0.0,0.0,0.0,0.0
ValeraTula,1795.0,0.0,0.0,0.0,0.0
Shamplex,876.0,0.0,0.0,0.0,0.0
Zaven_ChessMood,2728.0,0.0,0.0,0.0,0.0
IEGAD,1591.0,0.0,0.0,0.0,0.0
Drachenvariante,2130.0,0.0,0.0,0.0,0.0
deepak20002,2292.0,0.0,0.0,0.0,0.0
armangarip,1443.0,0.0,0.0,0.0,0.0
Milky-WayTM,2351.0,0.0,0.0,0.0,0.0
Kikkertje9,2108.0,0.0,0.0,0.0,0.0
bohemond_1,1926.0,0.0,0.0,0.0,0.0
rahimbi,1546.0,0.0,0.0,0.0,0.0
Aswin_Jagz,1402.0,0.0,0.0,0.0,0.0
Bigsneezy,1433.0,0.0,0.0,0.0,0.0
PavelVinogradov,944.0,0.0,0.0,0.0,0.0
TanitoluwaAps116,2789.0,0.0,0.0,0.0,0.0
LUFFFFFFFY,953.0,0.0,0.0,0.0,0.0
davdomin,1500.0,0.0,0.0,0.0,0.0
joseantoniosp,1546.0,0.0,0.0,0.0,0.0
pratapraju,1118.0,0.0,0.0,0.0,0.0
psvkampioenen,1235.0,0.0,0.0,0.0,0.0
sampathj,1519.0,0.0,0.0,0.0,0.0
q49q,1500.0,0.0,0.0,0.0,0.0
kittyblum,1045.0,0.0,0.0,0.0,0.0
rjrahuljain1210,1094.0,0.0,0.0,0.0,0.0
ntpc511,1626.0,0.0,0.0,0.0,0.0
GrafKvonderG,2345.0,0.0,0.0,0.0,0.0
JustARetiredPlayer,2708.0,0.0,0.0,0.0,0.0
gurselynlmz,1391.0,0.0,0.0,0.0,0.0
Dreamweaver96,1542.0,0.0,0.0,0.0,0.0
Edu1979,1060.0,0.0,0.0,0.0,0.0
shrenik_kinu,1688.0,0.0,0.0,0.0,0.0
Ajmcm,1362.0,0.0,0.0,0.0,0.0
sandeep-khatri,1565.0,0.0,0.0,0.0,0.0
hernan271,1467.0,0.0,0.0,0.0,0.0
luckyoscuro,2121.0,0.0,0.0,0.0,0.0
membongak,1500.0,0.0,0.0,0.0,0.0
DawitGN,1500.0,0.0,0.0,0.0,0.0
supercheckmateguy,888.0,0.0,0.0,0.0,0.0
USSR3,2217.0,0.0,0.0,0.0,0.0
rittersport29,2327.0,0.0,0.0,0.0,0.0
roggers1961,1009.0,0.0,0.0,0.0,0.0
Coopdaddyusa,640.0,0.0,0.0,0.0,0.0
sreejithozone,1143.0,0.0,0.0,0.0,0.0
NkNiner,2493.0,0.0,0.0,0.0,0.0
Ichesslife,1877.0,0.0,0.0,0.0,0.0
BVB1908,2816.0,0.0,0.0,0.0,0.0
vbizon,1662.0,0.0,0.0,0.0,0.0
AhmxdKhalxd,1081.0,0.0,0.0,0.0,0.0
Revolt_of_the_noobs,1728.0,0.0,0.0,0.0,0.0
Sasha312,1360.0,0.0,0.0,0.0,0.0
JevaisgagnerCarlos,862.0,0.0,0.0,0.0,0.0
IRunUgly,1500.0,0.0,0.0,0.0,0.0
WernerTimo,2362.0,0.0,0.0,0.0,0.0
acomarkovic,1624.0,0.0,0.0,0.0,0.0
KZangar2020,1500.0,0.0,0.0,0.0,0.0
jamiva606,722.0,0.0,0.0,0.0,0.0
poco1,949.0,0.0,0.0,0.0,0.0
hyde7it,1469.0,0.0,0.0,0.0,0.0
RapidFM,2558.0,0.0,0.0,0.0,0.0
Toilet_Seat_Chess,2351.0,0.0,0.0,0.0,0.0
LuanLuiz,1117.0,0.0,0.0,0.0,0.0
shura-H,2482.0,0.0,0.0,0.0,0.0
klowin23,2358.0,0.0,0.0,0.0,0.0
Empireme,1395.0,0.0,0.0,0.0,0.0
MRtareqFa,2254.0,0.0,0.0,0.0,0.0
gorecki3,,0.0,0.0,0.0,0.0
pourya1387,1330.0,0.0,0.0,0.0,0.0
Nagpriya,1244.0,0.0,0.0,0.0,0.0
JJGoodIdea,2682.0,0.0,0.0,0.0,0.0
iker2013GG,1500.0,0.0,0.0,0.0,0.0
Lone-Wolf,1339.0,0.0,0.0,0.0,0.0
DenizArel62,1500.0,0.0,0.0,0.0,0.0
Newlevel462,2269.0,0.0,0.0,0.0,0.0
suhang1993,1188.0,0.0,0.0,0.0,0.0
HarryHaller1,918.0,0.0,0.0,0.0,0.0
MKaladinStormblessed,1058.0,0.0,0.0,0.0,0.0
Han2122,1500.0,0.0,0.0,0.0,0.0
CiasnaMarietta69,1636.0,0.0,0.0,0.0,0.0
Wtc111,1500.0,0.0,0.0,0.0,0.0
Sfuli,818.0,0.0,0.0,0.0,0.0
peltor,2090.0,0.0,0.0,0.0,0.0
edneicorrea,949.0,0.0,0.0,0.0,0.0
jmartin21,1902.0,0.0,0.0,0.0,0.0
Ophelia074,1601.0,0.0,0.0,0.0,0.0
mandhiri05,1322.0,0.0,0.0,0.0,0.0
unknowniannn,1269.0,0.0,0.0,0.0,0.0
EGOR_400,1678.0,0.0,0.0,0.0,0.0
Isofix,1902.0,0.0,0.0,0.0,0.0
crazycrazycrazycrazy,1168.0,0.0,0.0,0.0,0.0
BavarianLion1974,815.0,0.0,0.0,0.0,0.0
CenationTaker,,0.0,0.0,0.0,0.0
Jamacuco2024,1461.0,0.0,0.0,0.0,0.0
fitz321,1500.0,0.0,0.0,0.0,0.0
toivok3,2749.0,0.0,0.0,0.0,0.0
raj8262,1000.0,0.0,0.0,0.0,0.0
JoeyLIM2015,1093.0,0.0,0.0,0.0,0.0
KarlOz_AlexandroS,1734.0,0.0,0.0,0.0,0.0
Alexiy111,1385.0,0.0,0.0,0.0,0.0
Amitrano,1500.0,0.0,0.0,0.0,0.0
Jose_Luisx,1254.0,0.0,0.0,0.0,0.0
the7tig3r,1626.0,0.0,0.0,0.0,0.0
Mohamadmanar1992,1718.0,0.0,0.0,0.0,0.0
Jkjkjp,1100.0,0.0,0.0,0.0,0.0
lobolove2024,1910.0,0.0,0.0,0.0,0.0
jhailesx,1685.0,0.0,0.0,0.0,0.0
shr2kor,986.0,0.0,0.0,0.0,0.0
Kazlaft-Bublock,1341.0,0.0,0.0,0.0,0.0
nakajuma,1419.0,0.0,0.0,0.0,0.0
Turolman,1500.0,0.0,0.0,0.0,0.0
oriad,1450.0,0.0,0.0,0.0,0.0
SuyudSPt,1353.0,0.0,0.0,0.0,0.0
rss3398,1214.0,0.0,0.0,0.0,0.0
Dynastyyyy3323,1511.0,0.0,0.0,0.0,0.0
colochorompealmoadas,2060.0,0.0,0.0,0.0,0.0
arvind01,1362.0,0.0,0.0,0.0,0.0
Den1970Den1970,1500.0,0.0,0.0,0.0,0.0
trollbobbi,1456.0,0.0,0.0,0.0,0.0
a-t-5,1343.0,0.0,0.0,0.0,0.0
lelicman,1500.0,0.0,0.0,0.0,0.0
flanta,910.0,0.0,0.0,0.0,0.0
Oginbogin,1049.0,0.0,0.0,0.0,0.0
Toprotroja,1500.0,0.0,0.0,0.0,0.0
betoi31,2305.0,0.0,0.0,0.0,0.0
kiarashf1989,883.0,0.0,0.0,0.0,0.0
DEBAPRABHO,2269.0,0.0,0.0,0.0,0.0
Carey59,1552.0,0.0,0.0,0.0,0.0
Nikolay29rus,1197.0,0.0,0.0,0.0,0.0
DRD2024,1271.0,0.0,0.0,0.0,0.0
AV_Zikov5262,1684.0,0.0,0.0,0.0,0.0
reapingrook,1852.0,0.0,0.0,0.0,0.0
nezaras2000,1911.0,0.0,0.0,0.0,0.0
abchess1307,,0.0,0.0,0.0,0.0
MaloR,1527.0,0.0,0.0,0.0,0.0
kwatov,2413.0,0.0,0.0,0.0,0.0
swguynos,950.0,0.0,0.0,0.0,0.0
Blunderboy64,1777.0,0.0,0.0,0.0,0.0
Natsonj,1024.0,0.0,0.0,0.0,0.0
matteoferdinando63,1505.0,0.0,0.0,0.0,0.0
mahmoud_hossam001,707.0,0.0,0.0,0.0,0.0
gomelbel,2555.0,0.0,0.0,0.0,0.0
jv197,2416.0,0.0,0.0,0.0,0.0
stod,1671.0,0.0,0.0,0.0,0.0
Almat06,1195.0,0.0,0.0,0.0,0.0
Poltergeist_hwx,1272.0,0.0,0.0,0.0,0.0
david11234,1497.0,0.0,0.0,0.0,0.0
alsterkalle,1863.0,0.0,0.0,0.0,0.0
Mirzad_786,1500.0,0.0,0.0,0.0,0.0
Hodenklopfer,1181.0,0.0,0.0,0.0,0.0
Schachnoob-Nachschub,2000.0,0.0,0.0,0.0,0.0
Mahb8,,0.0,0.0,0.0,0.0
ChessInceptor,801.0,0.0,0.0,0.0,0.0
lovebutt123,1500.0,0.0,0.0,0.0,0.0
sardonBR,2500.0,0.0,0.0,0.0,0.0
Moggy1903,1043.0,0.0,0.0,0.0,0.0
mikeywiebe,1425.0,0.0,0.0,0.0,0.0
TrekkieGod,1500.0,0.0,0.0,0.0,0.0
BorsalinoChess,2603.0,0.0,0.0,0.0,0.0
ilirbeqa,1500.0,0.0,0.0,0.0,0.0
Stephb88,796.0,0.0,0.0,0.0,0.0
MMMarioo,1254.0,0.0,0.0,0.0,0.0
Kareem-111,1500.0,0.0,0.0,0.0,0.0
Topho,1017.0,0.0,0.0,0.0,0.0
badsigmaboy,1500.0,0.0,0.0,0.0,0.0
Damussi_Vem,2311.0,0.0,0.0,0.0,0.0
Vaadhoo,1607.0,0.0,0.0,0.0,0.0
Singh1313,1655.0,0.0,0.0,0.0,0.0
Alexomran8,1006.0,0.0,0.0,0.0,0.0
roosick,1160.0,0.0,0.0,0.0,0.0
Hekko66,1739.0,0.0,0.0,0.0,0.0
donelias_2,1500.0,0.0,0.0,0.0,0.0
Player121298,1823.0,0.0,0.0,0.0,0.0
der_katerr,1277.0,0.0,0.0,0.0,0.0
StarlingsKE,1527.0,0.0,0.0,0.0,0.0
Sergei1311,1500.0,0.0,0.0,0.0,0.0
Set22-tenorio,1563.0,0.0,0.0,0.0,0.0
HermeHermeHerme,1500.0,0.0,0.0,0.0,0.0
vonyuchiy_nosok1234,1148.0,0.0,0.0,0.0,0.0
QuCompson2,1024.0,0.0,0.0,0.0,0.0
Piiiup,912.0,0.0,0.0,0.0,0.0
Pawnstarkiller,1711.0,0.0,0.0,0.0,0.0
kizboy15,1105.0,0.0,0.0,0.0,0.0
tema76,932.0,0.0,0.0,0.0,0.0
Vesnino,1500.0,0.0,0.0,0.0,0.0
Salahuddin-amir68,1709.0,0.0,0.0,0.0,0.0
ne_motvey,1352.0,0.0,0.0,0.0,0.0
Peter_tu,1220.0,0.0,0.0,0.0,0.0
Jano83,2319.0,0.0,0.0,0.0,0.0
Kaiyote1,1433.0,0.0,0.0,0.0,0.0
Kivrokish,752.0,0.0,0.0,0.0,0.0
Khaked1212,1312.0,0.0,0.0,0.0,0.0
SiSiS,2298.0,0.0,0.0,0.0,0.0
yasnakh,1500.0,0.0,0.0,0.0,0.0
kingdrelpins,1486.0,0.0,0.0,0.0,0.0
L_3115,1272.0,0.0,0.0,0.0,0.0
Katranka,1029.0,0.0,0.0,0.0,0.0
thor22222,1725.0,0.0,0.0,0.0,0.0
paddeee81,1483.0,0.0,0.0,0.0,0.0
Aleks1109,1345.0,0.0,0.0,0.0,0.0
KENEVAN-CATNORSAM,2036.0,0.0,0.0,0.0,0.0
EXCELADDIKT,2537.0,0.0,0.0,0.0,0.0
serj2777,1005.0,0.0,0.0,0.0,0.0
herrtusk,1536.0,0.0,0.0,0.0,0.0
DamianMR72,946.0,0.0,0.0,0.0,0.0
Snipe_Strider,812.0,0.0,0.0,0.0,0.0
Ethankevinjoy_1579,688.0,0.0,0.0,0.0,0.0
eakalleklev,1533.0,0.0,0.0,0.0,0.0
Moritzr1,897.0,0.0,0.0,0.0,0.0
Chessisnotfair,,0.0,0.0,0.0,0.0
Thib88,1055.0,0.0,0.0,0.0,0.0
JAGANNATHKS123,990.0,0.0,0.0,0.0,0.0
Nazemov,2134.0,0.0,0.0,0.0,0.0
lowslowstm,1500.0,0.0,0.0,0.0,0.0
ds_12345,1328.0,0.0,0.0,0.0,0.0
Misterlooser00,2143.0,0.0,0.0,0.0,0.0
