user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
Prochesskaan,593.0,37.0,59.0,4.0,100.0
Inky78,1139.0,42.0,54.0,4.0,100.0
anton_roienko,1731.0,45.0,51.0,4.0,100.0
Vaibhav26104,1405.0,50.0,45.0,5.0,100.0
otakkanan,965.0,43.0,52.0,5.0,100.0
thea-22,776.0,48.0,52.0,0.0,100.0
ULtRaCHeSsBlaDer2011,2061.0,39.0,50.0,10.0,84.0
OekoBauer,1960.0,44.0,50.0,6.0,100.0
vizumatv4hoda,2609.0,64.0,18.0,18.0,100.0
Keyra_la_unica,1962.0,51.0,41.0,8.0,100.0
Fthgk,1387.0,47.0,52.0,1.0,100.0
Kama_17,1964.0,40.0,54.0,6.0,100.0
Michalson532,1407.0,51.0,37.0,10.0,29.0
nader48,1406.0,40.0,56.0,4.0,100.0
TTandT,1330.0,30.0,57.0,12.0,100.0
arjunraman,2270.0,60.0,40.0,0.0,15.0
veguetadbs11,2366.0,49.0,44.0,7.0,100.0
firezice,925.0,54.0,44.0,2.0,100.0
pro250399,636.0,21.0,76.0,2.0,46.0
SreekantaDas,1221.0,54.0,45.0,1.0,100.0
wthimerht,1610.0,42.0,55.0,3.0,100.0
weak3333,869.0,61.0,36.0,3.0,100.0
PavelVinogradov,944.0,0.0,0.0,0.0,0.0
karokan7755,2447.0,48.0,48.0,4.0,100.0
The_Bodyguard,1899.0,42.0,55.0,3.0,100.0
Anmaster,1375.0,53.0,45.0,2.0,100.0
ishaankrishnaccs,737.0,100.0,0.0,0.0,3.0
adcolat,1218.0,61.0,31.0,8.0,100.0
Ludovk,1468.0,41.0,48.0,11.0,100.0
HistoryTry,1225.0,0.0,100.0,0.0,3.0
musadlane,2598.0,54.0,42.0,4.0,100.0
TanitoluwaAps116,2789.0,0.0,0.0,0.0,0.0
Alon7429,2788.0,57.0,32.0,10.0,100.0
maksym_makarychev,1301.0,51.0,44.0,5.0,100.0
fredy_mar_aqp,1392.0,47.0,51.0,2.0,100.0
slave_of_the_chess,1342.0,49.0,47.0,4.0,100.0
aki63,1370.0,47.0,51.0,2.0,100.0
DrMSAS,2454.0,49.0,41.0,10.0,100.0
Blessings03,1234.0,47.0,52.0,1.0,100.0
LUFFFFFFFY,953.0,0.0,0.0,0.0,0.0
JaredFrance,1369.0,55.0,44.0,0.0,54.0
Alex19821986,945.0,47.0,48.0,5.0,100.0
soylusahra52,1020.0,0.0,100.0,0.0,3.0
voronk,1678.0,44.0,54.0,2.0,100.0
raphaelk1,1819.0,38.0,49.0,13.0,100.0
davdomin,1500.0,0.0,0.0,0.0,0.0
Marsicanac,2137.0,41.0,48.0,11.0,100.0
joseantoniosp,1546.0,0.0,0.0,0.0,0.0
Ertsd,1358.0,55.0,44.0,1.0,100.0
IgnacioFS00,1469.0,100.0,0.0,0.0,6.0
Chestolo,718.0,36.0,57.0,6.0,100.0
Ompa_puk,1525.0,57.0,41.0,1.0,100.0
pratapraju,1118.0,0.0,0.0,0.0,0.0
albertogs,2399.0,55.0,41.0,4.0,100.0
Dondoctor,2370.0,33.0,41.0,25.0,36.0
Elieso94,809.0,50.0,48.0,2.0,100.0
psvkampioenen,1235.0,0.0,0.0,0.0,0.0
Grukjr,2626.0,52.0,40.0,8.0,100.0
hetwehewrhtweht,1500.0,56.0,42.0,1.0,100.0
rdinc,1698.0,53.0,42.0,5.0,100.0
youssef334,1027.0,0.0,0.0,0.0,0.0
SeaHorseDad,1220.0,40.0,52.0,8.0,100.0
vIbHu11,2456.0,48.0,41.0,10.0,87.0
jkaRUSSIA,2541.0,56.0,33.0,11.0,100.0
novi4ek1903,1124.0,48.0,49.0,3.0,100.0
fast-tsunami,2429.0,46.0,53.0,0.0,45.0
olegan32,1985.0,44.0,51.0,5.0,100.0
FerrariJr,1014.0,45.0,52.0,3.0,100.0
Grozzzlybear,2297.0,46.0,44.0,10.0,100.0
Skakthor,2459.0,56.0,39.0,5.0,100.0
sampathj,1519.0,0.0,0.0,0.0,0.0
KopysovV,1932.0,52.0,44.0,4.0,100.0
Hvitrev,1257.0,34.0,62.0,3.0,96.0
royinin,585.0,32.0,62.0,6.0,100.0
q49q,1500.0,0.0,0.0,0.0,0.0
Frostwrath,2373.0,47.0,49.0,4.0,100.0
Despair_Captain,2625.0,53.0,38.0,9.0,100.0
GK1963,2766.0,49.0,35.0,16.0,100.0
Milliyetci87,993.0,43.0,45.0,12.0,100.0
nevergettingtitle,1992.0,40.0,60.0,0.0,15.0
fischer1992reborn,2295.0,57.0,37.0,5.0,100.0
Lissali,1875.0,54.0,36.0,9.0,99.0
Vatnos,2316.0,47.0,52.0,1.0,100.0
NzTterSchit,2300.0,0.0,0.0,0.0,0.0
naive_knight,1192.0,0.0,0.0,0.0,0.0
bazar-wokzal,2512.0,0.0,0.0,0.0,0.0
kittyblum,1045.0,0.0,0.0,0.0,0.0
rjrahuljain1210,1094.0,0.0,0.0,0.0,0.0
ntpc511,1626.0,0.0,0.0,0.0,0.0
Punnnnisher,846.0,0.0,0.0,0.0,0.0
Emeriithus,2218.0,0.0,0.0,0.0,0.0
Cavalfab,1457.0,0.0,0.0,0.0,0.0
AlejandroPinglo,1502.0,0.0,0.0,0.0,0.0
VardanSrivastava,2005.0,0.0,0.0,0.0,0.0
rapid_chalanger,2312.0,0.0,0.0,0.0,0.0
Santi-LaPlata,1463.0,0.0,0.0,0.0,0.0
LifeOfRyan,2410.0,0.0,0.0,0.0,0.0
GrafKvonderG,2345.0,0.0,0.0,0.0,0.0
gallofa00,1636.0,0.0,0.0,0.0,0.0
hsay2020,1438.0,0.0,0.0,0.0,0.0
Doqangunes,1416.0,0.0,0.0,0.0,0.0
JustARetiredPlayer,2708.0,0.0,0.0,0.0,0.0
xxMichalxx,1035.0,0.0,0.0,0.0,0.0
fatosalpslan,1367.0,0.0,0.0,0.0,0.0
lime_ee,1154.0,0.0,0.0,0.0,0.0
Nebonik,2451.0,0.0,0.0,0.0,0.0
Scuffia,1327.0,0.0,0.0,0.0,0.0
MDR27,2100.0,0.0,0.0,0.0,0.0
vfrcbv1234509,2187.0,0.0,0.0,0.0,0.0
gurselynlmz,1391.0,0.0,0.0,0.0,0.0
Relaxela,1260.0,0.0,0.0,0.0,0.0
Dreamweaver96,1542.0,0.0,0.0,0.0,0.0
GoingDownSouth,1962.0,0.0,0.0,0.0,0.0
Edu1979,1060.0,0.0,0.0,0.0,0.0
shrenik_kinu,1688.0,0.0,0.0,0.0,0.0
Darknessbottle,1510.0,0.0,0.0,0.0,0.0
Ajmcm,1362.0,0.0,0.0,0.0,0.0
sandeep-khatri,1565.0,0.0,0.0,0.0,0.0
kelikeliii,1030.0,0.0,0.0,0.0,0.0
MonkeyLonky,2064.0,0.0,0.0,0.0,0.0
daddystrength,2405.0,0.0,0.0,0.0,0.0
Galatians2verse20,2337.0,0.0,0.0,0.0,0.0
Tuvshin75,1411.0,0.0,0.0,0.0,0.0
sasha_frolov,2141.0,0.0,0.0,0.0,0.0
Javprisone598,2300.0,0.0,0.0,0.0,0.0
Hurricaneforce,2578.0,0.0,0.0,0.0,0.0
tonycount,1754.0,0.0,0.0,0.0,0.0
changmin1456,1500.0,0.0,0.0,0.0,0.0
Rex65788,2422.0,0.0,0.0,0.0,0.0
jokern56,2225.0,0.0,0.0,0.0,0.0
hernan271,1467.0,0.0,0.0,0.0,0.0
HomeAp,2543.0,0.0,0.0,0.0,0.0
urbion,1961.0,0.0,0.0,0.0,0.0
nicolus,1544.0,0.0,0.0,0.0,0.0
MAKCIM2016,750.0,0.0,0.0,0.0,0.0
JonRidout,1777.0,0.0,0.0,0.0,0.0
chess4ever1410,2473.0,0.0,0.0,0.0,0.0
ruben9503,1358.0,0.0,0.0,0.0,0.0
luckyoscuro,2121.0,0.0,0.0,0.0,0.0
Bjorn2468,1128.0,0.0,0.0,0.0,0.0
planic13,2205.0,0.0,0.0,0.0,0.0
Litseralex,1973.0,0.0,0.0,0.0,0.0
lary77,2019.0,0.0,0.0,0.0,0.0
doberman_333,2581.0,0.0,0.0,0.0,0.0
cRsregeLt,922.0,0.0,0.0,0.0,0.0
vovauroio,2451.0,0.0,0.0,0.0,0.0
Stephen8386,1094.0,0.0,0.0,0.0,0.0
membongak,1500.0,0.0,0.0,0.0,0.0
Juribiver,1454.0,0.0,0.0,0.0,0.0
yf95,2068.0,0.0,0.0,0.0,0.0
DawitGN,1500.0,0.0,0.0,0.0,0.0
lavictoriavenezuela,2454.0,0.0,0.0,0.0,0.0
Conrad_123,1709.0,0.0,0.0,0.0,0.0
aldgate,2314.0,0.0,0.0,0.0,0.0
soultravel,1807.0,0.0,0.0,0.0,0.0
OffCore,1296.0,0.0,0.0,0.0,0.0
Menald,1150.0,0.0,0.0,0.0,0.0
OlmosG,1836.0,0.0,0.0,0.0,0.0
Acctus,1355.0,0.0,0.0,0.0,0.0
Senilonori,1053.0,0.0,0.0,0.0,0.0
nika_HB,1456.0,0.0,0.0,0.0,0.0
moncef-1978,1374.0,0.0,0.0,0.0,0.0
IsmaJS,1004.0,0.0,0.0,0.0,0.0
Taladan,2475.0,0.0,0.0,0.0,0.0
IamHocks,1803.0,0.0,0.0,0.0,0.0
supercheckmateguy,888.0,0.0,0.0,0.0,0.0
partho751,1687.0,0.0,0.0,0.0,0.0
Prosvirnov_Sergei,2451.0,0.0,0.0,0.0,0.0
Pampen,2445.0,0.0,0.0,0.0,0.0
noe123456789,1431.0,0.0,0.0,0.0,0.0
Gertrude_Weichsel,2610.0,0.0,0.0,0.0,0.0
Ferrari011,2531.0,0.0,0.0,0.0,0.0
jasithchess2021,1482.0,0.0,0.0,0.0,0.0
Brocardotorres,1932.0,0.0,0.0,0.0,0.0
Al_Ivanov1987,2007.0,0.0,0.0,0.0,0.0
MRAshishKulkarni16,1267.0,0.0,0.0,0.0,0.0
USSR3,2217.0,0.0,0.0,0.0,0.0
aimeesuzy,411.0,0.0,0.0,0.0,0.0
Zalim007,1874.0,0.0,0.0,0.0,0.0
not_a_fish,1075.0,0.0,0.0,0.0,0.0
Ranjan_Rohit,1506.0,0.0,0.0,0.0,0.0
decotunisia,1836.0,0.0,0.0,0.0,0.0
MVM7,1302.0,0.0,0.0,0.0,0.0
rittersport29,2327.0,0.0,0.0,0.0,0.0
Bbpro1979,2053.0,0.0,0.0,0.0,0.0
Lamelle2021,1881.0,0.0,0.0,0.0,0.0
Ali_sol,1983.0,0.0,0.0,0.0,0.0
janjipaese,1378.0,0.0,0.0,0.0,0.0
Rudrachess08,1890.0,0.0,0.0,0.0,0.0
Luthorien,1669.0,0.0,0.0,0.0,0.0
blitzermat,1896.0,0.0,0.0,0.0,0.0
The_main_event003,2744.0,0.0,0.0,0.0,0.0
sherif8888,1138.0,0.0,0.0,0.0,0.0
Lehmimann,1488.0,0.0,0.0,0.0,0.0
Geydarov,2237.0,0.0,0.0,0.0,0.0
roggers1961,1009.0,0.0,0.0,0.0,0.0
gameoftage,2411.0,0.0,0.0,0.0,0.0
Coopdaddyusa,640.0,0.0,0.0,0.0,0.0
GeNer4tion_KiLL,2775.0,0.0,0.0,0.0,0.0
Raff0ne,1115.0,0.0,0.0,0.0,0.0
Slushzz,2113.0,0.0,0.0,0.0,0.0
slar66,1866.0,0.0,0.0,0.0,0.0
PockeTiger,1025.0,0.0,0.0,0.0,0.0
redwingschess,2232.0,0.0,0.0,0.0,0.0
Tabook,1906.0,0.0,0.0,0.0,0.0
baa61,1217.0,0.0,0.0,0.0,0.0
MateoRB2015,1860.0,0.0,0.0,0.0,0.0
aTeeKSH,1936.0,0.0,0.0,0.0,0.0
Chesspattern_on_IG,2527.0,0.0,0.0,0.0,0.0
Leviathan64,2643.0,0.0,0.0,0.0,0.0
zhtemr,1374.0,0.0,0.0,0.0,0.0
Spidertor,1117.0,0.0,0.0,0.0,0.0
SorceressFern3,2166.0,0.0,0.0,0.0,0.0
Oldern,1528.0,0.0,0.0,0.0,0.0
FoxyFace,2354.0,0.0,0.0,0.0,0.0
rootEnginear,1193.0,0.0,0.0,0.0,0.0
Al021287,1415.0,0.0,0.0,0.0,0.0
SKVO3N9IK,994.0,0.0,0.0,0.0,0.0
osmankoka,2284.0,0.0,0.0,0.0,0.0
Unmillondejaques,2544.0,0.0,0.0,0.0,0.0
sreejithozone,1143.0,0.0,0.0,0.0,0.0
ISensoI,1092.0,0.0,0.0,0.0,0.0
NastyGunz,970.0,0.0,0.0,0.0,0.0
waffles_06,2380.0,0.0,0.0,0.0,0.0
PAKETOV99,1173.0,0.0,0.0,0.0,0.0
aruina2,2456.0,0.0,0.0,0.0,0.0
Sergundzja,1529.0,0.0,0.0,0.0,0.0
HasanKastraveci,2407.0,0.0,0.0,0.0,0.0
vad0112,1112.0,0.0,0.0,0.0,0.0
ismailykp,1272.0,0.0,0.0,0.0,0.0
ArcherSagi84,1458.0,0.0,0.0,0.0,0.0
Ralu73,1878.0,0.0,0.0,0.0,0.0
KingSlayer1080,2345.0,0.0,0.0,0.0,0.0
Tscheschler,2180.0,0.0,0.0,0.0,0.0
Sonata6,1409.0,0.0,0.0,0.0,0.0
AKalavera,925.0,0.0,0.0,0.0,0.0
Mr2weak2slow,2491.0,0.0,0.0,0.0,0.0
Nakoigrac,2220.0,0.0,0.0,0.0,0.0
Menefrath,2038.0,0.0,0.0,0.0,0.0
adskoe_terpenie,2248.0,0.0,0.0,0.0,0.0
KVANT-17,1825.0,0.0,0.0,0.0,0.0
maxjr0,1501.0,0.0,0.0,0.0,0.0
vga79,2303.0,0.0,0.0,0.0,0.0
