user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3
Ossibullet,61.0,32.0,7.0,100.0,2124.0,73.438,21.875,4.688,64.0,57.377,34.426,8.197,61.0,D02,A40,A30,B50,0.195,0.598,0.183,0.086,0.657,0.257,315.0,45.55,2530.0,2620.0,2552.0,2506.0
jyzzberg,45.0,48.0,7.0,100.0,1336.0,48.438,42.188,9.375,64.0,40.984,52.459,6.557,61.0,D02,A40,C48,C55,0.429,0.393,0.161,0.492,0.441,0.051,301.0,45.02,2216.0,1479.0,1459.0,1458.0
Bjartenjaa,48.0,41.0,11.0,100.0,1799.0,45.902,47.541,6.557,61.0,43.75,50.0,6.25,64.0,B30,B32,E12,C66,0.304,0.482,0.161,0.115,0.82,0.066,392.0,45.03,6595.0,2222.0,2190.0,2042.0
LeoFu9487,56.0,41.0,3.0,100.0,1754.0,54.098,39.344,6.557,61.0,51.562,45.312,3.125,64.0,C00,C01,A13,A16,0.227,0.652,0.091,0.189,0.585,0.226,374.0,46.93,847.0,1841.0,1838.0,1816.0
venel60,45.0,50.0,5.0,100.0,1441.0,53.125,40.625,6.25,64.0,44.262,54.098,1.639,61.0,B06,D02,A04,C00,0.164,0.607,0.18,0.254,0.695,0.051,325.0,45.23,4909.0,1633.0,1620.0,1617.0
DEM35,47.0,50.0,3.0,100.0,968.0,56.452,41.935,1.613,62.0,38.095,57.143,4.762,63.0,C40,C44,B50,B10,0.458,0.271,0.169,0.355,0.323,0.323,515.0,46.44,130.0,1090.0,1065.0,1065.0
sasha1289,54.0,42.0,4.0,100.0,2225.0,48.387,45.161,6.452,62.0,47.619,46.032,6.349,63.0,B28,D02,A11,A09,0.083,0.5,0.4,0.175,0.684,0.14,269.0,45.14,5781.0,2503.0,2491.0,2486.0
Moddie4,43.0,56.0,1.0,100.0,1817.0,46.032,53.968,0.0,63.0,40.323,58.065,1.613,62.0,B01,C20,A41,D30,0.204,0.241,0.519,0.443,0.471,0.071,232.0,45.82,6047.0,2252.0,2238.0,2225.0
ferdinand_dc,45.0,54.0,1.0,100.0,1871.0,46.875,51.562,1.562,64.0,59.016,37.705,3.279,61.0,C50,B01,A52,C31,0.152,0.545,0.288,0.107,0.875,0.018,203.0,45.07,25715.0,2152.0,2140.0,2131.0
Colonel26,49.0,48.0,3.0,100.0,2043.0,47.619,50.794,1.587,63.0,50.0,46.774,3.226,62.0,B20,B12,B21,A86,0.295,0.475,0.23,0.082,0.443,0.475,284.0,45.06,32233.0,2360.0,2333.0,2321.0
couli,50.0,42.0,8.0,100.0,1576.0,44.444,46.032,9.524,63.0,48.387,40.323,11.29,62.0,B06,A40,A43,B06,0.207,0.483,0.276,0.463,0.0,0.537,273.0,45.34,44709.0,2015.0,1940.0,1912.0
Volgin77,52.0,43.0,5.0,100.0,2071.0,45.161,51.613,3.226,62.0,57.143,41.27,1.587,63.0,B00,A41,C62,A04,0.078,0.688,0.234,0.086,0.759,0.155,360.0,45.01,11813.0,2335.0,2333.0,2332.0
ildizmete,50.0,50.0,0.0,24.0,1030.0,28.571,71.429,0.0,7.0,75.0,25.0,0.0,4.0,C46,C00,B32,C47,0.6,0.2,0.0,0.333,0.5,0.167,280.0,113.2,11.0,1013.0,988.0,952.0
primstaven,51.0,47.0,2.0,100.0,1273.0,50.0,43.548,6.452,62.0,61.905,36.508,1.587,63.0,B00,C20,D26,E10,0.157,0.557,0.229,0.16,0.68,0.16,457.0,45.19,25427.0,1695.0,1686.0,1683.0
Rahimov_1973,61.0,34.0,5.0,100.0,2474.0,72.581,20.968,6.452,62.0,66.667,30.159,3.175,63.0,A45,D00,D07,A15,0.253,0.598,0.149,0.438,0.188,0.312,266.0,45.1,28852.0,2795.0,2792.0,2768.0
magdysalah454,46.0,48.0,6.0,100.0,1791.0,43.548,51.613,4.839,62.0,52.381,42.857,4.762,63.0,B00,A02,B50,A13,0.233,0.55,0.217,0.373,0.458,0.136,395.0,45.14,1785.0,1948.0,1930.0,1900.0
matth63,22.0,55.0,22.0,27.0,2088.0,47.541,45.902,6.557,61.0,51.562,42.188,6.25,64.0,B23,C00,A40,A41,0.145,0.677,0.145,0.091,0.673,0.236,417.0,49.24,2519.0,2296.0,2278.0,2278.0
Donpedromanuel,42.0,50.0,8.0,100.0,1884.0,43.75,53.125,3.125,64.0,45.902,44.262,9.836,61.0,B50,A45,A14,B22,0.089,0.643,0.232,0.066,0.426,0.508,657.0,45.11,6217.0,2108.0,2101.0,2093.0
elbeham,47.0,49.0,4.0,100.0,1686.0,48.387,51.613,0.0,62.0,38.095,60.317,1.587,63.0,B02,B03,A45,A08,0.259,0.481,0.259,0.157,0.429,0.386,377.0,45.0,13596.0,1867.0,1831.0,1830.0
