user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3
Ulvehaug,48.0,50.0,2.0,100.0,1093.0,57.627,42.373,0.0,59.0,48.485,50.0,1.515,66.0,C42,C44,C40,B23,0.242,0.47,0.212,0.138,0.759,0.103,431.0,45.14,1147.0,1300.0,1289.0,1289.0
DylonJ1,0.0,100.0,0.0,3.0,1317.0,57.627,37.288,5.085,59.0,39.394,56.061,4.545,66.0,A40,D00,D06,A43,0.283,0.517,0.133,0.203,0.339,0.458,313.0,87.32,1132.0,1892.0,1736.0,1729.0
malwake,60.0,38.0,2.0,100.0,1515.0,59.375,39.062,1.562,64.0,49.18,47.541,3.279,61.0,B40,B20,C62,C03,0.25,0.456,0.279,0.167,0.704,0.13,229.0,45.02,2553.0,1735.0,1726.0,1724.0
Tumelo123,51.0,44.0,5.0,100.0,1806.0,61.29,35.484,3.226,62.0,42.857,53.968,3.175,63.0,A00,B00,B02,C17,0.154,0.662,0.154,0.286,0.518,0.161,323.0,45.03,1384.0,2259.0,2123.0,2077.0
MrBrave6000,50.0,50.0,0.0,30.0,1257.0,50.769,44.615,4.615,65.0,43.333,51.667,5.0,60.0,B01,C00,C41,B27,0.271,0.424,0.254,0.2,0.35,0.4,280.0,,,,,
Wizard_Chess99,45.0,52.0,3.0,100.0,1033.0,42.623,54.098,3.279,61.0,42.188,53.125,4.688,64.0,C50,C20,C69,C44,0.528,0.377,0.057,0.075,0.821,0.09,253.0,,,,,
arendsvleugel,51.0,45.0,4.0,100.0,925.0,44.262,50.82,4.918,61.0,53.125,42.188,4.688,64.0,C40,C20,C50,A40,0.377,0.443,0.148,0.345,0.603,0.052,450.0,45.09,1808.0,1109.0,1098.0,1094.0
zz01bk,41.0,58.0,0.0,87.0,2025.0,51.613,45.161,3.226,62.0,33.333,60.317,6.349,63.0,B27,A04,B01,A08,0.189,0.585,0.208,0.136,0.758,0.106,242.0,45.07,2877.0,2268.0,2265.0,2264.0
Vvh13,42.0,49.0,9.0,100.0,1403.0,44.615,47.692,7.692,65.0,41.667,50.0,8.333,60.0,B00,D01,B22,A45,0.278,0.519,0.167,0.082,0.836,0.082,329.0,45.9,2492.0,1541.0,1520.0,1519.0
IoPicco,52.0,41.0,7.0,100.0,1985.0,46.875,45.312,7.812,64.0,50.82,47.541,1.639,61.0,C23,C41,A00,A02,0.246,0.426,0.328,0.052,0.569,0.362,256.0,45.08,19413.0,2291.0,2273.0,2272.0
BussyBruiser,48.0,48.0,4.0,100.0,1693.0,49.206,46.032,4.762,63.0,48.387,51.613,0.0,62.0,A10,B20,B90,E81,0.213,0.492,0.295,0.23,0.459,0.311,269.0,45.06,6478.0,1810.0,1804.0,1797.0
Ragnarof,26.0,67.0,7.0,100.0,1731.0,29.31,68.966,1.724,58.0,32.836,61.194,5.97,67.0,B00,B32,C03,A50,0.256,0.385,0.333,0.062,0.63,0.272,379.0,45.02,6146.0,2336.0,2334.0,2318.0
mrbrandet,47.0,51.0,2.0,100.0,1032.0,43.75,56.25,0.0,64.0,32.787,65.574,1.639,61.0,C23,B00,C22,C34,0.479,0.292,0.188,0.118,0.197,0.645,306.0,45.16,515.0,1284.0,1262.0,1255.0
alluchpe,59.0,33.0,8.0,100.0,1938.0,58.333,33.333,8.333,60.0,52.308,41.538,6.154,65.0,C42,C00,C40,B52,0.261,0.536,0.203,0.234,0.447,0.319,373.0,45.0,5720.0,2020.0,2016.0,2013.0
Wittke,47.0,50.0,3.0,100.0,2500.0,59.677,32.258,8.065,62.0,58.73,39.683,1.587,63.0,A06,A04,D02,A01,0.27,0.595,0.135,0.111,0.667,0.222,347.0,52.86,5967.0,2784.0,2757.0,2752.0
rperce,66.0,33.0,0.0,9.0,1327.0,48.485,50.0,1.515,66.0,50.847,44.068,5.085,59.0,B01,C29,D01,B07,0.258,0.5,0.226,0.847,0.102,0.051,475.0,109.12,883.0,1496.0,1483.0,1461.0
joona66,45.0,52.0,3.0,100.0,1949.0,49.206,50.794,0.0,63.0,51.613,45.161,3.226,62.0,A40,C34,C63,B40,0.27,0.444,0.286,0.25,0.633,0.1,236.0,45.02,95825.0,2515.0,2398.0,2328.0
bayangan_tcc_star,36.0,56.0,7.0,100.0,1871.0,53.333,43.333,3.333,60.0,40.0,50.769,9.231,65.0,A00,C00,nonStandard,A03,0.224,0.431,0.328,0.237,0.356,0.39,363.0,45.23,2888.0,2290.0,2240.0,2191.0
senuli1st,15.0,85.0,0.0,60.0,805.0,43.75,56.25,0.0,16.0,36.842,63.158,0.0,19.0,C50,C42,C46,B00,0.5,0.071,0.429,0.714,0.0,0.238,2804.0,95.71,33.0,0.0,0.0,0.0
sebstar,63.0,33.0,4.0,100.0,1680.0,58.621,34.483,6.897,58.0,38.806,52.239,8.955,67.0,A40,D20,D20,C34,0.367,0.383,0.217,0.255,0.527,0.2,332.0,45.19,13981.0,2259.0,2238.0,2106.0
Chukalonjid,56.0,37.0,7.0,100.0,1578.0,51.562,43.75,4.688,64.0,57.377,37.705,4.918,61.0,B01,C44,D20,C41,0.279,0.559,0.132,0.137,0.667,0.118,412.0,61.34,8608.0,2148.0,2126.0,2105.0
quvin,49.0,43.0,8.0,100.0,1524.0,51.613,43.548,4.839,62.0,50.794,44.444,4.762,63.0,B01,D00,C24,C42,0.312,0.5,0.172,0.091,0.564,0.309,385.0,45.05,15196.0,1820.0,1784.0,1770.0
domdom123,45.0,54.0,0.0,72.0,1448.0,50.0,46.875,3.125,64.0,37.705,57.377,4.918,61.0,D02,B01,A80,A01,0.182,0.636,0.145,0.2,0.738,0.046,263.0,58.4,3332.0,1778.0,1660.0,1651.0
NeithGL,50.0,48.0,2.0,100.0,1260.0,54.839,41.935,3.226,62.0,52.381,46.032,1.587,63.0,D00,A40,C20,C24,0.313,0.388,0.254,0.473,0.273,0.236,368.0,45.09,6126.0,2054.0,1959.0,1872.0
Jinjouova_babina,60.0,38.0,2.0,100.0,1903.0,55.224,40.299,4.478,67.0,51.724,44.828,3.448,58.0,C25,A45,B28,B90,0.194,0.672,0.134,0.075,0.811,0.113,245.0,147.67,11941.0,2022.0,2009.0,1982.0
leogabriel29,64.0,30.0,6.0,100.0,1824.0,61.29,32.258,6.452,62.0,61.905,34.921,3.175,63.0,C50,C44,B73,C24,0.455,0.364,0.182,0.452,0.476,0.071,431.0,47.33,3762.0,1965.0,1942.0,1940.0
mainincatur,45.0,53.0,2.0,100.0,1567.0,32.787,62.295,4.918,61.0,43.75,54.688,1.562,64.0,B40,A43,A04,B00,0.271,0.417,0.271,0.233,0.26,0.466,270.0,45.51,5895.0,2404.0,2390.0,2192.0
DylFaulk,43.0,54.0,3.0,100.0,1098.0,35.484,59.677,4.839,62.0,46.032,49.206,4.762,63.0,C23,B00,C30,D02,0.314,0.353,0.314,0.676,0.044,0.279,275.0,45.02,1988.0,1702.0,1664.0,1618.0
blower,49.0,48.0,3.0,100.0,1972.0,53.125,46.875,0.0,64.0,44.262,49.18,6.557,61.0,B00,B23,E61,A40,0.197,0.541,0.262,0.067,0.533,0.4,411.0,45.0,7580.0,2211.0,2211.0,2198.0
BrindisySalud,47.0,51.0,2.0,100.0,1400.0,48.387,45.161,6.452,62.0,44.444,55.556,0.0,63.0,C44,A40,C80,C42,0.328,0.414,0.241,0.063,0.683,0.254,340.0,45.02,4715.0,1864.0,1863.0,1820.0
IVAN21-chess,43.0,55.0,2.0,100.0,1335.0,46.269,49.254,4.478,67.0,39.655,58.621,1.724,58.0,A00,C41,A22,C64,0.333,0.444,0.204,0.239,0.0,0.627,344.0,46.54,4675.0,1979.0,1950.0,1949.0
Nektarius,57.0,38.0,4.0,100.0,1452.0,44.444,47.619,7.937,63.0,56.452,37.097,6.452,62.0,C47,C46,D06,C48,0.27,0.444,0.254,0.377,0.358,0.208,224.0,45.07,723.0,1677.0,1602.0,1590.0
Tulus_Hari,100.0,0.0,0.0,6.0,1485.0,48.529,47.059,4.412,68.0,47.368,49.123,3.509,57.0,C42,A40,C24,A20,0.35,0.433,0.2,0.217,0.683,0.1,275.0,55.61,1058.0,1930.0,1862.0,1828.0
megakitty,37.0,50.0,12.0,24.0,1600.0,47.541,44.262,8.197,61.0,42.188,48.438,9.375,64.0,B22,C44,E10,D35,0.304,0.5,0.143,0.448,0.517,0.017,365.0,65.66,161.0,1771.0,1766.0,1747.0
caferberkayidu,47.0,45.0,8.0,100.0,1710.0,38.095,55.556,6.349,63.0,43.548,48.387,8.065,62.0,C50,C25,C64,C45,0.333,0.471,0.176,0.185,0.692,0.108,218.0,45.0,883.0,1899.0,1848.0,1831.0
mostafa3001,45.0,54.0,0.0,33.0,2088.0,51.562,48.438,0.0,64.0,52.459,47.541,0.0,61.0,C41,B00,A00,B29,0.292,0.508,0.185,0.183,0.65,0.1,213.0,58.16,603.0,2250.0,2239.0,2230.0
suavi06,44.0,50.0,6.0,100.0,1244.0,46.774,51.613,1.613,62.0,41.27,47.619,11.111,63.0,A43,A04,D13,E64,0.255,0.6,0.109,0.177,0.71,0.048,416.0,45.63,1539.0,1957.0,1784.0,1653.0
Nashnoush25,42.0,57.0,0.0,7.0,1851.0,64.706,35.294,0.0,51.0,43.636,50.909,5.455,55.0,B01,B00,B03,C29,0.175,0.456,0.368,0.435,0.413,0.152,305.0,45.15,116.0,1989.0,1981.0,1974.0
lagavulin_16,38.0,54.0,8.0,100.0,2130.0,37.097,48.387,14.516,62.0,41.27,53.968,4.762,63.0,B03,B02,A92,A53,0.041,0.735,0.224,0.047,0.641,0.281,440.0,45.04,14833.0,2501.0,2490.0,2454.0
krds,49.0,48.0,3.0,100.0,1470.0,53.226,43.548,3.226,62.0,49.206,49.206,1.587,63.0,C41,C44,C22,B50,0.281,0.438,0.25,0.224,0.448,0.293,235.0,45.02,105271.0,1841.0,1841.0,1825.0
azimut1,36.0,56.0,8.0,100.0,2020.0,43.333,51.667,5.0,60.0,35.385,52.308,12.308,65.0,A45,D00,A12,A42,0.122,0.796,0.082,0.108,0.738,0.154,644.0,45.08,4889.0,2260.0,2247.0,2243.0
HellGuru,47.0,50.0,3.0,100.0,1600.0,54.839,43.548,1.613,62.0,36.508,60.317,3.175,63.0,B01,B00,C47,A45,0.175,0.509,0.263,0.338,0.569,0.077,347.0,45.33,4510.0,1800.0,1785.0,1769.0
danking,50.0,50.0,0.0,100.0,1268.0,59.322,40.678,0.0,59.0,36.364,63.636,0.0,66.0,C50,D00,C60,A10,0.339,0.593,0.051,0.076,0.909,0.015,277.0,45.11,5006.0,1544.0,1544.0,1536.0
dima51,43.0,51.0,6.0,100.0,2010.0,49.206,44.444,6.349,63.0,48.387,48.387,3.226,62.0,D00,A40,C62,C63,0.246,0.59,0.131,0.241,0.621,0.103,355.0,45.04,73574.0,2396.0,2381.0,2352.0
Sman817,44.0,56.0,0.0,100.0,1076.0,45.0,55.0,0.0,60.0,38.462,61.538,0.0,65.0,C20,C40,A04,C34,0.25,0.538,0.154,0.041,0.178,0.781,472.0,56.95,959.0,1413.0,1380.0,1366.0
NikolayBojiy,49.0,48.0,3.0,100.0,1318.0,53.333,41.667,5.0,60.0,53.846,46.154,0.0,65.0,C50,B01,B50,A22,0.313,0.522,0.09,0.091,0.418,0.491,523.0,46.5,536.0,1426.0,1405.0,1397.0
Niveshram,27.0,72.0,1.0,100.0,1167.0,19.048,77.778,3.175,63.0,27.419,70.968,1.613,62.0,B01,nonStandard,A40,A10,0.241,0.276,0.31,0.559,0.301,0.097,226.0,50.69,166.0,1871.0,1793.0,1615.0
SaSeg,46.0,41.0,13.0,100.0,2503.0,41.935,43.548,14.516,62.0,41.27,44.444,14.286,63.0,B01,A10,A22,A04,0.096,0.596,0.288,0.182,0.764,0.036,255.0,45.04,20988.0,2801.0,2781.0,2769.0
Doyoulikeourowl,45.0,49.0,6.0,100.0,1088.0,52.381,47.619,0.0,63.0,46.774,48.387,4.839,62.0,D00,A40,C25,C15,0.323,0.274,0.371,0.367,0.317,0.3,264.0,45.07,571.0,1353.0,1342.0,1259.0
RYis-strong55,50.0,46.0,4.0,100.0,1959.0,49.18,40.984,9.836,61.0,45.312,46.875,7.812,64.0,A40,B20,A80,A43,0.254,0.441,0.288,0.218,0.6,0.145,274.0,45.02,4629.0,2254.0,2192.0,2159.0
Vladimir163,57.0,37.0,5.0,100.0,1872.0,63.077,35.385,1.538,65.0,45.0,48.333,6.667,60.0,B12,B32,D00,B07,0.25,0.485,0.25,0.038,0.327,0.635,397.0,45.07,1916.0,2428.0,2291.0,2253.0
Seano82,52.0,44.0,4.0,100.0,1400.0,53.125,42.188,4.688,64.0,50.82,49.18,0.0,61.0,C00,C02,C24,C20,0.354,0.446,0.169,0.281,0.421,0.281,231.0,45.0,3783.0,1538.0,1532.0,1527.0
Kipper583,44.0,50.0,6.0,100.0,1731.0,46.774,48.387,4.839,62.0,30.159,60.317,9.524,63.0,D00,C55,C20,C07,0.229,0.521,0.188,0.279,0.676,0.044,522.0,45.15,1449.0,1909.0,1908.0,1902.0
D090908,41.0,57.0,1.0,100.0,954.0,44.776,53.731,1.493,67.0,37.931,60.345,1.724,58.0,C44,C45,B06,B12,0.404,0.385,0.212,0.127,0.197,0.634,228.0,47.21,236.0,1174.0,1159.0,1151.0
Iak_wi,53.0,46.0,1.0,100.0,1380.0,35.484,62.903,1.613,62.0,44.444,53.968,1.587,63.0,C21,C41,B07,C25,0.3,0.5,0.16,0.192,0.644,0.11,304.0,45.03,24985.0,2174.0,2153.0,2152.0
liuyichen1314,50.0,25.0,25.0,4.0,1443.0,0.0,50.0,50.0,2.0,100.0,0.0,0.0,2.0,D06,C47,D06,B00,0.5,0.5,0.0,0.0,0.0,1.0,729.0,173.55,4.0,0.0,0.0,0.0
BomTombadil95,56.0,39.0,5.0,100.0,1419.0,53.125,43.75,3.125,64.0,47.541,47.541,4.918,61.0,B01,C44,B06,B50,0.254,0.429,0.286,0.404,0.421,0.14,243.0,45.01,961.0,1469.0,1462.0,1460.0
TB_Aktham,53.0,39.0,8.0,100.0,2202.0,46.032,46.032,7.937,63.0,43.548,51.613,4.839,62.0,B13,B50,nonStandard,B08,0.214,0.536,0.25,0.115,0.689,0.197,290.0,55.39,987.0,2407.0,2332.0,2329.0
benja22,49.0,47.0,4.0,100.0,1512.0,46.032,52.381,1.587,63.0,46.774,48.387,4.839,62.0,C50,D02,B07,C55,0.276,0.466,0.207,0.286,0.333,0.317,523.0,45.27,9031.0,2140.0,2007.0,1967.0
Vhannnskie,53.0,42.0,5.0,100.0,1271.0,57.143,36.508,6.349,63.0,51.613,41.935,6.452,62.0,A04,B10,B01,D10,0.382,0.441,0.132,0.245,0.551,0.204,311.0,46.21,203.0,1337.0,1293.0,1291.0
AntoineUR,66.0,33.0,0.0,9.0,1442.0,36.667,56.667,6.667,60.0,52.308,47.692,0.0,65.0,B20,B30,A01,B27,0.411,0.375,0.196,0.4,0.323,0.262,257.0,58.19,1062.0,1624.0,1595.0,1593.0
o000wins,45.0,52.0,3.0,100.0,1646.0,52.459,44.262,3.279,61.0,37.5,60.938,1.562,64.0,C00,A40,B12,C24,0.232,0.536,0.196,0.348,0.47,0.136,222.0,45.1,4859.0,1846.0,1844.0,1841.0
MjLight,0.0,75.0,25.0,12.0,986.0,50.0,48.276,1.724,58.0,46.269,53.731,0.0,67.0,B10,A40,A02,B27,0.417,0.433,0.117,0.047,0.562,0.359,333.0,51.44,1454.0,1306.0,1296.0,1294.0
Lentilator,55.0,40.0,5.0,100.0,1828.0,60.938,34.375,4.688,64.0,47.541,49.18,3.279,61.0,nonStandard,B01,C46,B15,0.265,0.309,0.397,0.154,0.327,0.423,267.0,45.06,20804.0,2398.0,2367.0,2355.0
Sasha07183,50.0,47.0,3.0,100.0,937.0,48.333,43.333,8.333,60.0,41.538,53.846,4.615,65.0,C20,B01,B20,C45,0.357,0.411,0.179,0.475,0.459,0.066,319.0,46.74,379.0,1282.0,1276.0,1258.0
didierchavat,49.0,50.0,1.0,100.0,1894.0,41.935,54.839,3.226,62.0,50.794,44.444,4.762,63.0,B20,B30,B22,D55,0.276,0.448,0.241,0.177,0.548,0.274,251.0,45.0,23293.0,2161.0,2150.0,2146.0
Pepsi1977,50.0,25.0,25.0,12.0,1384.0,42.623,45.902,11.475,61.0,50.0,45.312,4.688,64.0,D00,C22,C70,C23,0.362,0.466,0.172,0.807,0.175,0.018,411.0,56.08,865.0,1569.0,1559.0,1547.0
Rezakh1281,41.0,55.0,4.0,100.0,1753.0,43.939,51.515,4.545,66.0,40.678,54.237,5.085,59.0,C50,C44,D53,C22,0.434,0.34,0.208,0.242,0.348,0.212,248.0,60.82,2326.0,2188.0,2181.0,2178.0
erick-28,55.0,42.0,3.0,100.0,1523.0,57.143,39.683,3.175,63.0,43.548,50.0,6.452,62.0,B10,C44,A06,B27,0.302,0.46,0.206,0.125,0.875,0.0,213.0,45.18,10833.0,1869.0,1833.0,1813.0
DXDinhHoangLan,0.0,100.0,0.0,1.0,670.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,C40,,C40,,0.0,0.0,0.0,0.0,0.0,1.0,349.0,279.89,1.0,0.0,0.0,0.0
OllieParker,83.0,13.0,3.0,90.0,1264.0,29.825,68.421,1.754,57.0,26.471,70.588,2.941,68.0,C00,A04,A18,C15,0.4,0.171,0.314,0.667,0.023,0.241,143.0,71.25,369.0,1989.0,1977.0,1977.0
Paul_j_p,100.0,0.0,0.0,3.0,1157.0,0.0,0.0,0.0,0.0,33.333,66.667,0.0,3.0,C45,B20,C45,B20,0.0,1.0,0.0,0.5,0.5,0.0,392.0,201.93,3.0,0.0,0.0,0.0
Arminsaei,50.0,47.0,3.0,100.0,1812.0,55.556,41.27,3.175,63.0,45.161,53.226,1.613,62.0,B30,D30,B33,D37,0.206,0.508,0.27,0.271,0.695,0.034,332.0,48.37,4686.0,2252.0,2078.0,2001.0
tgoldar,47.0,44.0,9.0,100.0,1334.0,48.387,43.548,8.065,62.0,47.619,44.444,7.937,63.0,D02,A40,C48,D31,0.25,0.5,0.2,0.182,0.673,0.145,594.0,45.87,984.0,2066.0,1510.0,1444.0
Mikhailtaldonordeste,49.0,48.0,3.0,100.0,1886.0,55.932,38.983,5.085,59.0,53.03,43.939,3.03,66.0,C00,A40,E76,A45,0.309,0.397,0.265,0.096,0.75,0.135,251.0,45.03,9031.0,2514.0,2432.0,2410.0
SnikendeSilkehai,36.0,56.0,8.0,100.0,1672.0,48.333,43.333,8.333,60.0,33.846,61.538,4.615,65.0,D00,A40,D30,D10,0.216,0.373,0.392,0.545,0.061,0.394,300.0,45.74,3145.0,2102.0,2010.0,1942.0
devkumarsjktampang,50.0,50.0,0.0,12.0,1154.0,35.443,59.494,5.063,79.0,56.522,39.13,4.348,46.0,nonStandard,B00,A01,B07,0.278,0.463,0.241,0.415,0.585,0.0,226.0,76.53,447.0,1416.0,1251.0,1243.0
SKAYFACE22,34.0,62.0,4.0,100.0,855.0,34.146,63.415,2.439,41.0,33.333,63.889,2.778,36.0,B20,D00,B10,A43,0.654,0.269,0.038,0.163,0.592,0.184,262.0,51.96,76.0,1135.0,1131.0,1118.0
atanatos70,43.0,56.0,1.0,100.0,1575.0,52.459,45.902,1.639,61.0,43.75,53.125,3.125,64.0,A00,nonStandard,C46,A41,0.2,0.383,0.4,0.323,0.129,0.306,265.0,78.91,540.0,2430.0,2255.0,2232.0
wgwmwn,25.0,75.0,0.0,4.0,1507.0,0.0,100.0,0.0,2.0,50.0,50.0,0.0,2.0,A40,A00,B01,A40,0.0,1.0,0.0,0.667,0.333,0.0,221.0,173.69,4.0,0.0,0.0,0.0
AValko,47.0,50.0,3.0,100.0,1940.0,61.905,31.746,6.349,63.0,41.935,53.226,4.839,62.0,B20,B33,A35,B33,0.246,0.446,0.308,0.17,0.566,0.245,250.0,45.06,6024.0,2212.0,2172.0,2158.0
dragontest,47.0,47.0,6.0,100.0,1726.0,52.459,42.623,4.918,61.0,45.312,46.875,7.812,64.0,D00,A40,A04,A11,0.164,0.475,0.311,0.071,0.786,0.143,246.0,45.55,7601.0,2009.0,1974.0,1954.0
jch-77,0.0,100.0,0.0,4.0,933.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,3.0,A41,C41,A41,C41,0.0,0.0,0.0,0.5,0.0,0.5,506.0,143.16,6.0,0.0,0.0,0.0
hotgrabber,50.0,48.0,2.0,100.0,1995.0,50.82,44.262,4.918,61.0,43.75,50.0,6.25,64.0,D02,A40,A50,B13,0.136,0.508,0.356,0.237,0.441,0.169,252.0,45.04,7890.0,2264.0,2238.0,2211.0
Max-Foreva45,46.0,54.0,0.0,100.0,1317.0,50.0,46.97,3.03,66.0,52.542,47.458,0.0,59.0,C40,C50,C30,B53,0.281,0.516,0.156,0.305,0.475,0.203,495.0,45.91,331.0,1484.0,1434.0,1433.0
donlulas_23,56.0,39.0,5.0,100.0,2195.0,65.079,31.746,3.175,63.0,51.613,48.387,0.0,62.0,C70,A80,C68,C37,0.233,0.411,0.329,0.08,0.46,0.36,262.0,45.31,26955.0,2502.0,2494.0,2481.0
oivlisatacil,42.0,52.0,6.0,100.0,1593.0,41.27,50.794,7.937,63.0,38.71,58.065,3.226,62.0,A40,D00,A10,A54,0.3,0.58,0.12,0.147,0.441,0.412,393.0,45.24,1205.0,1868.0,1850.0,1849.0
OT_99,81.0,18.0,0.0,33.0,1362.0,53.846,44.615,1.538,65.0,43.333,53.333,3.333,60.0,C44,B01,B70,C79,0.246,0.525,0.18,0.098,0.377,0.492,573.0,51.53,642.0,1815.0,1773.0,1769.0
Razendepion,46.0,45.0,9.0,100.0,2253.0,49.206,44.444,6.349,63.0,46.774,43.548,9.677,62.0,B06,A00,E90,B70,0.15,0.567,0.283,0.127,0.582,0.273,426.0,45.12,21357.0,2585.0,2577.0,2534.0
Shell444,46.0,49.0,5.0,100.0,1550.0,45.161,48.387,6.452,62.0,46.032,49.206,4.762,63.0,B01,C20,E61,A45,0.333,0.439,0.228,0.148,0.656,0.197,295.0,56.44,1102.0,1792.0,1790.0,1785.0
Jogy1981,49.0,45.0,6.0,100.0,1088.0,47.458,45.763,6.78,59.0,48.485,46.97,4.545,66.0,D00,A40,A41,A01,0.3,0.5,0.2,0.224,0.241,0.534,348.0,45.01,2511.0,1309.0,1305.0,1304.0
EduardBabayan,37.0,62.0,0.0,87.0,1863.0,36.364,63.636,0.0,22.0,59.091,40.909,0.0,22.0,B20,C55,D96,C50,0.333,0.571,0.095,0.043,0.652,0.304,293.0,65.03,44.0,2130.0,2058.0,2041.0
sammyelliott,55.0,37.0,8.0,100.0,1469.0,52.381,44.444,3.175,63.0,51.613,38.71,9.677,62.0,D00,C41,B01,A03,0.477,0.4,0.108,0.442,0.308,0.212,368.0,45.16,5562.0,1699.0,1686.0,1619.0
HEXLET_2024,46.0,52.0,2.0,100.0,1792.0,44.262,52.459,3.279,61.0,45.0,50.0,5.0,60.0,A40,B01,B12,A34,0.259,0.315,0.389,0.129,0.645,0.226,241.0,48.66,121.0,1939.0,1927.0,1921.0
yehiaib,39.0,56.0,4.0,100.0,917.0,48.387,50.0,1.613,62.0,38.095,57.143,4.762,63.0,C20,A00,D00,A05,0.278,0.463,0.259,0.239,0.522,0.224,410.0,45.07,435.0,1162.0,1110.0,1105.0
rachid-btta,16.0,83.0,0.0,18.0,1222.0,47.273,52.727,0.0,55.0,51.429,48.571,0.0,70.0,B10,B00,D06,E90,0.452,0.387,0.129,0.111,0.175,0.651,282.0,64.95,634.0,1712.0,1529.0,1369.0
Spaeter,55.0,38.0,7.0,100.0,1966.0,50.82,44.262,4.918,61.0,54.688,34.375,10.938,64.0,B50,B20,C65,B22,0.212,0.606,0.152,0.061,0.469,0.408,248.0,45.06,12094.0,2491.0,2437.0,2427.0
skiselimixli,54.0,45.0,1.0,100.0,1008.0,66.129,32.258,1.613,62.0,38.095,61.905,0.0,63.0,C44,B10,C20,B40,0.369,0.462,0.123,0.119,0.407,0.458,568.0,45.58,1173.0,1356.0,1257.0,1199.0
furia79,47.0,47.0,6.0,100.0,1340.0,51.613,43.548,4.839,62.0,55.556,38.095,6.349,63.0,C42,C40,C24,A06,0.284,0.463,0.209,0.569,0.255,0.137,236.0,45.03,19820.0,1602.0,1585.0,1581.0
mohammadrezanaghimar,53.0,43.0,4.0,100.0,1638.0,56.923,40.0,3.077,65.0,46.667,51.667,1.667,60.0,C42,B01,B13,C47,0.262,0.508,0.2,0.351,0.439,0.211,237.0,45.81,573.0,1736.0,1731.0,1704.0
T3di,46.0,52.0,2.0,100.0,1308.0,52.459,47.541,0.0,61.0,46.875,48.438,4.688,64.0,B06,C34,C31,A53,0.339,0.419,0.21,0.117,0.45,0.4,386.0,45.1,505.0,1463.0,1440.0,1428.0
Baruch_Valenzuela,30.0,70.0,0.0,30.0,1175.0,60.714,32.143,7.143,28.0,28.0,72.0,0.0,25.0,B10,C30,C36,B06,0.375,0.167,0.292,0.37,0.296,0.296,361.0,54.31,53.0,1313.0,1227.0,1225.0
leopasache1,55.0,45.0,0.0,100.0,1983.0,48.387,45.161,6.452,62.0,49.206,47.619,3.175,63.0,B15,B10,D35,nonStandard,0.295,0.328,0.344,0.259,0.328,0.414,314.0,46.77,1063.0,2258.0,2246.0,2183.0
GerryBriggs,53.0,38.0,9.0,100.0,2122.0,56.923,30.769,12.308,65.0,45.0,46.667,8.333,60.0,B01,B21,C50,C23,0.312,0.359,0.312,0.062,0.833,0.104,264.0,45.0,1853.0,2332.0,2322.0,2315.0
Kirill134,55.0,39.0,6.0,100.0,984.0,46.032,47.619,6.349,63.0,53.226,43.548,3.226,62.0,C20,C00,D01,B02,0.29,0.516,0.177,0.193,0.649,0.088,473.0,45.16,687.0,1505.0,1373.0,1351.0
Batilmok,48.0,50.0,2.0,100.0,1718.0,50.0,50.0,0.0,62.0,42.857,50.794,6.349,63.0,B10,C00,A45,D30,0.259,0.448,0.241,0.079,0.365,0.556,277.0,45.15,23744.0,2133.0,2112.0,2107.0
Ziad8200,45.0,52.0,3.0,100.0,1632.0,42.857,49.206,7.937,63.0,46.774,53.226,0.0,62.0,C23,C20,B02,A50,0.304,0.339,0.232,0.312,0.219,0.344,403.0,45.02,7147.0,1944.0,1934.0,1929.0
Acexe,38.0,59.0,3.0,100.0,1343.0,51.613,46.774,1.613,62.0,50.794,46.032,3.175,63.0,A00,C00,A06,B00,0.266,0.297,0.406,0.31,0.241,0.414,282.0,45.11,1382.0,1597.0,1593.0,1586.0
Ssokolov79,41.0,59.0,0.0,100.0,1462.0,46.774,50.0,3.226,62.0,41.27,52.381,6.349,63.0,B06,C41,B08,A10,0.382,0.473,0.109,0.234,0.484,0.266,358.0,45.09,2822.0,1857.0,1857.0,1815.0
jairdomingues,49.0,49.0,2.0,100.0,2019.0,49.206,46.032,4.762,63.0,46.774,51.613,1.613,62.0,B40,D37,D94,D10,0.2,0.467,0.283,0.066,0.59,0.328,407.0,45.22,854.0,2225.0,2221.0,2185.0
Sultik92,41.0,56.0,2.0,100.0,1551.0,45.312,53.125,1.562,64.0,36.066,60.656,3.279,61.0,C23,C40,C50,C01,0.314,0.314,0.333,0.451,0.127,0.183,231.0,85.95,320.0,1770.0,1737.0,1735.0
