user_id,is_blitz
biroa2,0
MEX_99,0
KarlNapf,0
SantiagoXD18,0
rafallbn1981,0
mohamadali4141,0
Sboopy,0
lSil2ntl,0
Nomerindo,0
Miroslav_2015,0
AnceV,0
wapple,0
NoamAterDatz-22,0
OXY6EN,0
Dr_thunderfire,0
Abdosallam,0
BeatComber08,0
hussain-ishaq,0
ibrahimov882,0
hamzatabanja,0
cremant5,0
HD365,0
Montezuma24,0
eibbor,0
StefanDorin,0
manuel2410,0
soytuamigoroberto,0
Yawi1000,0
Alex29052018,0
DanimalCracker,0
abdalsla,0
BadInfluence96,0
equinoxe1818,0
pEKinEs08,0
Basti_Fantasti,0
iamhereforyoubaby,0
AZLO_1,0
mdaCP,0
JesusOC,0
Walsur,0
Faith_Duhat,0
ali1626,0
mohammadsamni,0
Ch_KorkurT,0
itzz_fazl,0
yxkoh,0
canata345791,0
mhdradi,0
xba369555,0
Bolikov_Aleksandr,0
Aisuran,0
baguioasafriend,0
TutankamonXXX,0
OncleSi,0
Nunofurbizniz,0
KhabirKhan,0
blackjakson,0
palasara,0
chosenegwim,0
chessizkool,0
spiderlily8,0
abhi_ab,0
mohammed_kobesi,0
ChessBishop456,0
JesusQuispe,0
TomRipple,0
Igor_and_Shishikin,0
Polynaikes,0
Tandar_best,0
silvio1975,0
macaque_i,0
LaFuria,0
ArsalaLev,0
ILda50,0
Frogandtoadrfriends,0
StaniclavGol,0
Rigel806,0
Elik62,0
void8,0
Opossum_Yo,0
Therooklift,0
SABBEugeneX,0
Massimissa50,0
Okky_LCKB,0
David3006miu,0
parimah_93,0
Saher_Alheraki16,0
Cheens,0
Dinurisp,0
erctal,0
Mohammedalwazzan,0
juankasfma,0
cartergchess,0
Jason_royyyyyy,0
tester72,0
ismaelmartinez,0
helloworld33,0
AidarGasanov,0
StoneWolf1992,0
racnela_br,0
billyidolguitar,0
GeneralIro,0
AReallyColdMatty,0
Black_Rider_841994,0
tusharkanojia23,0
Yezhovskiy,0
MightyPotter,0
angry-grandma,0
lj17_Zolee21,0
These_men_are_pawns,0
Khez11,0
jindsama,0
race73,0
SHERLOCKEDDDDD,0
katakuri4life,0
peoncaballorey,0
rahman13600,0
Jasper_0212,0
Ganpy,0
Maximfm,0
koalamouse,0
TorresEnSeptima,0
Migo5703,0
barthebarbarian,0
titech,0
DrGregoryHousee,0
WhooopsMyBad,0
WB2019,0
FrancescoCampo,0
Wight-King,0
AnandRex,0
kaldkdss,0
duongchimto,0
neonclouds,0
Quvonchbek_7,0
Fertizis,0
spartacusmills,0
jakubkondratiuksp33,0
lhoelhahaha,0
lends,0
muhhuzarin2001,0
Alberto50,0
BessonovYuriy,0
steveharmon,0
ramitapio,0
Ozone1,0
JMackenzie,0
speedrun63,0
Goldstrid3r,0
koopa41,0
masteralhan,0
kuzeytatlidil,0
DARKPRINCE24245521,0
Rioja47,0
Lasnico21,0
Linda_66,0
da_na,0
Berkay_Akova_10_9,0
ChessOpening14,0
Coolansh,0
Mark11081492,0
Ctvty,0
pvpdeajedrezjijij,0
zSBERz,0
antonsgau,0
Chernikov-Miroslav,0
Lelouch008,0
EKHdoyle,0
Raimon_campeon,0
StoBodaKatja,0
Makar_IB,0
CoronationJr,0
philly0505,0
Lyjlyj,0
PRISaaMKE,0
Vf2805,0
Cinzia,0
Anatolii1966,0
bharadwajj1729_v4,0
wholelottaleverage,0
eruhan,0
Saishravan2023,0
Aldim15,0
mehmeteyvaz,0
Gold_0,0
alaacherouana,0
elphomega,0
ESTRELLASUPER,0
AlexeyRos,0
Rsuveer,0
Rabo-Karabekian,0
kanz8o,0
wwvargas,0
SYRIAN11,0
Rainers2ooo,0
romildojuliano,0
AnthonyAL,0
apelsinkaaaaa,0
Siberkaan,0
KSF04,0
Mantequilla18,0
morteza13383,0
benguela2019,0
mikidkno,0
Ivan8486,0
Vecccctor,0
PrckoNutrient,0
Gurujithegeat123,0
misterpaolino,0
JoseCamero,0
manonthem00n,0
Mykull21,0
drkavorkian,0
Karl58,0
NurseGladys,0
dingisking,0
Burcin_22,0
Sofia_Andreeva,0
viktor2005,0
zhmurkot,0
Pedr_oBALA,0
Denis98888,0
vasasy09,0
MansLight777,0
FrogLegs500,0
Narayan1998,0
AB2,0
Alexandra_Sapogova,0
Jaysuper777,0
rgmagpantay,0
alex2015antonov,0
deandk786,0
reddotblue,0
