user_id,is_blitz
CFTdosang2013,1
Derrick-2012-dsg,1
TaskerBliss,1
BorisVaps2017,1
Shivanisajith,1
Ilichrich,1
svetly79,1
Clark1994,1
RealMaxie,1
zwizenzug69,1
iamawk,1
manish606,1
overhet00,1
joseMF,1
DavidWag13,1
Messi_01,1
AIDOS_MAGRAMOV,1
GMKopanolvsky,1
DanCheess,1
Sandy27,1
bebra2101,1
tritonyeah666,1
boulziboulz,1
brianheno,1
Wolkhard,1
Groowl,1
Hummer707,1
Moe_dian,1
scottfine,1
chessmayhem4,1
Alex13_2,1
gigiproiettili1,1
Cahuba,1
DonPatzo,1
mahesh2222,1
mahirrrrrrr,1
kemz,1
Blooody11,1
J_Carlos41,1
omaraboushady,1
stoemn,1
serkankorn,1
Abdrev,1
gggDAD,1
Nautilus_20,1
Salarin_Trauerweide,1
MCBogdan,1
ahadjon_1345,1
Maxim104k,1
Tmannion,1
suryono,1
cxlxred,1
OscarBCN,1
BennyB_85,1
Julioo11,1
gsululu,1
vikrantkumarnag,1
yaseralhmsy,1
Saidbir83,1
Hermau,1
hazard-draxler,1
P00i,1
Paddlepop19,1
Zen361,1
vsablin,1
Rigpaaa,1
roymirza,1
BWR23,1
neonbrandy,1
Yall65,1
etwepa,1
ajp_2121,1
kasinihi06052018,1
chessbeginner1915,1
slippper,1
Killbill82,1
Beerchess701,1
danivi87,1
ariefirman,1
sinanakinal,1
bakaldineu,1
Ryou_Chess,1
thomasmuller,1
GlukMailRu,1
kreuselbart,1
MagicznyKrzysztof,1
dzhrt,1
ancalagon2O,1
DD1966,1
Oleg717,1
julitx-matt,1
Kvitko_Artem_Irk,1
BubRuss,1
MityshevS,1
BR300,1
gigaletts,1
oopopopop,1
schoenwetter,1
nilofeyalegria2,1
ermamuuu,1
Old_Zockerhand,1
Greenbecker,1
Rajat0058,1
lilHadTo,1
sergior2021mai,1
Dirk_Aurora_69,1
Jefrinichol,1
vRux,1
kozol12,1
Dasoa,1
slaheddinegrari,1
SatyamBaranwalSono,1
denzl8s,1
Marley39,1
byhongsuna,1
Vadin-Abraham,1
SpikeLeesSon,1
hingustringus,1
Erickaroche0206,1
apurba1998,1
VytenisN,1
VictorAlvarezKramp,1
LotteW,1
NoneTooSmart,1
eslam92,1
chess15310,1
iron-mouse,1
you_have_no_chance1,1
NokoShikanokotan,1
burakalt1n,1
ChampignonKa,1
jupeterus,1
notnix,1
alexrussia,1
Josue_pm,1
kraftwladwas,1
JuanALO,1
OopsPawn,1
Lechia_Pawel,1
Igo999,1
tanvikasri1,1
Carlos_amilkar,1
cnzek,1
igor-romeo,1
aliaramod,1
MIRHS,1
Volodymyr_Titorenko,1
BHbarny,1
Marat77777,1
PixlE4,1
Mahmoud-Darwech,1
entrocar,1
arkadiusznl71111,1
bdinman,1
dansummers39,1
oetunes,1
brisivan,1
OSIKHENA,1
Rajendrakaithal,1
iamsiroos,1
casualnoobie,1
Sumarja,1
Mahmut_15685,1
morris13,1
omarhosam991,1
Bauer100,1
gurzil23,1
R_99EZA,1
AstroRocky,1
lanzingerfe,1
seif-mostafa,1
Ulmas,1
Oshakatiking,1
hec4tus,1
Jerphaas,1
HijodeSatanas,1
ABOMOMEN22,1
dsyscii,1
glenndronach,1
Abdelrhman_A7hmed,1
RisavDutta,1
Ram_008,1
GFHKB,1
MATEONADAL,1
Achaean21,1
pradeepkhedkar13,1
bobbydatome,1
Ayanokouji_Kyotaka0,1
Primaris_massage,1
ElMather,1
ulanav,1
rowibowi,1
hype1998,1
ItzNotPaul,1
Bezimen,1
theobofsoul,1
arwess,1
joficial506,1
artem_ks,1
hbadawy,1
semyonMo,1
gluhido,1
amaar287,1
OLEG-TOV,1
JohannesAum,1
Garygoals84,1
Sheff26,1
Ramazan1986,1
EmmanuelPaulino23,1
pcodefinal,1
renatomartin,1
Katakuuri,1
NeyroCyberTronic,1
TAK_UNYENG_UNYENG,1
dejati,1
ohca10,1
Medion-26,1
kentaron,1
UFA7229,1
Daniil_not_grandm,1
gggalan1,1
Conny_HH,1
FrankSilbestreESAN,1
Shri2627,1
Ranshau,1
sanmz,1
Osleif,1
dogya,1
rakibalhsn,1
nero_ll,1
Ryade73,1
Bearman731,1
tisoy1213,1
justice0787025053,1
adelmn,1
gsayed,1
schipholairport,1
Stokilo3,1
Mastodonte1,1
Ghost_capi,1
Fecla,1
RunninClam,1
hakandemir46,1
ninazayats1211,1
torin69,1
Jorgecotilla,1
JeanJMustapha,1
Acmat,1
brunoalebrg,1
Batgirl25,1
Abdulhalimsiagian,1
Mckarakisssss,1
StumpDunkis,1
Awolane,1
LamDang,1
zaha60,1
homemcapivara,1
kakuvip,1
Antykruchy,1
GeorgeOsorio,1
RoninHaider,1
jc1776,1
Geekaos,1
JordyxD,1
Brandito,1
abdullah_xyz,1
Strongo,1
Sk4di,1
T1P0K01,1
rudica001,1
LyokoS,1
krisshanuuuuu,1
Diuna1,1
BeyazBarett,1
mukundaharitasa,1
anghelokodi321,1
xxx15xxx,1
MLOK_LY,1
srg_peper,1
ZuesB,1
brain-game,1
UnoDosChess,1
kadri85,1
aqueo01,1
turkislaw,1
Elvisi92,1
tenport,1
alex252525,1
gtdjj,1
Fin4er,1
KilluaZoldyc,1
Tobeornot_77,1
HariharaManickam,1
doza123,1
deiorojo,1
Jake-S-30,1
Ksana64,1
IamBelphegor,1
davidgrjm5,1
bonniemckee,1
avokado7,1
Yours_arnav,1
ViktorD1979,1
Grischa72,1
Mordpion,1
Aristos1,1
tanisingh2004,1
Supadhy,1
Abdulov023,1
oceanarcher,1
ActuallyTonyHawk,1
maxy29,1
Bo3li,1
hivhiv,1
Subhalok123,1
GlobalElfe,1
Ikarod12,1
Honorable1,1
ahhelmy74,1
Harashe,1
JaraMate,1
p0lunin,1
Grasmester090,1
rezoner,1
Rubick2023,1
playLicht,1
pka2021,1
Ferchomanlamaquina,1
MASTER_METAFORS343,1
Nikolaur5,1
alkxs,1
BigJoe30,1
sarduvan,1
alfredmungalaba,1
PASCALMADU7,1
milooo1,1
wladiseen,1
B_Georgiev,1
SanSanych91,1
lopuz,1
Millan27q,1
AlbertoM123,1
EducatedSquirrel,1
Ychun,1
mainincatur,1
toonovitch,1
sasa12345678k,1
MlungisiBhengu,1
ZidanFa_SR,1
IsaacFranco,1
Whichisnot,1
aibekkasymaliev,1
BigTy,1
Always_check_m8,1
Alexsuper,1
dangrs,1
petualangcinta,1
Ambiguous_M,1
Joleal_22,1
Shiji,1
Soheil2003,1
Elkant,1
Hellbender45,1
KosmischeEule,1
Id-ris,1
MarcelinoAJ_UNTELS,1
joeyrh,1
shree2211,1
michalloswar,1
Ril14,1
Segundel_Setan,1
zizorex,1
santhoshhhhh,1
Artan1976,1
Idiologue,1
Mudaris,1
Nikcos,1
King_Hunty,1
Rambo582,1
Daksh_Kaushik_0421,1
Hvnd3m4ler,1
Ledi007,1
RooksOn7th4TheWin,1
nomin2008,1
kartal_all,1
petroder58,1
yayce,1
Rom2020,1
THE-KEJ,1
mehrdadnavarchi1,1
Chess_Tarjei,1
LittleEalf,1
Monsieur_Stockfish,1
radiakMoto,1
birdy5205,1
pushpakumar86,1
White_Bars_228,1
DougCheckmate,1
arobert1997,1
kodomagi,1
AbdAllahBa,1
KalEl1905,1
bobodic,1
nimish1710,1
Nofunawo,1
Arseny1583,1
bleu35,1
moris64,1
erwboys22,1
ThisNameIsAlreadyInU,1
darklord241104,1
bushkovich,1
Balaji_Biswas1,1
Gambito3,1
tipe46,1
ItsMeNotMario,1
saeedkhabazsirjani,1
Max_2hot4U,1
Stasek0,1
SKOwenDefence,1
fuad_alshareef,1
deeptrick,1
ALPHABETIC,1
siemamen7,1
kinuhazard,1
aboaya11,1
torniaccent,1
coolkidofdeath,1
Prayank7,1
nikodimmm,1
uz1991,1
vedlad1,1
virtualmjr,1
miroslavjambrich,1
WAROL52,1
andrey1604,1
ankitsingh1998,1
Baurzhan87,1
milan24,1
Mkarwa77,1
Vigen2019,1
Agiotage,1
Abdullakhalifa,1
MaryelKoran,1
diosdajl,1
yosah,1
fantasticfamily_4rsu,1
Susan1957,1
Ajerifoz,1
santi1965,1
Xav18,1
INotGoodAtChessAtAll,1
cweiss,1
odysyus,1
Wym_01,1
Obbbb,1
Ahmed_Alezaby1,1
Shailpawar,1
jurgengjonaj1996,1
Temasonichess,1
taram1989,1
AndreyZheleznov,1
florin-oleg,1
Abdullah_9,1
ucansuperman,1
Nawaking,1
scorpion1988c,1
seanfosse,1
ninerock,1
altais1983,1
rcbaker,1
Berthold1976,1
jazpefer,1
cz2,1
ali_wael13,1
bigkev,1
ferleygarcia,1
tomyking17,1
masood1349,1
ELPODERIO,1
otobo,1
Shgan,1
JustTudor,1
MaykthePayk,1
call_to_know,1
Koenigsattacke,1
schach61,1
bennisez,1
Toms0817,1
yousef_habibi12,1
Elobuike,1
bekkett,1
edgarvelasco05,1
mhilli2021,1
jccapetillor85,1
He-reigns,1
JM_29,1
oskayyyy33,1
yalcina,1
Djerdji,1
ReiseReise,1
xepod,1
JVallejos,1
Enesustaca01,1
Viny911,1
Sulimanmpc,1
vucic,1
duarte-gouveia,1
tanjung13999,1
mani28786,1
sunsetz,1
rpn85,1
HerrTulpe,1
wq1a,1
JustCantWin,1
nafas1392,1
IvanRhn,1
saad2222,1
MagnusCarlsonNorway,1
QuantumEnPassant,1
bbrain2000,1
olacydr,1
Harivathsha,1
