user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Blackpanther544,100.0,0.0,0.0,3.0,1638.0
Arafatt00,26.0,68.0,5.0,57.0,1562.0
Maksim_Tkachuk,33.0,66.0,0.0,18.0,1552.0
kleverr,58.0,41.0,0.0,51.0,1598.0
TooSlooow,44.0,50.0,6.0,100.0,1528.0
andresperez0000,52.0,47.0,1.0,100.0,1842.0
AMVP1387,54.0,44.0,2.0,100.0,785.0
KaeptnSchleeel,47.0,42.0,11.0,100.0,2360.0
Sharova_Anastasia_52,44.0,48.0,8.0,100.0,1824.0
i-am-russian-machine,73.0,26.0,0.0,30.0,1748.0
artem1996art,57.0,40.0,2.0,100.0,1423.0
PSlinochess,46.0,50.0,3.0,78.0,1276.0
AndreaAmodeo,52.0,47.0,1.0,100.0,1252.0
wackeldackel,49.0,46.0,5.0,100.0,1885.0
LeroyMC,40.0,40.0,20.0,10.0,1829.0
Alaattinturkan,37.0,53.0,10.0,100.0,1662.0
VioneRp,42.0,54.0,4.0,100.0,1668.0
luisfabian2010,56.0,43.0,1.0,100.0,1991.0
Haxhar911,45.0,50.0,5.0,100.0,1572.0
bchan286,45.0,48.0,7.0,100.0,1752.0
RayChess87,37.0,62.0,0.0,24.0,1239.0
Valera42rus,51.0,47.0,2.0,100.0,1482.0
Thecleanghost,100.0,0.0,0.0,3.0,867.0
Anshouman17,13.0,86.0,0.0,38.0,1102.0
Tanksbananasplit2016,45.0,51.0,4.0,100.0,1897.0
Shensei54321,51.0,39.0,10.0,100.0,2514.0
Becodev,42.0,46.0,11.0,78.0,1557.0
Enz1to_Rosso,43.0,52.0,5.0,100.0,1468.0
ajaelani098,32.0,64.0,4.0,100.0,1443.0
Enecharla_14,8.0,83.0,8.0,36.0,745.0
walledahmedazab76,52.0,44.0,4.0,100.0,1274.0
arlutz,0.0,100.0,0.0,3.0,2453.0
daiverokii,34.0,53.0,11.0,78.0,1942.0
hruickbe,37.0,47.0,16.0,100.0,2121.0
sbs_75,50.0,45.0,5.0,100.0,1948.0
Sky_shot,66.0,33.0,0.0,18.0,1507.0
Navarra2,51.0,43.0,6.0,100.0,2063.0
Dr_Sammy,50.0,46.0,4.0,100.0,1400.0
junaidfh,50.0,46.0,4.0,100.0,1342.0
antonicolin00777,49.0,46.0,5.0,100.0,1901.0
RugvedT,55.0,36.0,9.0,100.0,1491.0
sigitfebrianto,53.0,45.0,2.0,100.0,1557.0
prestige_67,51.0,43.0,6.0,100.0,1795.0
Jessicanigripink,46.0,51.0,3.0,100.0,1222.0
regicide101,47.0,46.0,7.0,100.0,1694.0
Lordharrywise,71.0,14.0,14.0,21.0,1974.0
caffreyneal2590,48.0,46.0,6.0,100.0,1404.0
MARIK13052018,0.0,100.0,0.0,6.0,1094.0
nickanyways,33.0,66.0,0.0,9.0,1500.0
dcmikhaylov,46.0,49.0,5.0,100.0,1667.0
Wirklich123,41.0,58.0,0.0,51.0,1408.0
StiIIearning,42.0,56.0,2.0,100.0,1417.0
MusaWien,0.0,100.0,0.0,6.0,1115.0
Galaxia37,50.0,44.0,6.0,100.0,1925.0
DuongTop1,56.0,41.0,2.0,100.0,2110.0
dhairyadixit_125,46.0,50.0,3.0,78.0,1875.0
Luis_XXIII,52.0,47.0,1.0,100.0,1574.0
valerii76,52.0,45.0,3.0,100.0,1425.0
Ikeatabledestroyer,54.0,39.0,7.0,100.0,2128.0
YogiBear244,50.0,50.0,0.0,6.0,1506.0
Bryano2023hhgdfhgrvb,42.0,57.0,0.0,84.0,1359.0
Saidian,51.0,48.0,1.0,100.0,762.0
claude76600,36.0,63.0,1.0,100.0,1756.0
Vandumurugan,56.0,38.0,5.0,100.0,2073.0
ochen_neochen,56.0,41.0,3.0,100.0,1921.0
ReceFiceBrumBrum,50.0,42.0,8.0,100.0,1868.0
LassaFa,42.0,48.0,10.0,100.0,1554.0
adityanaik01,47.0,49.0,4.0,100.0,1696.0
danielo_ruiz102192,67.0,33.0,0.0,100.0,2031.0
Dronozavr777,48.0,48.0,4.0,100.0,1210.0
ESTOY_DURO,47.0,50.0,3.0,100.0,1929.0
Alexxxan2610,47.0,51.0,2.0,100.0,1609.0
Mehmet951,43.0,51.0,6.0,100.0,1404.0
SanjaySKJ,49.0,48.0,3.0,100.0,1799.0
Goktug_81_M,100.0,0.0,0.0,3.0,922.0
nerevar83,40.0,60.0,0.0,30.0,2304.0
SirShrek2,51.0,44.0,5.0,100.0,2041.0
astrath,45.0,50.0,5.0,100.0,2037.0
chaosridinghood,45.0,52.0,3.0,100.0,1272.0
Badang1,55.0,42.0,3.0,100.0,1422.0
samcmaci,46.0,47.0,7.0,100.0,1727.0
uga40,75.0,0.0,25.0,12.0,1513.0
MasterOutOfDisaster,53.0,44.0,3.0,100.0,1005.0
bee9191,56.0,42.0,1.0,100.0,1853.0
DanUglea,49.0,44.0,7.0,100.0,1636.0
chessgambit10,52.0,41.0,7.0,100.0,2496.0
Alexhor76,68.0,31.0,1.0,100.0,1936.0
Janeiroo,38.0,46.0,15.0,39.0,1766.0
jaminalder,43.0,55.0,2.0,100.0,1284.0
TYAGIVET,52.0,45.0,3.0,100.0,1635.0
drevitskii,0.0,100.0,0.0,9.0,1380.0
Mask1t,48.0,49.0,3.0,100.0,1313.0
Stollislav,51.0,45.0,4.0,100.0,1637.0
dmitry_putin,52.0,46.0,2.0,100.0,2043.0
cebelli,36.0,50.0,13.0,90.0,2239.0
Finance04,25.0,75.0,0.0,12.0,2178.0
dionmnnm,23.0,76.0,0.0,39.0,1617.0
lemonduckie,0.0,100.0,0.0,9.0,1796.0
eliwagnercode,40.0,60.0,0.0,15.0,1388.0
lakshangmt,37.0,60.0,3.0,100.0,1647.0
PRAVEEN_VIVEGA_2013,51.0,36.0,13.0,100.0,1584.0
