user_id,win_rate,lose_rate,draw_rate,game_count
rabsalf,47.0,45.0,8.0,100.0
A_Navous,52.0,44.0,4.0,100.0
Yakov02,71.0,23.0,6.0,100.0
Ivan_1_Gurov,44.0,48.0,8.0,100.0
schumi89,45.0,49.0,6.0,100.0
Bobbykumar17092003,40.0,56.0,4.0,100.0
Barcelona1707,33.0,66.0,0.0,27.0
Oleg_TT,43.0,50.0,7.0,100.0
jesssbrah,45.0,49.0,6.0,100.0
hyrden76,47.0,43.0,10.0,100.0
yasirhamdani_2800,45.0,49.0,6.0,100.0
won2loss,41.0,48.0,10.0,87.0
Ahmad5768,51.0,44.0,5.0,100.0
brot7,48.0,48.0,3.0,33.0
le61yy,0.0,100.0,0.0,9.0
ReyFolladorCuliador,44.0,55.0,0.0,34.0
mentor78,39.0,55.0,6.0,100.0
DocTaka,55.0,42.0,3.0,100.0
AlexKharitonov62,49.0,45.0,6.0,100.0
ilches,47.0,49.0,4.0,100.0
Pepin21,52.0,46.0,2.0,100.0
sadra_egh,57.0,39.0,3.0,100.0
KapitanKukuruza,48.0,48.0,4.0,75.0
devansh_gupta123,41.0,49.0,10.0,100.0
Estig,54.0,41.0,5.0,100.0
azlaba17,46.0,50.0,4.0,100.0
Mayavi2020,39.0,54.0,7.0,100.0
babafil,47.0,48.0,5.0,100.0
Noningen_ari,52.0,43.0,5.0,100.0
AdriaCl,0.0,100.0,0.0,6.0
ritt12,54.0,44.0,2.0,100.0
wadihusain,46.0,45.0,9.0,100.0
CharlesBronsonsDog,45.0,53.0,2.0,100.0
Badbatch_86,39.0,61.0,0.0,100.0
Deepakoli_214,47.0,53.0,0.0,100.0
Phoenix2508,47.0,39.0,14.0,100.0
saedede,42.0,56.0,2.0,100.0
AndreyLonG,59.0,31.0,10.0,100.0
A959595,34.0,60.0,6.0,100.0
Hidroksipropil,39.0,54.0,7.0,100.0
masterim35,42.0,55.0,3.0,100.0
Mih80,46.0,52.0,2.0,100.0
Booker25800,38.0,51.0,11.0,100.0
CheeseDc,44.0,48.0,8.0,100.0
Aleks1703,0.0,0.0,100.0,3.0
atrevetesinmiedo,37.0,52.0,11.0,100.0
pan_daman,59.0,37.0,4.0,100.0
KaladinStormlight,40.0,53.0,7.0,100.0
BlackBeltHunter,100.0,0.0,0.0,2.0
daoody5613,46.0,48.0,6.0,100.0
Juwillose,59.0,36.0,4.0,47.0
cxbaby95,47.0,50.0,3.0,100.0
Master_RU,42.0,56.0,2.0,100.0
puli3ib,49.0,47.0,4.0,100.0
Deadover,61.0,36.0,3.0,100.0
MarshMMA,47.0,46.0,7.0,100.0
ezzsham,100.0,0.0,0.0,3.0
B_aeume,54.0,36.0,9.0,33.0
Ignorante,49.0,46.0,5.0,100.0
drblunderrr007,41.0,55.0,4.0,100.0
ParliucaMoralo,42.0,54.0,4.0,100.0
Abdulrhman50,49.0,39.0,12.0,100.0
Snobben,46.0,45.0,9.0,100.0
mcdez,13.0,84.0,2.0,38.0
Konjaga,33.0,62.0,5.0,100.0
Crazy_Hippo,56.0,38.0,5.0,100.0
LostinLabyrinth,49.0,49.0,2.0,100.0
CastSoul,100.0,0.0,0.0,12.0
Bob213,100.0,0.0,0.0,3.0
Souselas,0.0,100.0,0.0,3.0
gagaluigi,41.0,53.0,6.0,100.0
omargarciagonzalez,46.0,47.0,7.0,100.0
houserebates,75.0,25.0,0.0,12.0
Jmoney315,47.0,44.0,9.0,100.0
Ge_1334,46.0,42.0,12.0,100.0
Hoffmann64,49.0,46.0,5.0,100.0
zrs_zrs,50.0,50.0,0.0,6.0
YANYBOY,50.0,33.0,16.0,18.0
schaakfanmark,0.0,0.0,100.0,3.0
iwinyouloseok,62.0,37.0,0.0,48.0
NewbieFtw,60.0,40.0,0.0,30.0
MB1807,42.0,55.0,3.0,100.0
maks-t72,71.0,25.0,4.0,100.0
tUTKU08,60.0,30.0,10.0,30.0
MoH7709,63.0,37.0,0.0,100.0
PotatoNoob101,57.0,28.0,14.0,21.0
hossein_vl,100.0,0.0,0.0,18.0
marcialbonifacio,48.0,50.0,2.0,100.0
elsminmin,0.0,100.0,0.0,3.0
michon2023,45.0,50.0,5.0,100.0
ivanslabek,52.0,42.0,5.0,57.0
AngelBr18,35.0,60.0,3.0,56.0
Argo69,44.0,51.0,5.0,100.0
starstryder1,48.0,50.0,2.0,100.0
Nerth,53.0,45.0,2.0,100.0
fatienmort,45.0,50.0,5.0,100.0
Kashzoney,16.0,83.0,0.0,18.0
ViTSHI,44.0,48.0,8.0,100.0
