user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,combined_draw4,user_time_performance,op_time_performance,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
Fill2014,0.311,0.377,277.0,47.23,dario1962,0.348,0.348,279.0,45.28,1.0,2557.3333333333335,2181.3333333333335,378.0,2842.08,3153.85,1717.1986650000001,1950.268041,1.6075000000000002,0.21036600000000003,0.134676,2464.0,2184.0,7.0,0.125333,0.10091999999999998,1.0
The_Auryn,0.583,0.083,317.0,49.27,yprodigy,0.576,0.242,416.0,45.09,1.0,1795.0,1964.0,-176.0,2063.45361,1520.739708,3394.808295,2539.7,3.2132499999999995,0.027224,0.010405999999999999,2016.0,2703.0,-19.0,0.13059199999999999,0.5016959999999999,1.0
Saverioo,0.426,0.295,229.0,45.0,Dododods,0.377,0.262,225.0,45.03,1.0,2059.0,1879.0,145.0,2490.854652,2250.0,2260.727742,2109.881172,4.4085,0.062835,0.009432,1849.0,2756.0,33.0,0.20234999999999997,0.134589,1.0
chewaca,0.661,0.119,402.0,46.1,KoboldMikesch,0.438,0.172,547.0,45.2,1.0,1711.3333333333333,1410.6666666666667,301.0,2498.0489199999997,1900.15872,2827.608518,2341.90242,2.39425,0.020467999999999997,0.0,2597.0,2205.0,-20.0,0.37610899999999997,0.382374,1.0
ChickenLittle_xD,0.481,0.231,391.0,45.82,balthom,0.644,0.102,338.0,45.08,1.0,2229.0,1975.0,314.0,2112.159063,2004.593318,2450.068894,2457.759447,4.819749999999999,0.089397,0.012546,1833.0,2744.0,-79.0,0.255892,0.445648,1.0
Alko-Holger,0.564,0.182,352.0,45.16,EilemitFeile,0.45,0.35,417.0,47.92,1.0,2130.0,2113.6666666666665,24.0,2130.04639,1930.35192,2703.540553,2580.64086,3.2002499999999996,0.022022,0.12669999999999998,2209.0,2350.0,26.0,0.4083359999999999,0.2088,1.0
R1965,0.619,0.222,305.0,45.61,joebouncing,0.475,0.377,246.0,45.08,-1.0,2411.6666666666665,2522.0,-115.0,2112.360614,2569.902192,1904.7365080000002,2403.739386,5.1975,0.030636000000000004,0.068614,2538.0,1748.0,60.0,0.394922,0.311125,1.0
dhetos,0.418,0.364,259.0,45.42,PompeiusMagnus,0.655,0.091,283.0,45.04,-1.0,2253.0,2394.6666666666665,-219.0,2297.776115,2338.7,2164.3911550000003,1912.3255480000003,5.594249999999999,0.190008,0.001547,2550.0,1978.0,-6.0,0.149644,0.5109,1.0
benjjjaa03,0.522,0.269,257.0,54.7,goalis2k,0.571,0.254,435.0,46.69,-1.0,2164.6666666666665,2167.6666666666665,31.0,2406.104495,2142.85,2152.7625000000003,2030.6618720000001,5.9795,0.050841000000000004,0.03429,2240.0,1998.0,-32.0,0.186876,0.373434,1.0
Mario502,0.545,0.212,222.0,45.19,hasan-pshik,0.6,0.25,223.0,45.08,-1.0,1792.0,1893.3333333333333,-194.0,2830.6335520000002,2021.5948799999999,2617.751178,1696.725,4.428,0.02226,0.0715,1640.0,3024.0,-30.0,0.28667000000000004,0.3108,1.0
Shivam_d74475,0.4,0.0,206.0,63.43,hishamelmorsix,0.125,0.25,498.0,109.84,1.0,0.0,1347.3333333333333,-1395.0,3383.500752,2083.3312499999997,1574.075,1353.3511280000002,6.47325,0.0,0.0,2623.0,1680.0,570.0,0.022400000000000003,0.08175,1.7692307692307692
parvaz999,0.519,0.333,381.0,45.02,Kairat_chess,0.593,0.204,369.0,45.37,1.0,2052.6666666666665,2168.0,-105.0,2083.33125,1993.6482019999999,2607.089212,1984.15,6.75975,0.04528800000000001,0.027744,2303.0,2205.0,-81.0,0.378351,0.27870999999999996,1.0
BunnyNDuckies,0.536,0.375,260.0,45.04,SamanoFischer,0.485,0.258,232.0,45.0,1.0,2487.3333333333335,2259.6666666666665,240.0,2131.11694,1514.405048,2906.2550960000003,2213.1,6.407,0.036750000000000005,0.025284,1806.0,2300.0,-69.0,0.252456,0.34968499999999997,1.0
EnzoaviaP,0.371,0.2,292.0,57.85,SergSergSerg78,0.426,0.246,204.0,45.35,1.0,1825.3333333333333,1595.0,223.0,2369.367008,2789.4010759999996,1729.0329920000001,2003.1122440000001,5.17425,0.0034000000000000002,0.051168,2688.0,1728.0,19.0,0.30051,0.168696,1.0
NotThyFathr,0.456,0.191,344.0,45.67,Parvinder34,0.491,0.364,409.0,45.17,1.0,1792.3333333333333,1981.0,-207.0,3537.992924,2186.9114640000003,2418.759486,1300.739334,4.000500000000001,0.038200000000000005,0.125944,2688.0,1824.0,63.0,0.049248,0.207693,1.0
N_M_Z_S,0.65,0.3,406.0,45.72,maestrofigo,0.667,0.176,364.0,45.27,1.0,2340.3333333333335,2503.6666666666665,-146.0,3326.625,2107.70726,2040.0684880000001,1391.1599800000001,6.81075,0.0771,0.05068799999999999,2928.0,1435.0,280.0,0.4459000000000001,0.461564,1.0
