user_id,user_black_draw_rate,user_black_game_count,user_black_lose_rate,user_black_win_rate,user_blitz_rating,user_draw_rate,user_game_count,user_highest_blitz_opponent_rating,user_lose_rate,user_loss_streak_current,user_loss_streak_max,user_rating_deviation,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_total_games_played,user_white_draw_rate,user_white_game_count,user_white_lose_rate,user_white_win_rate,user_win_rate,user_win_streak_current,user_win_streak_max,user_op,op_black_draw_rate,op_black_game_count,op_black_lose_rate,op_black_win_rate,op_blitz_rating,op_draw_rate,op_game_count,op_highest_blitz_opponent_rating,op_lose_rate,op_loss_streak_current,op_loss_streak_max,op_rating_deviation,op_second_highest_blitz_opponent_rating,op_third_highest_blitz_opponent_rating,op_total_games_played,op_white_draw_rate,op_white_game_count,op_white_lose_rate,op_white_win_rate,op_win_rate,op_win_streak_current,op_win_streak_max,game_result
AxlRo,4.25531914893617,47.0,61.70212765957447,34.04255319148936,1768.0,0.0,18.0,2221.0,50.0,0.0,11.0,49.36,2177.0,2142.0,999,0.0,53.0,47.16981132075472,52.83018867924528,50.0,2.0,19.0,Gabriel_JSSz,1.851851851851852,54.0,51.85185185185185,46.2962962962963,1073.0,0.0,3.0,1333.0,100.0,1.0,6.0,74.88,1226.0,1218.0,539,2.1739130434782608,46.0,47.82608695652174,50.0,0.0,0.0,6.0,-1
Tamesh,2.1739130434782608,46.0,47.82608695652174,50.0,1831.0,0.0,3.0,2065.0,100.0,2.0,10.0,83.97,2061.0,2053.0,2728,7.4074074074074066,54.0,40.74074074074074,51.85185185185185,0.0,0.0,9.0,kenfromconnecticut,0.0,11.0,81.81818181818183,18.181818181818183,1523.0,0.0,0.0,,0.0,0.0,6.0,213.36,,,3,7.142857142857142,14.0,57.14285714285714,35.714285714285715,0.0,2.0,2.0,1
minasfox,2.083333333333333,48.0,52.083333333333336,45.83333333333333,1546.0,3.0,100.0,1904.0,44.0,0.0,10.0,45.79,1827.0,1808.0,1602,3.8461538461538463,52.0,36.53846153846153,59.61538461538461,53.0,6.0,10.0,Qadizano,,,,,,0.0,0.0,,0.0,,,0.0,,,0,,,,,0.0,,,1
HOLLOWBELL,4.081632653061225,49.0,42.85714285714285,53.06122448979592,1772.0,5.0,100.0,2203.0,36.0,1.0,7.0,45.41,2190.0,2171.0,429,1.9230769230769231,52.0,40.38461538461539,57.692307692307686,59.0,0.0,7.0,josorianosos,0.0,50.0,42.0,57.99999999999999,1885.0,3.0,100.0,2011.0,46.0,1.0,6.0,0.0,2003.0,1986.0,310,6.0,50.0,50.0,44.0,51.0,0.0,7.0,1
P5489151287877327827,8.16326530612245,49.0,40.81632653061224,51.02040816326531,1382.0,12.0,100.0,1717.0,12.0,0.0,20.0,45.17,1534.0,1526.0,276,12.0,50.0,40.0,48.0,76.0,8.0,10.0,lasantacruz,0.0,20.0,55.00000000000001,45.0,1366.0,0.0,24.0,1413.0,37.0,0.0,4.0,89.93,1404.0,1383.0,40,14.285714285714285,21.0,42.85714285714285,42.85714285714285,62.0,2.0,9.0,1
appAlexander,3.7735849056603774,53.0,54.71698113207547,41.50943396226416,1410.0,1.0,100.0,1814.0,55.0,1.0,17.0,45.13,1656.0,1616.0,5151,8.0,50.0,40.0,52.0,44.0,0.0,11.0,Diaco80,0.0,50.0,46.0,54.0,1352.0,1.0,100.0,1476.0,43.0,0.0,8.0,45.13,1470.0,1463.0,1365,2.0,50.0,38.0,60.0,56.0,3.0,12.0,1
AngreifervolleKanone,3.8461538461538463,52.0,55.76923076923077,40.38461538461539,1720.0,3.0,100.0,2053.0,56.0,2.0,11.0,45.03,2010.0,2008.0,21413,0.0,49.0,51.02040816326531,48.97959183673469,41.0,0.0,10.0,AI_developer,0.0,50.0,56.00000000000001,44.0,1739.0,3.0,100.0,2121.0,57.0,0.0,18.0,45.13,1999.0,1991.0,17975,6.0,50.0,60.0,34.0,39.0,1.0,14.0,1
ezln88,8.16326530612245,49.0,53.06122448979592,38.775510204081634,1532.0,7.0,100.0,1733.0,46.0,0.0,12.0,45.0,1727.0,1713.0,19419,7.6923076923076925,52.0,42.30769230769231,50.0,47.0,5.0,12.0,YASER97,0.0,49.0,53.06122448979592,46.93877551020408,1560.0,0.0,100.0,1692.0,52.0,1.0,10.0,45.14,1692.0,1666.0,2054,0.0,51.0,54.90196078431373,45.09803921568628,48.0,0.0,10.0,-1
kidh,2.0,50.0,54.0,44.0,1400.0,2.0,100.0,1619.0,53.0,0.0,8.0,45.12,1584.0,1577.0,2337,1.96078431372549,51.0,49.01960784313725,49.01960784313725,45.0,1.0,11.0,AE60,5.88235294117647,51.0,47.05882352941176,47.05882352941176,1435.0,4.0,100.0,1652.0,51.0,1.0,15.0,45.15,1638.0,1636.0,22347,6.122448979591836,49.0,51.02040816326531,42.85714285714285,45.0,0.0,12.0,1
marvel1,4.0,50.0,48.0,48.0,1887.0,9.0,100.0,2547.0,38.0,1.0,14.0,45.1,2520.0,2516.0,15445,8.0,50.0,42.0,50.0,53.0,0.0,14.0,NateBrady23,8.333333333333332,48.0,39.58333333333333,52.083333333333336,1926.0,6.0,100.0,2170.0,39.0,0.0,9.0,45.29,2146.0,2135.0,1308,7.6923076923076925,52.0,32.69230769230769,59.61538461538461,55.0,3.0,11.0,-1
