user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_average_win_diff,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,draw_rate,combined_draw4,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
ansh_malhotra,0.404,0.175,238.0,46.96,QUMX,0.44,0.12,354.0,45.58,1.0,1080.0,2394.3333333333335,1314.3333333333335,-1325.0,2444.42,2662.516402,1923.1000000000001,2116.433598,7.0,3.9839999999999995,3136.0,1640.0,1101.0,0.561,0.837,1.0
antrasi70,0.442,0.192,454.0,68.78,haudenhorst,0.547,0.156,317.0,45.1,1.0,1987.0,2005.0,18.0,-38.0,2256.416337,1483.88,3282.235,2307.6780219999996,8.0,4.016249999999999,1591.0,3068.0,-38.0,1.174,0.9440000000000001,0.96
anuhas201546,0.19,0.286,177.0,79.37,corepencil,0.522,0.299,251.0,45.04,-1.0,2265.3333333333335,1992.0,273.3333333333335,221.0,553.169216,721.7092399999999,4199.027228000001,4545.480807999999,12.0,5.161,280.0,4876.0,-943.0,0.658,0.8460000000000001,1.0
apple96880,0.517,0.217,354.0,45.1,Misha1921,0.526,0.333,442.0,45.1,-1.0,2125.6666666666665,2227.6666666666665,102.0,-95.0,2271.0537240000003,2500.0,1669.325484,2197.807326,12.0,7.246499999999999,2021.0,2401.0,-68.0,0.63,1.092,1.0
arcadian,0.541,0.098,426.0,162.52,RLeeP,0.645,0.053,412.0,163.96,-1.0,1542.3333333333333,1420.0,122.33333333333326,135.0,1855.31223,1484.3999999999999,3171.853125,2831.155972,5.0,3.2279999999999998,1802.0,2806.0,32.0,1.4700000000000002,1.35,0.39
artan_hz,0.312,0.188,345.0,88.5,voidmay0,0.333,0.5,331.0,120.97,-1.0,1229.6666666666667,871.6666666666666,358.0000000000001,448.0,2051.246154,3383.4488720000004,601.51203,2014.6780220000003,11.0,9.7745,1518.0,2772.0,-311.0,0.774,0.386,4.333333333333333
arzu44,0.371,0.387,275.0,50.66,Lolochess77,0.557,0.098,374.0,45.0,1.0,1970.0,1996.3333333333333,26.333333333333258,-18.0,2698.407834,2301.6,2611.349616,2211.977112,1.0,0.8065,2597.0,2350.0,76.0,1.054,1.218,1.0
asadkashif,0.111,0.3329999999999999,320.0,209.3,p12p,0.4,0.2,254.0,205.93,1.0,1179.3333333333333,1693.6666666666667,514.3333333333335,-364.0,4772.75,2770.57316,1212.138528,227.25,2.0,1.1905,3612.0,627.0,567.0,0.138,0.4,1.4651162790697674
asdiapotatisen,0.464,0.357,288.0,56.65,mijacho,0.458,0.288,262.0,45.0,1.0,2434.6666666666665,2196.3333333333335,238.33333333333303,241.0,2294.153596,2295.1,2094.13358,1934.521875,19.0,6.387499999999999,2500.0,1500.0,-84.0,1.033,0.9950000000000001,0.78
astrof,0.516,0.266,267.0,47.64,Portolu,0.439,0.268,412.0,45.19,1.0,2358.3333333333335,2481.0,122.66666666666652,-272.0,3253.9652279999996,3045.992808,1322.070201,1510.4019839999999,19.0,5.640499999999999,3416.0,1024.0,189.0,1.074,0.7909999999999999,1.0
