user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
el_chechi,-1,49.0,47.0,4.0,100.0,50.0,46.774,3.226,62.0,49.206,49.206,1.587,63.0,B02,A02,E67,A57,0.21,0.613,0.177,0.033,0.617,0.35,630.0
peterzimmerman,1,56.0,40.0,3.0,100.0,61.29,37.097,1.613,62.0,47.619,47.619,4.762,63.0,C44,C41,C57,C21,0.353,0.456,0.162,0.377,0.434,0.189,361.0
vilkovbogdan2010,-1,46.0,40.0,13.0,45.0,50.0,33.333,16.667,12.0,41.667,50.0,8.333,12.0,A00,C00,B00,A04,0.727,0.0,0.182,0.9,0.0,0.1,429.0
Ssmmii,-1,51.0,45.0,4.0,100.0,40.323,56.452,3.226,62.0,47.619,46.032,6.349,63.0,B30,B20,B22,D02,0.255,0.473,0.273,0.141,0.406,0.453,428.0
Xerium,1,0.0,100.0,0.0,3.0,0.0,100.0,0.0,2.0,0.0,100.0,0.0,2.0,C50,A40,A40,C50,0.0,0.0,0.0,0.0,0.75,0.0,220.0
MasterAchie,-1,50.0,46.0,4.0,100.0,50.0,46.774,3.226,62.0,46.032,49.206,4.762,63.0,D00,C50,E10,C22,0.317,0.5,0.183,0.35,0.533,0.05,275.0
mhmd_sayed8512412,1,46.0,49.0,5.0,100.0,41.27,49.206,9.524,63.0,53.226,46.774,0.0,62.0,B10,C50,C54,D05,0.186,0.61,0.153,0.133,0.433,0.433,493.0
tatavrn,1,51.0,49.0,0.0,100.0,50.0,50.0,0.0,62.0,44.444,55.556,0.0,63.0,C41,C34,C40,C36,0.407,0.492,0.068,0.045,0.091,0.848,511.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American_Pharoah,-1,51.0,42.0,7.0,100.0,46.774,46.774,6.452,62.0,46.032,39.683,14.286,63.0,B12,B00,C24,B08,0.207,0.552,0.224,0.185,0.444,0.37,303.0
MorPeh1969,-1,50.0,48.0,2.0,100.0,47.541,52.459,0.0,61.0,48.438,50.0,1.562,64.0,B00,C50,C54,C57,0.367,0.433,0.1,0.25,0.062,0.672,414.0
Viktol,1,55.0,42.0,3.0,100.0,53.448,44.828,1.724,58.0,50.746,44.776,4.478,67.0,C44,B00,A00,C25,0.231,0.6,0.138,0.214,0.536,0.25,344.0
fulvioswww,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.0,100.0,0.0,4.0,B01,C20,C34,B20,1.0,0.0,0.0,0.5,0.25,0.25,414.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ParidhiJainOstwal,1,60.0,20.0,20.0,15.0,43.077,52.308,4.615,65.0,41.667,50.0,8.333,60.0,nonStandard,D00,D31,A07,0.453,0.302,0.245,0.672,0.188,0.109,360.0
Vena,-1,25.0,75.0,0.0,12.0,47.692,40.0,12.308,65.0,45.0,45.0,10.0,60.0,A20,C00,B50,A36,0.172,0.603,0.224,0.113,0.717,0.151,468.0
