user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
Dim_ZK,1,49.0,45.0,6.0,100.0,53.968,41.27,4.762,63.0,46.774,46.774,6.452,62.0,B12,C30,B03,B32,0.254,0.556,0.175,0.145,0.727,0.109,615.0
ferdinandbj,-1,61.0,39.0,0.0,100.0,44.615,50.769,4.615,65.0,43.333,53.333,3.333,60.0,C44,C47,C46,C22,0.327,0.418,0.236,0.446,0.138,0.415,259.0
CPazianotto,-1,40.0,52.0,8.0,100.0,46.774,48.387,4.839,62.0,50.794,42.857,6.349,63.0,C41,B01,C77,C24,0.344,0.443,0.18,0.175,0.526,0.298,244.0
arikui999,-1,49.0,44.0,7.0,100.0,53.968,38.095,7.937,63.0,43.548,48.387,8.065,62.0,A00,C00,C10,A00,0.115,0.574,0.279,0.019,0.87,0.111,368.0
Radiuss,-1,52.0,46.0,2.0,100.0,51.613,45.161,3.226,62.0,53.968,46.032,0.0,63.0,A45,D00,A09,D11,0.197,0.576,0.227,0.053,0.754,0.193,366.0
habbing_pawn,-1,25.0,75.0,0.0,12.0,42.0,54.0,4.0,50.0,44.444,53.704,1.852,54.0,A40,D00,D04,B06,0.444,0.289,0.222,0.214,0.25,0.536,262.0
sreekar12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tusash,-1,56.0,39.0,4.0,100.0,53.333,45.0,1.667,60.0,53.846,41.538,4.615,65.0,C23,C20,C34,C25,0.299,0.343,0.239,0.407,0.019,0.352,359.0
vitillescas,1,0.0,0.0,0.0,0.0,56.897,34.483,8.621,58.0,43.284,50.746,5.97,67.0,A10,A21,A50,B44,0.145,0.548,0.29,0.13,0.87,0.0,554.0
Cloe16,-1,0.0,0.0,0.0,0.0,30.303,60.606,9.091,33.0,34.043,51.064,14.894,47.0,B13,A40,D06,D20,0.308,0.577,0.038,0.318,0.455,0.227,533.0
Deadbear103,1,49.0,49.0,2.0,100.0,52.381,42.857,4.762,63.0,43.548,54.839,1.613,62.0,C62,C50,C20,D02,0.283,0.517,0.2,0.328,0.639,0.033,507.0
Arda1974,-1,44.0,44.0,11.0,27.0,46.667,46.667,6.667,60.0,43.077,49.231,7.692,65.0,B50,D00,B33,B44,0.304,0.339,0.339,0.3,0.567,0.1,235.0
Explo2mat,1,40.0,54.0,6.0,100.0,40.984,59.016,0.0,61.0,43.75,48.438,7.812,64.0,C41,B01,D31,A01,0.283,0.509,0.208,0.194,0.507,0.239,248.0
basetss,1,41.0,54.0,5.0,100.0,46.032,50.794,3.175,63.0,51.613,43.548,4.839,62.0,C23,C00,A84,B32,0.311,0.459,0.23,0.254,0.492,0.22,249.0
stranzl18,1,0.0,0.0,0.0,0.0,46.0,50.0,4.0,50.0,41.667,54.167,4.167,48.0,B00,A00,D00,C65,0.256,0.302,0.442,0.451,0.353,0.137,259.0
meadh,1,48.0,50.0,2.0,100.0,56.25,42.188,1.562,64.0,49.18,49.18,1.639,61.0,C50,A40,C47,B22,0.242,0.636,0.106,0.088,0.895,0.018,385.0
Sattam_Tacchi,1,0.0,0.0,0.0,0.0,15.854,63.415,20.732,82.0,27.907,62.791,9.302,43.0,A00,A02,C41,C23,0.44,0.2,0.36,0.392,0.354,0.241,190.0
PitM_gr,1,46.0,47.0,7.0,100.0,52.381,42.857,4.762,63.0,45.161,48.387,6.452,62.0,C00,C02,B15,C46,0.344,0.459,0.197,0.105,0.596,0.298,290.0
antXpu100,-1,46.0,52.0,2.0,100.0,48.438,50.0,1.562,64.0,52.459,42.623,4.918,61.0,A02,C00,B00,C10,0.254,0.444,0.254,0.207,0.397,0.31,392.0
AyaxTelamonio77,-1,38.0,61.0,0.0,63.0,59.677,37.097,3.226,62.0,34.921,50.794,14.286,63.0,B21,B01,B06,C77,0.339,0.441,0.22,0.255,0.236,0.509,301.0
EG303,-1,30.0,70.0,0.0,10.0,40.0,60.0,0.0,5.0,20.0,80.0,0.0,5.0,B20,A40,C00,D20,0.333,0.333,0.333,0.143,0.571,0.286,270.0
Luke-82,1,0.0,0.0,0.0,0.0,47.541,50.82,1.639,61.0,53.125,40.625,6.25,64.0,B30,C00,D50,B23,0.333,0.508,0.159,0.158,0.368,0.456,399.0
ALEYVA,1,36.0,61.0,3.0,100.0,33.333,66.667,0.0,63.0,35.484,59.677,4.839,62.0,C00,B06,A10,nonStandard,0.395,0.186,0.326,0.101,0.152,0.747,362.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
