user_id,win_rate,lose_rate,draw_rate,game_count
Monty63,50.0,49.0,1.0,100.0
Sibyrtios,63.0,36.0,0.0,66.0
Peon144,42.0,55.0,3.0,100.0
LuisAntonioNeto,48.0,46.0,6.0,100.0
pingah9,100.0,0.0,0.0,3.0
Haenz,45.0,49.0,6.0,100.0
JORGESAFA6,50.0,38.0,12.0,100.0
Schilthorn,0.0,0.0,0.0,0.0
blitzmenow,56.0,41.0,3.0,100.0
wmdk,100.0,0.0,0.0,9.0
io_io-23,0.0,100.0,0.0,2.0
ivarstead,57.0,40.0,2.0,100.0
adrifu,0.0,0.0,0.0,0.0
Donnie22,56.0,40.0,3.0,100.0
GabrielRomero,0.0,0.0,0.0,0.0
ridvandusova,50.0,47.0,3.0,100.0
PanicZone,49.0,45.0,6.0,100.0
Canopus7,52.0,46.0,2.0,100.0
Fasztronauta,40.0,57.0,2.0,100.0
chungla,39.0,61.0,0.0,100.0
ChristianCew,64.0,33.0,3.0,100.0
sPawnIng,31.0,65.0,3.0,96.0
Madara20000,52.0,45.0,3.0,100.0
asishgt,100.0,0.0,0.0,3.0
unnovatoen,0.0,0.0,0.0,0.0
Inaya12345,60.0,40.0,0.0,15.0
Statesman,61.0,33.0,6.0,100.0
ExhaustedWarrior9,0.0,0.0,0.0,0.0
GoshgarAliyev,52.0,42.0,6.0,100.0
Timsenn,50.0,42.0,7.0,42.0
RLacarta,0.0,0.0,0.0,0.0
IdleHand,47.0,52.0,1.0,100.0
againandagain,0.0,0.0,0.0,0.0
abdul291191,53.0,43.0,4.0,100.0
omri55,0.0,0.0,0.0,0.0
Nobrega46,0.0,100.0,0.0,3.0
Daammit,37.0,51.0,11.0,81.0
teo_666,70.0,30.0,0.0,30.0
tamer-d,48.0,48.0,4.0,100.0
mundong_wala_ka,25.0,75.0,0.0,12.0
elwaleed,45.0,52.0,3.0,100.0
MUndeniable,45.0,50.0,5.0,100.0
karlosky07,43.0,56.0,1.0,100.0
notoneman,0.0,100.0,0.0,3.0
maish,66.0,33.0,0.0,9.0
chesspersonthatlikes,53.0,43.0,4.0,100.0
milanfritaypapanesas,43.0,56.0,1.0,100.0
KabRR,51.0,45.0,4.0,100.0
Dikap92,47.0,53.0,0.0,100.0
Petssonn,54.0,46.0,0.0,100.0
Jacek1,0.0,0.0,0.0,0.0
pasheka,51.0,49.0,0.0,100.0
Sandrex8002,55.0,44.0,0.0,54.0
Ajber,0.0,0.0,0.0,0.0
hjkop7,0.0,0.0,0.0,0.0
gdaghul,39.0,56.0,5.0,100.0
SnatchMyPawn,0.0,0.0,0.0,0.0
Wegeblau,46.0,45.0,9.0,100.0
Tamoneko,0.0,0.0,0.0,0.0
Daftpunksluggage,46.0,48.0,6.0,100.0
bossmanbirdy,0.0,0.0,0.0,0.0
RChamp88,0.0,0.0,0.0,0.0
svkinn01,0.0,0.0,0.0,0.0
EKnCYusuF,0.0,0.0,0.0,0.0
yusufogreten,0.0,0.0,0.0,0.0
chentsus79,43.0,52.0,5.0,100.0
DoesItMatterHuh,66.0,33.0,0.0,27.0
papadc,57.0,40.0,2.0,100.0
sirhc_1225,46.0,48.0,6.0,100.0
ReunitePangaea,46.0,49.0,5.0,100.0
AAJ_88,55.0,42.0,3.0,100.0
kiker-am,37.0,63.0,0.0,100.0
unany-chess,0.0,0.0,0.0,0.0
Kolper,0.0,0.0,0.0,0.0
albertomp5,0.0,0.0,0.0,0.0
dalexius,0.0,0.0,0.0,0.0
